Liste aller jemals vergebenen ersten Mädchennamen 1984-2020,,,,,
,,,,,
Vorname,,Anzahl,Rang,Anzahl,Rang
Dymfna,Dymfna,1,11.285,-,-
Dzamila,Dzamila,1,11.285,-,-
Dzana,Džana,9,3.385,-,-
Džana,Džana,15,2.553,1,1.853
Džanat,Džanat,1,11.285,-,-
Dzannat,Dzannat,2,7.847,-,-
Dzejhan,Dzejhan,1,11.285,-,-
Dzejla,Dzejla,18,2.286,3,1.027
Džejla,Dzejla,12,2.905,3,1.027
Ðžejla,Dzejla,1,11.285,-,-
Dzejlana,Dzejlana,3,6.297,-,-
Džejlana,Dzejlana,1,11.285,-,-
Dzejna,Dzejna,1,11.285,-,-
Dzemila,Dzemila,2,7.847,-,-
Džemila,Dzemila,1,11.285,-,-
Dzemile,Džemile,1,11.285,-,-
Džemile,Džemile,2,7.847,-,-
Dzena,Dzena,2,7.847,-,-
Džena,Dzena,1,11.285,-,-
Dzenana,Dzenana,4,5.342,-,-
Dženana,Dzenana,2,7.847,-,-
Dzenet,Dzenet,2,7.847,-,-
Dzeneta,Dzeneta,8,3.604,-,-
Dženeta,Dzeneta,6,4.246,-,-
Dzenisa,Dzenisa,2,7.847,-,-
Dzenisa-Irina,Dzenisa-Irina,1,11.285,-,-
Dzenita,Dzenita,7,3.894,-,-
Dženita,Dzenita,3,6.297,-,-
Ðzenita,Dzenita,1,11.285,-,-
Dzenna,Dzenna,1,11.285,-,-
Dzennet,Dzennet,1,11.285,1,1.853
Dzenneta,Dzenneta,2,7.847,-,-
Dževrija,Dževrija,1,11.285,-,-
Dzeyla,Dzeyla,1,11.285,-,-
Dzeylana,Dzeylana,1,11.285,-,-
Dzhamilya,Dzhamilya,2,7.847,-,-
Dzhannat,Dzhannat,2,7.847,-,-
Dzhulia,Dzhulia,2,7.847,-,-
Dzhumana,Dzhumana,1,11.285,-,-
Džiana,Džiana,1,11.285,-,-
Dzifa,Dzifa,1,11.285,-,-
Džoisa,Džoisa,1,11.285,-,-
Džuliana,Džuliana,1,11.285,-,-
Ea,Ea,1,11.285,-,-
Eada,Eada,1,11.285,-,-
Eaman,Eaman,1,11.285,-,-
Eanda,Eanda,1,11.285,-,-
Earlena,Earlena,1,11.285,-,-
Earta,Earta,3,6.297,-,-
Easton,Easton,1,11.285,-,-
Eayan,Eayan,1,11.285,1,1.853
Ebba,Ebba,6,4.246,1,1.853
Ebbiegale,Ebbiegale,1,11.285,-,-
Ebby,Ebby,1,11.285,-,-
Ebelin,Ebelin,1,11.285,-,-
Ebere,Ebere,1,11.285,-,-
Eberechukwu,Eberechukwu,1,11.285,1,1.853
Ebiha,Ebiha,1,11.285,-,-
Ebikomboere,Ebikomboere,1,11.285,-,-
Ebony,Ebony,3,6.297,-,-
Ebony-Cynthia,Ebony-Cynthia,1,11.285,-,-
Ebra,Ebra,2,7.847,-,-
Ebrar,Ebrar,164,607,10,451
Ebrar-Aygül,Ebrar-Aygül,1,11.285,-,-
Ebrar-Betül,Ebrar-Betül,1,11.285,-,-
Ebrar-Hüma,Ebrar-Hüma,1,11.285,-,-
Ebrar-Sena,Ebrar-Sena,1,11.285,-,-
Ebrar-Sude,Ebrar-Sude,1,11.285,-,-
Ebru,Ebru,137,679,2,1.301
Ebru-Ashley,Ebru-Ashley,1,11.285,-,-
Ebrunur,Ebrunur,1,11.285,-,-
Ebryella,Ebryella,1,11.285,-,-
Ebtisam,Ebtisam,1,11.285,1,1.853
Ebuwa,Ebuwa,1,11.285,-,-
Ecatarina,Katharina,1,11.285,-,-
Ecaterina,Ecaterina,9,3.385,-,-
Ecaterina-Maria,Ecaterina-Maria,1,11.285,-,-
Ecaterina-Miruna,Ecaterina-Miruna,1,11.285,-,-
Ece,Ece,108,785,-,-
Ece-Akasya,Ece-Akasya,1,11.285,-,-
Ecehan,Ecehan,1,11.285,-,-
Ecem,Ecem,59,1.138,3,1.027
Ecemgül,Ecemgül,1,11.285,-,-
Ecemm,Ecemm,1,11.285,-,-
Ecemnaz,Ecemnaz,2,7.847,-,-
Ecem-Su,Ecem-Su,2,7.847,-,-
Ecenaz,Ecenaz,6,4.246,-,-
Ecenur,Ecenur,3,6.297,-,-
Ece-Sadet,Ece-Sadet,1,11.285,-,-
Ecesu,Ecesu,5,4.717,-,-
Ece-Su,Ece-Su,1,11.285,-,-
Echailin,Echailin,1,11.285,-,-
Echezona,Echezona,1,11.285,-,-
Eclin,Eclin,2,7.847,-,-
Ecmel,Ecmel,2,7.847,-,-
Ecre,Ecre,1,11.285,-,-
Ecren,Ecren,6,4.246,-,-
Eçren-Lina,Eçren-Lina,1,11.285,-,-
Ecril,Ecril,1,11.285,-,-
Ecrin,Ecrin,432,338,15,348
Eçrin,Ecrin,7,3.894,1,1.853
Ecrin-Alya,Ecrin-Alya,1,11.285,-,-
Ecrinay,Ecrinay,1,11.285,-,-
Ecrin-Besime,Ecrin-Besime,1,11.285,-,-
Ecrin-Erva,Ecrin-Erva,1,11.285,-,-
Ecrin-Hazal,Ecrin-Hazal,1,11.285,-,-
Ecrin-Lina,Ecrin-Lina,1,11.285,1,1.853
Ecrin-Liya,Ecrin-Liya,1,11.285,1,1.853
Ecrin-Narin,Ecrin-Narin,1,11.285,-,-
Ecrinnaz,Ecrinnaz,2,7.847,1,1.853
Ecrinnisa,Ecrinnisa,1,11.285,-,-
Ecrin-Nisa,Ecrin-Nisa,1,11.285,-,-
Ecrin-Nur,Ecrin-Nur,1,11.285,-,-
Ecrin-Sena,Ecrin-Sena,1,11.285,-,-
Ecrinzeynep,Ecrinzeynep,1,11.285,-,-
Eda,Eda,383,364,22,262
Eda-Elena,Eda-Elena,1,11.285,-,-
Edagül,Edagül,1,11.285,-,-
Eda-Güler,Eda-Güler,1,11.285,1,1.853
Edana,Edana,4,5.342,-,-
Edanaz,Edanaz,1,11.285,-,-
Eda-Naz,Eda-Naz,1,11.285,-,-
Edanur,Edanur,74,967,-,-
Eda-Nur,Eda-Nur,3,6.297,-,-
Edasu,Edasu,2,7.847,1,1.853
Edda,Edda,81,924,2,1.301
Edda-Maria,Edda-Maria,2,7.847,-,-
Edda-Viktoria,Edda-Viktoria,1,11.285,-,-
Edeaken,Edeaken,1,11.285,-,-
Edel,Edel,4,5.342,-,-
Edél,Edel,1,11.285,-,-
Edelaine,Edelaine,1,11.285,-,-
Edelfa,Edelfa,1,11.285,-,-
Edelina,Edelina,1,11.285,-,-
Edelinde,Edelinde,1,11.285,-,-
Edeltraud,Edeltraud,9,3.385,-,-
Edeltraude,Edeltraude,1,11.285,-,-
Edeltraud-Leonie,Edeltraud-Leonie,1,11.285,-,-
Edelweiss,Edelweiss,1,11.285,-,-
Eden,Eden,26,1.840,1,1.853
Edenna-Rayssa,Edenna-Rayssa,1,11.285,1,1.853
Edenome,Edenome,1,11.285,-,-
Edessa,Edessa,1,11.285,-,-
Edibe,Edibe,1,11.285,-,-
Edidiong,Edidiong,1,11.285,-,-
Edie,Edie,1,11.285,-,-
Edigna,Edigna,2,7.847,-,-
Edije,Edije,1,11.285,-,-
Edimarlyn,Edimarlyn,1,11.285,-,-
Edina,Edina,121,737,-,-
Edina-Liya,Edina-Liya,1,11.285,-,-
Edina-Madeleine,Edina-Madeleine,1,11.285,-,-
Edine,Edine,1,11.285,-,-
Edisa,Edisa,21,2.073,-,-
Edisona,Edisona,2,7.847,-,-
Edissa,Edissa,1,11.285,-,-
Edit,Edith,3,6.297,-,-
Edita,Edith,36,1.522,1,1.853
Edite,Edith,1,11.285,-,-
Edith,Edith,423,346,-,-
Editha,Edith,7,3.894,-,-
Edith-Katharina,Edith-Katharina,1,11.285,-,-
Editta,Editta,1,11.285,-,-
Edmira,Edmira,1,11.285,-,-
Edna,Enya,29,1.732,-,-
Ednarl,Ednarl,1,11.285,-,-
Edoarta,Edoarta,1,11.285,-,-
Edolina,Edolina,1,11.285,-,-
Edona,Edona,48,1.286,-,-
Edonisa,Edonisa,8,3.604,-,-
Edonita,Edonita,2,7.847,-,-
Edonjeta,Edonjeta,3,6.297,-,-
Edra,Edra,1,11.285,-,-
Edralane,Edralane,1,11.285,-,-
Édua,Édua,1,11.285,-,-
Eduarda,Eduarda,4,5.342,1,1.853
Eduarta,Eduarta,2,7.847,-,-
Eduina,Edwina,2,7.847,-,-
Edvina,Edwina,7,3.894,-,-
Edwige,Hedwig,2,7.847,-,-
Edwina,Edwina,25,1.882,-,-
Edwine,Edwina,1,11.285,-,-
Edyth,Edyth,1,11.285,-,-
Edzhe,Edzhe,1,11.285,-,-
Edzhrin,Edzhrin,1,11.285,-,-
Eeje,Eeje,1,11.285,-,-
Eeman,Eeman,1,11.285,-,-
Eevie,Eevie,1,11.285,1,1.853
Efa,Eva,1,11.285,-,-
Efdal,Efdal,3,6.297,-,-
Efdal-Nur,Efdal-Nur,1,11.285,-,-
Efe,Efe,6,4.246,-,-
Efetobo,Efetobo,1,11.285,-,-
Effat,Effat,1,11.285,-,-
Effi,Effi,1,11.285,-,-
Efia,Efia,1,11.285,1,1.853
Efife,Efife,1,11.285,-,-
Șefika,Şefika,1,11.285,-,-
Efimia,Efimia,1,11.285,-,-
Efla,Efla,1,11.285,-,-
Eflal,Eflal,8,3.604,1,1.853
Eflin,Eflin,46,1.329,5,737
Efnan,Efnan,6,4.246,-,-
Efra,Efra,1,11.285,-,-
Efrat,Efrat,1,11.285,-,-
Efrata,Efrata,1,11.285,1,1.853
Efsa,Efsa,34,1.579,-,-
Efsagül,Efsagül,1,11.285,-,-
Efsan,Efsan,1,11.285,-,-
Efsane,Efsane,2,7.847,-,-
Efsanur,Efsanur,3,6.297,-,-
Efstratia,Efstratia,1,11.285,-,-
Efsun,Efsun,7,3.894,1,1.853
Eftal,Eftal,1,11.285,-,-
Eftalya,Eftalya,2,7.847,1,1.853
Eftelya,Eftelya,22,2.020,-,-
Efuorhia,Efuorhia,1,11.285,-,-
Efza,Efza,3,6.297,-,-
Efza-Ebrar,Efza-Ebrar,1,11.285,-,-
Ege,Ege,2,7.847,-,-
Egea,Egea,1,11.285,-,-
Egesta,Egesta,1,11.285,1,1.853
Eghosa,Eghosa,1,11.285,-,-
Egnatia,Egnatia,1,11.285,-,-
Egschiglen,Egschiglen,1,11.285,-,-
Egshig,Egshig,1,11.285,1,1.853
Egshiglen,Egshiglen,5,4.717,-,-
Egzona,Egzona,9,3.385,-,-
Egzonita,Egzonita,1,11.285,-,-
Eha,Eha,1,11.285,-,-
Ehan,Ehan,1,11.285,-,-
Ehinome,Ehinome,1,11.285,-,-
Ehita,Ehita,1,11.285,-,-
Ehizemen,Ehizemen,1,11.285,-,-
Ehlimana,Ehlimana,7,3.894,-,-
Ehliman-Sedef,Ehliman-Sedef,1,11.285,1,1.853
Ehlinur,Ehlinur,1,11.285,-,-
Ehmi,Ehmi,1,11.285,-,-
Ehrentraud,Ehrentraud,5,4.717,-,-
Eian,Eian,1,11.285,-,-
Eianda,Eianda,1,11.285,-,-
Eidy,Eidy,1,11.285,-,-
Eiha,Eiha,2,7.847,-,-
Eija,Eija,1,11.285,-,-
Eike,Eike,4,5.342,-,-
Eila,Eila,8,3.604,-,-
Eila-Marie,Eila-Marie,1,11.285,-,-
Eileen,Aileen,306,407,12,404
Eileen-Christine,Eileen-Christine,1,11.285,-,-
Eileen-Else,Eileen-Else,1,11.285,-,-
Eileen-Emilia,Eileen-Emilia,1,11.285,-,-
Eileen-Maria,Eileen-Maria,1,11.285,-,-
Eileen-Nadine,Eileen-Nadine,1,11.285,-,-
Eileen-Shirin,Eileen-Shirin,1,11.285,-,-
Eilen,Eilen,3,6.297,-,-
Eilene,Eilene,1,11.285,-,-
Eilia,Eilia,1,11.285,-,-
Eilidh,Eilidh,1,11.285,-,-
Eilin,Aileen,5,4.717,-,-
Eilina,Eilina,1,11.285,-,-
Eilis,Eilis,1,11.285,-,-
Eilithia,Eilithia,1,11.285,-,-
Eilla,Eilla,2,7.847,1,1.853
Eilyn,Eilyn,4,5.342,2,1.301
Eimaan,Eimaan,1,11.285,-,-
Eina-Amine,Eina-Amine,1,11.285,-,-
Einat,Einat,1,11.285,-,-
Eira,Eira,1,11.285,1,1.853
Eireen,Eireen,1,11.285,-,-
Eirene,Eirene,1,11.285,-,-
Eirini,Eirini,3,6.297,-,-
Eisabeth,Eisabeth,1,11.285,-,-
Eise,Eise,1,11.285,-,-
Eithne,Enya,1,11.285,-,-
Eitidal,Eitidal,1,11.285,-,-
Eja,Eja,1,11.285,-,-
Ejana,Ejana,1,11.285,-,-
Ejin,Ejin,1,11.285,-,-
Ejiroghene,Ejiroghene,1,11.285,-,-
Ejla,Ejla,20,2.145,5,737
Ejlem,Ejlem,3,6.297,1,1.853
Ejna,Ejna,19,2.208,3,1.027
Ejona,Ejona,18,2.286,-,-
Ejshan,Ejshan,1,11.285,-,-
Ekam,Ekam,3,6.297,-,-
Ekamjit,Ekamjit,1,11.285,-,-
Ekamjot,Ekamjot,3,6.297,-,-
Ekampreet,Ekampreet,1,11.285,1,1.853
Ekas,Ekas,1,11.285,-,-
Ekatarina,Ekatarina,5,4.717,-,-
Ekaterina,Katharina,40,1.418,3,1.027
Ekatharina,Katharina,1,11.285,-,-
Ekenechukwu,Ekenechukwu,1,11.285,-,-
Eki,Eki,1,11.285,-,-
Ekifaşa,Ekifaşa,1,11.285,-,-
Ekin,Ekin,20,2.145,2,1.301
Ekina,Ekina,1,11.285,-,-
Ekinece,Ekinece,1,11.285,-,-
Eknoor,Eknoor,4,5.342,1,1.853
Eknur,Eknur,1,11.285,-,-
Ekorjoka,Ekorjoka,1,11.285,1,1.853
Ekpereamaka,Ekpereamaka,1,11.285,-,-
Ekpereamaka-Leticia,Ekpereamaka-Leticia,1,11.285,-,-
Ekta,Ekta,1,11.285,-,-
Ekzona,Ekzona,1,11.285,-,-
Ela,Ela,949,215,73,95
Elá,Ela,1,11.285,-,-
Elâ,Ela,8,3.604,-,-
Elaa,Elaa,4,5.342,1,1.853
Ela-Ada,Ela-Ada,1,11.285,-,-
Elaaf,Elaaf,1,11.285,-,-
Elaaha,Elaaha,1,11.285,-,-
Elaf,Elaf,7,3.894,2,1.301
Elah,Elah,2,7.847,-,-
Elaha,Elaha,9,3.385,-,-
Elahe,Elahe,5,4.717,-,-
Elaia,Elaia,1,11.285,-,-
Elaila,Elaila,1,11.285,1,1.853
Elain,Elain,3,6.297,-,-
Elaina,Elaina,16,2.456,1,1.853
Elaina-Liliana,Elaina-Liliana,1,11.285,-,-
Elaine,Elena,94,856,6,643
Élaine,Elena,1,11.285,-,-
Elaine-Agnes,Elaine-Agnes,1,11.285,-,-
Elaine-Jaqueline,Elaine-Jaqueline,1,11.285,-,-
Elainy,Elainy,1,11.285,-,-
Elaís,Elaís,1,11.285,-,-
Elaisa,Elaisa,1,11.285,-,-
Elaiya,Elaiya,1,11.285,-,-
Ela-Jale,Ela-Jale,1,11.285,-,-
Elajda,Elajda,2,7.847,-,-
Ela-Leyal,Ela-Leyal,1,11.285,-,-
Ela-Leyla,Ela-Leyla,1,11.285,-,-
Ela-Mina,Ela-Mina,1,11.285,-,-
Elan,Elan,2,7.847,-,-
Elana,Elana,15,2.553,1,1.853
Elanaz,Elanaz,9,3.385,-,-
Ela-Naz,Ela-Naz,1,11.285,-,-
Elani,Elani,2,7.847,1,1.853
Elanor,Elanor,4,5.342,1,1.853
Elanora,Elanora,2,7.847,1,1.853
Elanur,Elanur,214,519,6,643
Ela-Nur,Ela-Nur,4,5.342,-,-
Elânur,Elanur,2,7.847,-,-
Elâ-Nur,Ela-Nur,1,11.285,-,-
Elara,Elara,56,1.172,16,333
Elare,Elare,1,11.285,-,-
Elaria,Elaria,9,3.385,1,1.853
Ela-Selin,Ela-Selin,1,11.285,-,-
Ela-Sophie,Ela-Sophie,1,11.285,-,-
Elasu,Elasu,7,3.894,-,-
Ela-Su,Ela-Su,3,6.297,-,-
Elavita,Elavita,1,11.285,-,-
Elay,Elay,1,11.285,-,-
Elaya,Elaya,2,7.847,-,-
Ela-Yaren,Ela-Yaren,1,11.285,-,-
Elayda,Elayda,1,11.285,-,-
Elayla,Elayla,1,11.285,-,-
Elayna,Elayna,1,11.285,1,1.853
Elayne,Elayne,3,6.297,1,1.853
Elaysa,Elaysa,2,7.847,1,1.853
Elba,Elba,3,6.297,-,-
Elbaroza,Elbaroza,1,11.285,-,-
Elberel,Elberel,1,11.285,-,-
Elbra,Elbra,1,11.285,1,1.853
Elcin,Elçin,6,4.246,-,-
Elçin,Elçin,12,2.905,-,-
Elda,Hilda,27,1.810,-,-
Eldana,Eldana,5,4.717,1,1.853
Eldiana,Eldiana,1,11.285,-,-
Eldina,Eldina,36,1.522,3,1.027
Eldisa,Eldisa,1,11.285,-,-
Eldora,Eldora,1,11.285,-,-
Eldrid,Eldrid,5,4.717,-,-
Elduana,Elduana,1,11.285,-,-
Elea,Elea,240,492,36,176
Eléa,Elea,3,6.297,-,-
Éléa,Elea,1,11.285,-,-
Elea-Alice,Elea-Alice,1,11.285,-,-
Elea-Amelie,Elea-Amelie,1,11.285,-,-
Eleah,Eleah,11,3.042,-,-
Elea-Isabel,Elea-Isabel,1,11.285,-,-
Elea-Marie,Elea-Marie,1,11.285,1,1.853
Eleana,Eleana,9,3.385,2,1.301
Eléana,Eleana,1,11.285,1,1.853
Eleani,Eleani,1,11.285,-,-
Eleanor,Eleonora,99,824,10,451
Eleanora,Eleanora,8,3.604,3,1.027
Eleanor-Chanel,Eleanor-Chanel,1,11.285,-,-
Eleanore,Eleanore,8,3.604,1,1.853
Eleanor-Giovanna,Eleanor-Giovanna,1,11.285,1,1.853
Eleanor-June,Eleanor-June,1,11.285,-,-
Eleanor-Ophelia,Eleanor-Ophelia,1,11.285,-,-
Eleanor-Rose,Eleanor-Rose,1,11.285,-,-
Eléanor-Sofia,Eléanor-Sofia,1,11.285,1,1.853
Elea-Rose,Elea-Rose,1,11.285,-,-
Elea-Sophie,Elea-Sophie,5,4.717,-,-
Electra,Electra,4,5.342,1,1.853
Eleen,Eleen,10,3.195,1,1.853
Eleena,Eleena,8,3.604,2,1.301
Eleeza,Eleeza,1,11.285,-,-
Eleftheria,Eleftheria,5,4.717,-,-
Eleija,Eleija,1,11.285,-,-
Eleina,Eleina,1,11.285,-,-
Eleja,Eleja,1,11.285,-,-
Elejna,Elejna,3,6.297,2,1.301
Eleksandra,Eleksandra,1,11.285,-,-
Elektra,Elektra,13,2.775,-,-
Elem,Elem,3,6.297,-,-
Elen,Elena,36,1.522,4,854
Elén,Elena,2,7.847,-,-
Elena,Elena,8.256,43,382,17
Eléna,Elena,17,2.352,1,1.853
Elèna,Elena,1,11.285,-,-
Élena,Elena,1,11.285,-,-
Elena-Anastasia,Elena-Anastasia,1,11.285,-,-
Elena-Andrea,Elena-Andrea,1,11.285,-,-
Elena-Angelina,Elena-Angelina,1,11.285,-,-
Elena-Anita,Elena-Anita,1,11.285,-,-
Elena-Anna,Elena-Anna,1,11.285,-,-
Elena-Annemarie,Elena-Annemarie,1,11.285,-,-
Elena-Antonia,Elena-Antonia,1,11.285,-,-
Elena-Ayleen,Elena-Ayleen,1,11.285,-,-
Elena-Carina,Elena-Carina,1,11.285,1,1.853
Elena-Carmen,Elena-Carmen,1,11.285,-,-
Elena-Catalina,Elena-Catalina,1,11.285,-,-
Elena-Celin,Elena-Celin,1,11.285,1,1.853
Elena-Celine,Elena-Celine,1,11.285,-,-
Elena-Chiara,Elena-Chiara,1,11.285,-,-
Elena-Christin,Elena-Christin,1,11.285,-,-
Elena-Christina,Elena-Christina,1,11.285,-,-
Elena-Daria,Elena-Daria,1,11.285,-,-
Elena-Emma,Elena-Emma,1,11.285,-,-
Elena-Evelyn,Elena-Evelyn,1,11.285,-,-
Elena-Franziska,Elena-Franziska,1,11.285,-,-
Elena-Gabriela,Elena-Gabriela,1,11.285,-,-
Elena-Giulia,Elena-Giulia,1,11.285,-,-
Elenah,Elenah,4,5.342,1,1.853
Elena-Isabell,Elena-Isabell,1,11.285,1,1.853
Elena-Jael,Elena-Jael,1,11.285,-,-
Elena-June,Elena-June,1,11.285,-,-
Elena-Katharina,Elena-Katharina,3,6.297,-,-
Elena-Kristin,Elena-Kristin,1,11.285,-,-
Elena-Kristina,Elena-Kristina,1,11.285,1,1.853
Elena-Lara,Elena-Lara,2,7.847,-,-
Elena-Laura,Elena-Laura,1,11.285,-,-
Elena-Leonie,Elena-Leonie,1,11.285,1,1.853
Elena-Lia,Elena-Lia,1,11.285,-,-
Elena-Lisa,Elena-Lisa,1,11.285,-,-
Elena-Luisa,Elena-Luisa,1,11.285,-,-
Elena-Madalina,Elena-Madalina,1,11.285,-,-
Elena-Magdalena,Elena-Magdalena,1,11.285,-,-
Elena-Maja,Elena-Maja,1,11.285,-,-
Elena-Maria,Elena-Maria,13,2.775,-,-
Elena-Marie,Elena-Marie,7,3.894,-,-
Elena-Marleen,Elena-Marleen,1,11.285,-,-
Elena-Mercedes,Elena-Mercedes,1,11.285,-,-
Elena-Michelle,Elena-Michelle,1,11.285,-,-
Elena-Miriam,Elena-Miriam,1,11.285,-,-
Elena-Miruna,Elena-Miruna,1,11.285,-,-
Elena-Nina,Elena-Nina,1,11.285,-,-
Elena-Nora,Elena-Nora,1,11.285,-,-
Elena-Patricia,Elena-Patricia,1,11.285,-,-
Elena-Raisa,Elena-Raisa,1,11.285,-,-
Elena-Roberta,Elena-Roberta,1,11.285,-,-
Elena-Selina,Elena-Selina,1,11.285,1,1.853
Elena-Sofie,Elena-Sofie,1,11.285,-,-
Elena-Sophia,Elena-Sophia,3,6.297,-,-
Elena-Sophie,Elena-Sophie,19,2.208,-,-
Elena-Theresa,Elena-Theresa,1,11.285,-,-
Elena-Timea,Elena-Timea,1,11.285,-,-
Elena-Victoria,Elena-Victoria,1,11.285,-,-
Elenay,Elenay,1,11.285,-,-
Elenaz,Elenaz,1,11.285,1,1.853
Elen-Duha,Elen-Duha,1,11.285,-,-
Elene,Elena,19,2.208,-,-
Elène,Elena,2,7.847,-,-
Elene-Lea,Elene-Lea,1,11.285,-,-
Eleni,Elena,137,679,8,525
Eléni,Elena,2,7.847,-,-
Elenia,Elenia,10,3.195,-,-
Elenie,Elenie,4,5.342,-,-
Elenie-Atlanta,Elenie-Atlanta,1,11.285,-,-
Eleni-Ioanna,Eleni-Ioanna,1,11.285,-,-
Elenija,Elenija,1,11.285,-,-
Eleni-Maria,Eleni-Maria,2,7.847,-,-
Elenio,Elenio,1,11.285,-,-
Elenis,Elenis,2,7.847,-,-
Eleni-Sophia,Eleni-Sophia,1,11.285,-,-
Eleni-Sophie,Eleni-Sophie,1,11.285,-,-
Eleni-Summer,Eleni-Summer,1,11.285,-,-
Elenna,Elenna,2,7.847,1,1.853
Elenoa,Elenoa,1,11.285,-,-
Elenor,Eleonora,99,824,12,404
Elénor,Eleonora,1,11.285,-,-
Elenora,Eleonora,47,1.305,4,854
Elenore,Eleonora,17,2.352,3,1.027
Elenur,Elenur,1,11.285,1,1.853
Elenya,Elenya,5,4.717,1,1.853
Eleodora,Eleodora,1,11.285,-,-
Eleojo,Eleojo,1,11.285,-,-
Eleona,Eleona,2,7.847,1,1.853
Eleonita,Eleonita,1,11.285,-,-
Eleonor,Eleonora,15,2.553,3,1.027
Eleonora,Eleonora,437,335,43,156
Eleonóra,Eleonora,4,5.342,-,-
Eléonora,Eleonora,1,11.285,-,-
Eleonora-Amelia,Eleonora-Amelia,1,11.285,-,-
Eleonora-Anastasia,Eleonora-Anastasia,1,11.285,-,-
Eleonora-Eleni,Eleonora-Eleni,1,11.285,-,-
Eleonora-Katharina,Eleonora-Katharina,1,11.285,-,-
Eleonora-Liliane,Eleonora-Liliane,1,11.285,-,-
Eleonora-Valeria,Eleonora-Valeria,1,11.285,-,-
Eleonore,Eleonora,177,572,15,348
Eléonore,Eleonora,3,6.297,1,1.853
Éléonore,Eleonora,3,6.297,-,-
Eles,Eles,1,11.285,-,-
Elessia,Elessia,1,11.285,-,-
Elettra,Elettra,2,7.847,-,-
Eleya,Eleya,6,4.246,5,737
Eleya-Jane,Eleya-Jane,1,11.285,1,1.853
Eleyn,Eleyn,1,11.285,-,-
Eleyna,Eleyna,22,2.020,3,1.027
Eleyna-Marie,Eleyna-Marie,2,7.847,1,1.853
Eleyna-Selina,Eleyna-Selina,1,11.285,-,-
Eleysa,Eleysa,23,1.964,3,1.027
Elezan,Elezan,1,11.285,-,-
Elfatia,Elfatia,1,11.285,-,-
Elfe,Elfe,1,11.285,-,-
Elfi,Elfi,7,3.894,-,-
Elfida,Elfida,24,1.920,1,1.853
Elfie,Elfi,7,3.894,1,1.853
Elfija,Elfija,1,11.285,-,-
Elfin,Elfin,1,11.285,-,-
Elfrida,Elfrida,2,7.847,-,-
Elfried,Elfriede,1,11.285,-,-
Elfrieda,Elfrieda,1,11.285,-,-
Elfriede,Elfriede,124,726,-,-
Elfriede-Anne,Elfriede-Anne,1,11.285,1,1.853
Elfriede-Stefanie,Elfriede-Stefanie,1,11.285,-,-
Elfrun,Elfrun,1,11.285,-,-
Elfy,Elfy,1,11.285,-,-
Elga,Helga,1,11.285,-,-
Elgida,Elgida,1,11.285,-,-
Elgin,Elgin,1,11.285,-,-
Elha,Elha,2,7.847,-,-
Elhaida,Elhaida,1,11.285,1,1.853
Elham,Elham,7,3.894,-,-
Elhame,Elhame,3,6.297,-,-
Elhamije,Elhamije,1,11.285,-,-
Elhana,Elhana,4,5.342,-,-
Elhira,Elhira,1,11.285,-,-
Eli,Eli,2,7.847,-,-
Elia,Elia,44,1.361,2,1.301
Eliaa,Eliaa,1,11.285,-,-
Elia-Aileen,Elia-Aileen,1,11.285,-,-
Elia-Ailen,Elia-Ailen,1,11.285,-,-
Eliah,Eliah,1,11.285,-,-
Eliah-Sophie,Eliah-Sophie,1,11.285,-,-
Elia-Maria,Elia-Maria,1,11.285,-,-
Elian,Elian,4,5.342,-,-
Eliana,Eliana,172,587,19,296
Eliana-Angela,Eliana-Angela,1,11.285,-,-
Elianah,Elianah,1,11.285,-,-
Eliana-Valentina,Eliana-Valentina,1,11.285,-,-
Eliane,Eliane,19,2.208,1,1.853
Eliane-Lucia,Eliane-Lucia,1,11.285,-,-
Eliane-Ulrike,Eliane-Ulrike,1,11.285,-,-
Elianna,Elianna,2,7.847,-,-
Elianne,Elianne,3,6.297,-,-
Elianny,Elianny,1,11.285,-,-
Eliara,Eliara,2,7.847,1,1.853
Elia-Theresia,Elia-Theresia,1,11.285,-,-
Elia-Zoe,Elia-Zoe,1,11.285,-,-
Elice,Elice,4,5.342,-,-
Elice-Victoria,Elice-Victoria,1,11.285,-,-
Elicia,Elicia,1,11.285,-,-
Elida,Elida,35,1.552,1,1.853
Elidiana,Elidiana,1,11.285,-,-
Elie,Elie,3,6.297,1,1.853
Eliea,Eliea,1,11.285,-,-
Elien,Elien,8,3.604,2,1.301
Elies,Elies,5,4.717,-,-
Eliesa,Eliesa,9,3.385,-,-
Eliese,Elisa,4,5.342,-,-
Eliette,Eliette,2,7.847,-,-
Elif,Elif,1.541,168,78,89
Elïf,Elif,3,6.297,-,-
Elifa,Elifa,5,4.717,-,-
Elifada,Elifada,1,11.285,-,-
Elif-Alya,Elif-Alya,1,11.285,1,1.853
Elif-Aylin,Elif-Aylin,1,11.285,-,-
Elif-Berra,Elif-Berra,1,11.285,-,-
Elif-Betül,Elif-Betül,1,11.285,-,-
Elife,Elif,16,2.456,2,1.301
Elif-Ebrar,Elif-Ebrar,2,7.847,-,-
Elif-Eylül,Elif-Eylül,1,11.285,-,-
Elifgül,Elifgül,2,7.847,-,-
Elif-Gül,Elif-Gül,1,11.285,-,-
Elif-Hira,Elif-Hira,1,11.285,-,-
Elif-Iclal,Elif-Iclal,1,11.285,-,-
