Liste aller jemals vergebenen ersten Mädchennamen 1984-2020,,,,,
,,,,,
Vorname,,Anzahl,Rang,Anzahl,Rang
Ahlagül,Ahlagül,1,11.285,-,-
Ahlam,Ahlam,17,2.352,-,-
Ahlan,Ahlan,1,11.285,-,-
Ahlem,Ahlem,3,6.297,-,-
Ahlena,Ahlena,1,11.285,-,-
Ahlina,Ahlina,1,11.285,-,-
Ahmedina,Ahmedina,1,11.285,-,-
Ahn,Ahn,1,11.285,-,-
Ahria,Ahria,1,11.285,-,-
Ahsen,Ahsen,56,1.172,4,854
Ahsene,Ahsene,1,11.285,-,-
Ahsen-Ebrar,Ahsen-Ebrar,1,11.285,-,-
Ahsen-Nas,Ahsen-Nas,1,11.285,-,-
Ahsen-Nur,Ahsen-Nur,1,11.285,-,-
Ahsen-Sare,Ahsen-Sare,2,7.847,-,-
Ahsen-Șura,Ahsen-Șura,1,11.285,-,-
Ahu,Ahu,10,3.195,-,-
Ahunisa,Ahunisa,1,11.285,-,-
Ahunur,Ahunur,1,11.285,1,1.853
Ahuser,Ahuser,1,11.285,-,-
Ahyoka,Ahyoka,1,11.285,-,-
Ai,Ai,5,4.717,-,-
Aia,Aia,3,6.297,-,-
Aiana,Aiana,4,5.342,-,-
Aibenis,Aibenis,1,11.285,-,-
Aicha,Aicha,18,2.286,2,1.301
Aïcha,Aicha,3,6.297,-,-
Aïcha-Valerie,Aïcha-Valerie,1,11.285,-,-
Aida,Aida,208,525,8,525
Aida-Elisa,Aida-Elisa,1,11.285,-,-
Aida-Elisabeta,Aida-Elisabeta,1,11.285,-,-
Aida-Jasmina,Aida-Jasmina,1,11.285,-,-
Aidan,Aidan,1,11.285,-,-
Aida-Sonia,Aida-Sonia,1,11.285,-,-
Aide,Aide,2,7.847,-,-
Aideen,Aideen,1,11.285,-,-
Aișe,Ayşe,4,5.342,-,-
Aișe-Lina,Aișe-Lina,1,11.285,1,1.853
Aihua,Aihua,1,11.285,-,-
Aija,Aija,4,5.342,-,-
Aijka,Aijka,1,11.285,-,-
Aijla,Aijla,1,11.285,-,-
Aika,Aika,3,6.297,1,1.853
Aikaterini,Aikaterini,3,6.297,-,-
Aikaterini-Nikoleta,Aikaterini-Nikoleta,1,11.285,-,-
Aiko,Aiko,4,5.342,1,1.853
Aiko-Zoe,Aiko-Zoe,1,11.285,-,-
Aila,Aila,29,1.732,7,573
Ailan,Ailan,1,11.285,-,-
Aileen,Aileen,328,396,5,737
Aileena,Aileen,1,11.285,-,-
Aileen-Diane,Aileen-Diane,1,11.285,-,-
Aileen-Juana,Aileen-Juana,1,11.285,-,-
Aileen-Lea,Aileen-Lea,1,11.285,-,-
Aileen-Marie,Aileen-Marie,1,11.285,-,-
Aileen-Noëlle,Aileen-Noëlle,1,11.285,-,-
Aileen-Sophie,Aileen-Sophie,1,11.285,-,-
Aileen-Valentina,Aileen-Valentina,1,11.285,-,-
Ailey,Ailey,1,11.285,-,-
Aili,Aili,2,7.847,-,-
Ailia,Ailia,2,7.847,-,-
Ailihan,Ailihan,1,11.285,-,-
Ailila,Ailila,1,11.285,-,-
Ailin,Aileen,21,2.073,-,-
Ailina,Aileen,14,2.668,-,-
Ailine,Aileen,4,5.342,1,1.853
Ailîs,Ailîs,1,11.285,-,-
Ãilkay,Ãilkay,1,11.285,-,-
Ãilknur,Ãilknur,1,11.285,-,-
Ailleen,Aileen,1,11.285,-,-
Ailyn,Ailyn,7,3.894,-,-
Aima,Aima,3,6.297,-,-
Aimaée,Amy,1,11.285,-,-
Aimé,Amy,2,7.847,-,-
Aimee,Amy,41,1.398,1,1.853
Aimée,Amy,37,1.496,1,1.853
Aimèe,Amy,1,11.285,-,-
Aimee-Luise,Aimee-Luise,1,11.285,-,-
Aimeé-Raffaela,Aimeé-Raffaela,1,11.285,-,-
Aimee-Sophie,Aimee-Sophie,1,11.285,1,1.853
Aimi,Amy,3,6.297,1,1.853
Aimie,Amy,3,6.297,-,-
Aimie-Lee,Aimie-Lee,1,11.285,-,-
Aimúe,Amy,4,5.342,-,-
Aimy,Amy,1,11.285,-,-
Ain,Ain,1,11.285,-,-
Aina,Ajna,15,2.553,2,1.301
Aina-Mia,Aina-Mia,1,11.285,-,-
Ainara,Ainara,1,11.285,-,-
Ainaz,Ainaz,1,11.285,-,-
Ainhoa,Ainhoa,8,3.604,-,-
Ainna,Ainna,1,11.285,1,1.853
Aino,Aino,7,3.894,-,-
Ainoa,Ainoa,7,3.894,-,-
Ainoah,Ainoah,1,11.285,-,-
Ainslie,Ainslie,1,11.285,-,-
Ainur,Ainur,1,11.285,-,-
Aiola,Aiola,3,6.297,-,-
Aira,Aira,6,4.246,-,-
Aira-Jane,Aira-Jane,1,11.285,-,-
Ãirem,Ãirem,3,6.297,-,-
Airen,Airen,1,11.285,-,-
Airin,Airin,2,7.847,-,-
Aisa,Ayşe,21,2.073,1,1.853
Aiša,Ayşe,45,1.342,5,737
Aişa,Ayşe,1,11.285,-,-
Aîsa,Ayşe,1,11.285,-,-
Aisatou,Aisatou,2,7.847,-,-
Aischa,Ayşe,123,732,7,573
Aischa-Noor,Aischa-Noor,1,11.285,-,-
Aischat,Aischat,16,2.456,-,-
Aischeh,Aischeh,1,11.285,-,-
Aise,Ayşe,12,2.905,1,1.853
Aişe,Ayşe,30,1.695,1,1.853
Aişe-Ela,Aişe-Ela,1,11.285,-,-
Aişe-Hümeyra,Aişe-Hümeyra,1,11.285,-,-
Aisel,Aisel,2,7.847,1,1.853
Aise-Nur,Aise-Nur,1,11.285,-,-
Aişenur,Aişenur,1,11.285,-,-
Aiseosa,Aiseosa,1,11.285,-,-
Aiseren,Aiseren,1,11.285,-,-
Aişe-Şevval,Aişe-Şevval,1,11.285,-,-
Aisha,Ayşe,265,454,26,230
Aïsha,Ayşe,1,11.285,-,-
Äisha,Ayşe,1,11.285,-,-
Aishah,Aishah,1,11.285,-,-
Aisha-Islam,Aisha-Islam,1,11.285,-,-
