Vornamen Neugeborene Wien nach Geschlecht und Aussprache seit 2010 / First names of newborns in Vienna since 2010, aggregation by sex and pronunciation
"NUTS";"DISTRICT_CODE";"SUB_DISTRICT_CODE";"REF_YEAR";"REF_DATE";"SEX";"RANK";"NAME";"NAME_ALL";"N";"PERC_SEX"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Gülseren";"Gülseren";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Gurleen";"Gurleen";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Gwäyne-Mackenzie";"Gwäyne-Mackenzie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Habiba";"Habiba";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hacer";"Hacer";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hadas";"Hadas";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hadija";"Hadija";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hadisa";"Hadisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hadja";"Hadja";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hager";"Hager";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hajra";"Hajra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hale";"Hale";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Halima";"Halima";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Halisa";"Halisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hamidenur";"Hamidenur";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hamieda";"Hamieda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hamna";"Hamna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hamra";"Hamra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hanadi";"Hanadi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hande";"Hande";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hanie";"Hanie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hanife";"Hanife";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hanim";"Hanim";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Haniya";"Haniya";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hannah-Sophia";"Hannah-Sophia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hareem";"Hareem";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hargun";"Hargun";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Harpreet";"Harpreet";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Harsimrat";"Harsimrat";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hasna";"Hasna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hawwa";"Hawwa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Haya";"Haya";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayah";"Hayah";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayat";"Hayat";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayru";"Hayru";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayrunisa";"Hayrunisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayrunnisa";"Hayrunnisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hayrünnisa";"Hayrünnisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Heda";"Heda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hedi";"Hedi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hella";"Hella";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hemma";"Hemma";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hena";"Hena";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Henna";"Henna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Henriette";"Henriette";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hermine";"Hermine";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hevin";"Hevin";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hila";"Hila";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hilda";"Hilda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hina";"Hina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hivda";"Hivda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Holly";"Holly";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hüma";"Hüma";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hümerra";"Hümerra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hur";"Hur";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Hyacinth";"Hyacinth";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Idil";"Idil";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iemima";"Iemima";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iescha";"Iescha";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iga";"Iga";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ikbal";"Ikbal";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iklima";"Iklima";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ikra";"Ikra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ildikao";"Ildikao";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilenia";"Ilenia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilhana";"Ilhana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iliana";"Ilijana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilinka";"Ilinka";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilire";"Ilire";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilkim";"Ilkim";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Illona";"Illona";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilma";"Ilma";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilse";"Ilse";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ilvy-Marie";"Ilvy-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Inga";"Inga";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ingrid";"Ingrid";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Inna";"Inna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Insia";"Insia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iphigenia";"Iphigenia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iqra";"Iqra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iremnur";"Iremnur";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Irene";"Irene";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Irma";"Irma";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ishmeet";"Ishmeet";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Isis";"Isis";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Isolde";"Isolde";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iva-Marie";"Iva-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iyapha";"Iyapha";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Iyesogie";"Iyesogie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jacquilene";"Jacquilene";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jagoda";"Jagoda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jaismeen";"Jaismeen";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jamie";"Jamie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jamina";"Jamina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jana-Tina";"Jana-Tina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Janetta";"Janetta";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Janette-Lara";"Janette-Lara";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Janvi";"Janvi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Japnoor";"Japnoor";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Japsimran";"Japsimran";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jasmeet";"Jasmeet";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jasmit";"Jasmit";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jeannelyn";"Jeannelyn";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jehudit";"Jehudit";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jemima";"Jemima";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jessica-Gerda";"Jessica-Gerda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jiawei";"Jiawei";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jil";"Jil";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jimena";"Jimena";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jinda";"Jinda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Joanne";"Joanne";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jochewed";"Jochewed";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Johanka";"Johanka";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Johanna-Maria";"Johanna-Maria";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Joleen";"Joleen";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jolie";"Jolie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Joliena-Rose";"Joliena-Rose";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jonisa";"Jonisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jonna";"Jonna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jora";"Jora";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Josefin";"Josefin";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Josefina";"Josefina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jovanka";"Jovanka";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Judit";"Judith";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Judita";"Judita";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Judy";"Judy";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Jule";"Jule";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julia-Gisela";"Julia-Gisela";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julia-Marie";"Julia-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julia-Raluca";"Julia-Raluca";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julianna";"Julianna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Juliette";"Juliette";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julisa";"Julisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Julita";"Julita";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Juljana";"Juljana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"June";"June";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Junia-Aimee";"Junia-Aimee";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Justyna";"Justina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kader";"Kader";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kadriye";"Kadriye";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kaera";"Kaera";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kailin";"Kailin";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kaiyi";"Kaiyi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kala";"Kala";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kalea";"Kalea";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kamea";"Kamea";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kamna";"Kamna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Karla-Oana";"Karla-Oana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Katarzyna";"Katarzyna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Katy";"Katy";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kayel";"Kayel";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kayla-Danielle";"Kayla-Danielle";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Keara";"Keara";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kehl";"Kehl";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Keshia";"Keshia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kevser";"Kevser";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kezia";"Kezia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Keziah";"Keziah";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Khanh-Vy";"Khanh-Vy";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kiera";"Kiera";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kiki";"Kiki";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kinda";"Kinda";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kira";"Kira";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kirsten";"Kirsten";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kisha";"Kisha";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Klara-Sophie";"Klara-Sophie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kokoro";"Kokoro";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kosara";"Kosara";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kvitka";"Kvitka";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kylie";"Kylie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Kyra-Naomi";"Kyra-Naomi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"La";"La";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Laiba";"Laiba";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lale";"Lale";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lamisa";"Lamisa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lana-Liora";"Lana-Liora";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lanea";"Lanea";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lani";"Lani";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lara-Ioana";"Lara-Ioana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lara-Marie";"Lara-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lara-Sophie";"Lara-Sophie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Larees-Zara";"Larees-Zara";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Larin";"Larin";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Larina";"Larina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Laticia";"Laticia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Latifah";"Latifa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Laurina";"Laurina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Layal";"Layal";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lazzia";"Lazzia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lea-Amalia";"Lea-Amalia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lea-Carmina";"Lea-Carmina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lea-Marie";"Lea-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leah-Marie";"Leah-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leandra";"Leandra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leen";"Leen";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leilani";"Leilani";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lene-Iris";"Lene-Iris";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lenie";"Lenie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lenka";"Lenka";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leonie-Samentha";"Leonie-Samentha";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leonie-Sophie";"Leonie-Sophie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leonita";"Leonita";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leonor";"Leonor";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lesna";"Lesna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Letitia";"Letitia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leto";"Leto";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Leviah";"Leviah";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liana";"Liana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lidya";"Lidya";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liel";"Liel";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liese";"Liese";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lika";"Lika";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lil";"Lil";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lili-Anna";"Lili-Anna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liljana";"Liljana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lilla";"Lilla";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lillemor";"Lillemor";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lilliana";"Lilliana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lillyan";"Lillyan";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lilyana";"Lilyana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lina-Christina";"Lina-Christina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lina-Sophie";"Lina-Sophie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Linde";"Linde";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lindita";"Lindita";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lindsay";"Lindsay";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lindsey";"Lindsey";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Linea";"Linea";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Linette";"Lynette";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ling";"Ling";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lini";"Lini";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liora";"Liora";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liresa";"Liresa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lisa-Sophie";"Lisa-Sophie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lisann";"Lisann";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lisbeth";"Lisbeth";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liuba";"Liuba";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Livi";"Livi";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Liza";"Liza";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lizett";"Lizett";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lizge";"Lizge";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ljubica";"Ljubica";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Loana";"Loana";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lobna";"Lobna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lois";"Lois";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lojaina";"Lojaina";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lola-Marie";"Lola-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lona";"Lona";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lone";"Lone";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Loressa";"Loressa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lottie";"Lottie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Louane";"Louane";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Louisa-Marie";"Louisa-Marie";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lubayna";"Lubayna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Luca";"Luca";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lucile";"Lucile";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lucilia";"Lucilia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Ludmila";"Ludmila";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lukia";"Lukia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Luna-Leandra";"Luna-Leandra";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lusa";"Lusa";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Luul";"Luul";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lydia";"Lydia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lyna";"Lyna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Lyrica";"Lyrica";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maab";"Maab";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maayan";"Maayan";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Madelainne";"Madelainne";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Madlen";"Madlen";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maelle";"Maëlle";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maeve";"Maeve";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Magdolna";"Magdolna";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maha";"Maha";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Mahdia";"Mahdia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Mahkhanum";"Mahkhanum";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Mahnaz";"Mahnaz";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Mahriam";"Mahriam";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maide";"Maide";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maila";"Maila";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maisun";"Maisun";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Maja-Olivia";"Maja-Olivia";"1";"0,0"
"AT13";"90000";"90000";"2012";"2012";"2";"719";"Majdulin";"Majdulin";"1";"0,0"
