Vornamen Neugeborene Wien nach Geschlecht und Aussprache seit 2010 / First names of newborns in Vienna since 2010, aggregation by sex and pronunciation
"NUTS";"DISTRICT_CODE";"SUB_DISTRICT_CODE";"REF_YEAR";"REF_DATE";"SEX";"RANK";"NAME";"NAME_ALL";"N";"PERC_SEX"
"AT13";"90000";"90000";"2010";"2010";"1";"53";"Denis";"Deniz";"34";"0,4"
"AT13";"90000";"90000";"2010";"2010";"1";"53";"Manuel";"Manuel";"34";"0,4"
"AT13";"90000";"90000";"2010";"2010";"1";"53";"Mehmet";"Mehmet";"34";"0,4"
"AT13";"90000";"90000";"2010";"2010";"1";"58";"Jonathan";"Jonathan";"33";"0,4"
"AT13";"90000";"90000";"2010";"2010";"1";"58";"Laurenz";"Laurenz";"33";"0,4"
"AT13";"90000";"90000";"2010";"2010";"1";"60";"Clemens";"Clemens";"32";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"60";"Lorenz";"Lorenz";"32";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"60";"Mustafa";"Mustafa";"32";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"60";"Theodor";"Theodor";"32";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"64";"Ben";"Ben";"31";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"64";"Nikola";"Nikola";"31";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"66";"Kevin";"Kevin";"30";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"67";"Eren";"Eren";"29";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"67";"Martin";"Martin";"29";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"67";"Tim";"Tim";"29";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"70";"Justin";"Justin";"28";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"70";"Mario";"Mario";"28";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"70";"Max";"Max";"28";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"70";"Vincent";"Vincent";"28";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"74";"Markus";"Markus";"27";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"75";"Antonio";"Antonio";"26";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"75";"Enes";"Enes";"26";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"75";"Mert";"Mert";"26";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"78";"Andreas";"Andreas";"24";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"78";"Christoph";"Christoph";"24";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"78";"Thomas";"Thomas";"24";"0,3"
"AT13";"90000";"90000";"2010";"2010";"1";"81";"Johannes";"Johannes";"23";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"81";"Kilian";"Kilian";"23";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Andrej";"Andrej";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Benedikt";"Benedikt";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Erik";"Erik";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Ibrahim";"Ibrahim";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Mihajlo";"Mihajlo";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"83";"Timo";"Timo";"22";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"89";"Abdullah";"Abdullah";"21";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"89";"Arda";"Arda";"21";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"89";"Efe";"Efe";"21";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"89";"Pascal";"Pascal";"21";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"93";"Anton";"Anton";"20";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"93";"Ismail";"Ismail";"20";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"93";"Leonardo";"Leonardo";"20";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"93";"Theo";"Theo";"20";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"97";"Angelo";"Angelo";"19";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"97";"Armin";"Armin";"19";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"97";"Furkan";"Furkan";"19";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"97";"Lazar";"Lazar";"19";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"101";"Hasan";"Hasan";"18";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"101";"Nikolaus";"Nikolaus";"18";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"101";"Peter";"Peter";"18";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Arthur";"Arthur";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Berat";"Berat";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Bilal";"Bilal";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Emanuel";"Emanuel";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Fabio";"Fabio";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Finn";"Finn";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Kaan";"Kaan";"17";"0,2"
