First names in double names of boys 0-4 years 1 January 2008,,,
,,,
,Number,Frequency,Rank in 2005
1 Jón,209,2,1
2 Daníel,189,2,3
3 Aron,174,2,2
4 Viktor,151,2,4
5 Alexander,148,2,8
6 Arnar,136,2,7
7 Guðmundur,130,2,15
8 Gabríel,129,2,20
9 Kristján,127,2,11
10 Tómas,121,2,21
10 Stefán,121,2,16
12 Magnús,120,2,17
13 Sigurður,119,2,5
14 Mikael,115,2,23
15 Ísak,113,2,18
16 Kristófer,112,2,6
17 Andri,111,2,9
17 Ólafur,111,2,12
19 Einar,105,2,12
20 Gunnar,102,2,9
21 Róbert,100,2,14
22 Dagur,97,1,25
23 Jóhann,90,1,19
24 Bjarki,76,1,31
24 Óskar,76,1,44
26 Brynjar,73,1,28
27 Ólíver,72,1,37
28 Björn,70,1,24
29 Sindri,67,1,22
29 Arnór,67,1,26
31 Davíð,63,1,33
31 Matthías,63,1,56
33 Pétur,62,1,48
34 Emil,61,1,53
35 Helgi,60,1,27
36 Benedikt,59,1,37
37 Elvar,54,1,28
38 Hákon,53,1,50
38 Tristan,53,1,46
40 Anton,52,1,36
40 Kári,52,1,68
42 Atli,51,1,37
42 Þorsteinn,51,1,41
44 Jakob,50,1,56
45 Kristinn,49,1,35
45 Birkir,49,1,62
45 Birgir,49,1,62
45 Baldur,49,1,48
49 Hilmar,48,1,59
49 Ágúst,48,1,33
51 Egill,47,1,50
51 Jóhannes,47,1,50
53 Halldór,46,1,30
53 Ragnar,46,1,42
55 Alex,45,1,69
55 Árni,45,1,32
57 Haukur,44,1,82
58 Kjartan,43,1,54
58 Gísli,43,1,56
60 Friðrik,41,1,54
60 Axel,41,1,44
62 Bjarni,40,1,46
63 Hlynur,39,1,66
63 Fannar,39,1,37
63 Adam,39,1,66
66 Sveinn,38,1,62
67 Sævar,37,1,60
67 Elías,37,1,82
69 Sölvi,36,1,74
69 Eyþór,36,1,62
69 Ásgeir,36,1,74
69 Guðjón,36,1,42
73 Óðinn,35,1,91
73 Ari,35,1,77
73 Patrekur,35,1,85
76 Jökull,34,1,82
77 Þórður,33,1,98
77 Jónas,33,1,77
79 Ívar,32,1,71
79 Karl,32,1,77
81 Björgvin,31,1,60
82 Eiður,30,1,102
82 Tryggvi,30,1,97
82 Lúkas,30,1,140
85 Haraldur,29,1,74
85 Markús,29,1,116
87 Elmar,28,1,71
87 Snorri,28,1,137
87 Heiðar,28,1,98
87 Benjamín,28,1,91
91 Júlíus,27,1,85
91 Bjartur,27,1,77
91 Rúnar,27,1,98
91 Hrafn,27,1,124
91 Hrafnkell,27,1,165
96 Kolbeinn,26,1,91
97 Breki,25,1,88
97 Almar,25,1,116
99 Reynir,24,1,140
99 Logi,24,1,157
99 Steinar,24,1,71
102 Úlfur,23,1,140
102 Bergur,23,1,106
102 Hilmir,23,1,88
102 Sigurjón,23,1,124
,,,
Samtala einnefna og fyrra nafns tvínefna drengja.,,,
,,,
Latest update:,,,
20081112 00:00,,,
,,,
,,,
,,,
Copyright,,,
,,,
Units:,,,
"Number, freq. and rank",,,
,,,
,,,
Reference period:,,,
2008,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Internal reference code:,,,
MAN11101,,,
