"teppei","","ariyoshi","teppei ariyoshi","u","zbmath"
"sushil","","singh","sushil singh","u","zbmath"
"seiya","","haze","seiya haze","u","zbmath"
"jae","il","lee","jae il lee","u","zbmath"
"koji","","okuguchi","koji okuguchi","u","zbmath"
"takashi","","amisaki","takashi amisaki","u","zbmath"
"shoichi","","suzuki","shoichi suzuki","u","zbmath"
"makoto","","idzumi","makoto idzumi","u","zbmath"
"lutfi","","avazpour","lutfi avazpour","u","zbmath"
"cuong","","le","cuong le","u","zbmath"
"kunio","","kakie","kunio kakie","u","zbmath"
"sung","hoon","hong","sung hoon hong","u","zbmath"
"rama","","shankar","rama shankar","u","zbmath"
"asim","kumar","mandal","asim kumar mandal","u","zbmath"
"ori","","kfir","ori kfir","u","zbmath"
"kimiaki","","konno","kimiaki konno","u","zbmath"
"abdel","hadi","ahmed","abdel hadi ahmed","u","zbmath"
"huy","thang","cao","huy thang cao","u","zbmath"
"ben","da","zhou","ben da zhou","u","zbmath"
"kelong","","zhang","kelong zhang","u","zbmath"
"jinxiang","","yu","jinxiang yu","u","zbmath"
"yuecheng","","zhang","yuecheng zhang","u","zbmath"
"po","","zhang","po zhang","u","zbmath"
"hon","kit","wai","hon kit wai","u","zbmath"
"bao","wen","sun","bao wen sun","u","zbmath"
"byoung","chan","lee","byoung chan lee","u","zbmath"
"qunfeng","","yang","qunfeng yang","u","zbmath"
"rosario","","di-nardo","rosario di-nardo","u","zbmath"
"jacques","","pontier","jacques pontier","u","zbmath"
"michael","","robertson","michael robertson","u","zbmath"
"xuanping","","huang","xuanping huang","u","zbmath"
"chao","zhu","zhang","chao zhu zhang","u","zbmath"
"jingbo","","yu","jingbo yu","u","zbmath"
"shanghsien","","lin","shanghsien lin","u","zbmath"
"xiongping","","luo","xiongping luo","u","zbmath"
"shengzhi","","zhu","shengzhi zhu","u","zbmath"
"wai","king","ching","wai king ching","u","zbmath"
"zongyuan","","huang","zongyuan huang","u","zbmath"
"luoluo","","liu","luoluo liu","u","zbmath"
"cai","gui","liu","cai gui liu","u","zbmath"
"dae","","jong","dae jong","u","zbmath"
"chunyang","","yuan","chunyang yuan","u","zbmath"
"cheng","wei","chen","cheng wei chen","u","zbmath"
"yahya","","mezroui","yahya mezroui","u","zbmath"
"syuichi","","yaguchi","syuichi yaguchi","u","zbmath"
"luquan","","pan","luquan pan","u","zbmath"
"benhadid","","ayache","benhadid ayache","u","zbmath"
"yamin","","ma","yamin ma","u","zbmath"
"leming","","cheng","leming cheng","u","zbmath"
"tack","wang","lee","tack wang lee","u","zbmath"
"francis","","leahy","francis leahy","u","zbmath"
"ann","","thayer","ann thayer","u","genderize_r_authors"
"eric","","fine","eric fine","u","genderize_r_authors"
"hellmut","","reuss","hellmut reuss","u","genderize_r_authors"
"judith","louisa","schmid","judith louisa schmid","u","genderize_r_authors"
"shizuo","","akira","shizuo akira","u","genderize_r_authors"
"thomas","","golob","thomas golob","u","genderize_r_authors"
"molly","","haight","molly haight","u","genderize_r_authors"
"lisa","","harlow","lisa harlow","u","genderize_r_authors"
"irwin","","braverman","irwin braverman","u","genderize_r_authors"
"earl","","taft","earl taft","u","genderize_r_authors"
"paul","","ladenson","paul ladenson","u","genderize_r_authors"
"harry","","nursten","harry nursten","u","genderize_r_authors"
"anthony","","dyson","anthony dyson","u","genderize_r_authors"
"sarah","","reid","sarah reid","u","genderize_r_authors"
"michael","","knoll","michael knoll","u","genderize_r_authors"
"lluis","","bonet","lluis bonet","u","genderize_r_authors"
"jacek","","dudowitcz","jacek dudowitcz","u","genderize_r_authors"
