Contents,,,,
,,,,
"Table 6: Top names for baby boys1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsboys
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
779,EMERSON ,43,,
779,HUEY ,43,,
779,KIYAN ,43,,
779,MD ,43,,
779,YANIS ,43,,
786,AMIN ,42,,
786,ARONAS ,42,,
786,DENNY ,42,,
786,EDMUND ,42,,
786,FRANCESCO ,42,,
786,VIKTOR ,42,,
786,VLAD ,42,,
786,ZAKI ,42,,
794,ALEXANDRE ,41,,
794,ALFIE-JAMES ,41,,
794,AMAR ,41,,
794,AMMAR ,41,,
794,BARTOSZ ,41,,
794,EDGAR ,41,,
794,JULIUS ,41,,
794,KARSON ,41,,
794,KYRIE ,41,,
794,SHAAN ,41,,
794,SHAE ,41,,
794,ZIDANE ,41,,
806,ABDULLAHI ,40,,
806,ABDURRAHMAN ,40,,
806,ARIAN ,40,,
806,ARIYAN ,40,,
806,DARREN ,40,,
806,GENE ,40,,
806,KEATON ,40,,
806,PADDY ,40,,
806,ROHAAN ,40,,
806,RYLEE ,40,,
806,THIAGO ,40,,
806,YOUSSEF ,40,,
818,ADIL ,39,,
818,ADITYA ,39,,
818,AUBREY ,39,,
818,CAIN ,39,,
818,FAIZAN ,39,,
818,GRIFF ,39,,
818,IGNACY ,39,,
818,KABIR ,39,,
818,KOBIE ,39,,
818,LUCCA ,39,,
818,MIKAEL ,39,,
818,MUSAB ,39,,
818,PATRIK ,39,,
818,ROY ,39,,
818,VLADIMIR ,39,,
833,BOWIE ,38,,
833,CASSIAN ,38,,
833,DION ,38,,
833,EMRE ,38,,
833,ISHAAQ ,38,,
833,KENNY ,38,,
833,KENZO ,38,,
833,MAHIR ,38,,
833,NEIL ,38,,
833,RIYAN ,38,,
833,SEB ,38,,
833,TEO ,38,,
833,TERRY ,38,,
833,TONY ,38,,
833,WILF ,38,,
848,AJ ,37,,
848,ANDY ,37,,
848,ANTON ,37,,
848,ARLEY ,37,,
848,BENAS ,37,,
848,COLIN ,37,,
848,JED ,37,,
848,KADE ,37,,
848,KAMRAN ,37,,
848,MEHMET ,37,,
848,OWAIN ,37,,
848,SAHIL ,37,,
848,SHEA ,37,,
861,ABUBAKAR ,36,,
861,ABUBAKR ,36,,
861,AFFAN ,36,,
861,ARAN ,36,,
861,AUGUST ,36,,
861,BEAUDEN ,36,,
861,BENNY ,36,,
861,CAYSON ,36,,
861,CONRAD ,36,,
861,DAMON ,36,,
861,ELVIS ,36,,
861,GUS ,36,,
861,HASHIR ,36,,
861,HUZAIFA ,36,,
861,JAMESON ,36,,
861,JAYSON ,36,,
861,JEEVAN ,36,,
861,KARIM ,36,,
861,LAURIE ,36,,
861,LUCIEN ,36,,
861,MIHAI ,36,,
861,NIKITA ,36,,
861,RANVEER ,36,,
861,RONNY ,36,,
861,SALMAN ,36,,
861,SILAS ,36,,
861,ZAKARIYAH ,36,,
888,BUSTER ,35,,
888,CARLOS ,35,,
888,CHAIM ,35,,
888,CHRIS ,35,,
888,DEV ,35,,
888,DILAN ,35,,
888,HAKEEM ,35,,
888,HARLOW ,35,,
888,KENDRICK ,35,,
888,KENZIE ,35,,
888,LUQMAN ,35,,
888,MARIUS ,35,,
888,NOJUS ,35,,
888,RICARDO ,35,,
