,40130
Denise,2034
Dervla,3963
Desiree,331
Destiny,1479
Devon,1530
Diana,1028
Diane,470
Dion,343
Dionne,1692
Dolly,440
Dominika,763
Donna,1253
Drew,812
Eabha,2098
Eadaoin,5427
Ebony,4575
Edel,1776
Eden,3544
Edie,2091
Edith,1386
Effie,1241
Egle,440
Eibhleann,1202
Eibhlin,2894
Eile,440
Eileen,4005
Eilidh,2796
Eilis,5587
Eilise,339
Eilish,3104
Eimear,868
Eimer,1794
Eimhear,5251
Eimile,1153
Einin,440
Eire,803
Eireann,4107
Eirinn,3956
Ela,440
Elaine,785
Elana,430
Elayna,314
Eleanor,4954
Elena,4056
Eliana,1424
Elianna,440
Elija,1228
Elin,430
Elinor,372
Elise,4803
Elisha,5068
Eliza,2885
Elizabeth,1756
Ella,959
Ella-Jane,426
Ella-Louise,1497
Ella-Mae,654
Ella-May,1162
Ella-Rose,2968
Elle,4292
Ellen,937
Ellie,634
Ellie-Grace,451
Ellie-Louise,704
Ellie-Mae,2837
Ellie-May,3479
Ellie-Rose,3905
Ellis,358
Eloise,5020
Elsa,2536
Elsie,1717
Elyse,1230
Ema,1825
Emeli,618
Emelia,1550
Emelie,866
Emer,3400
Emilee,2369
Emilia,2215
Emilie,3249
Emilija,2521
Emily,263
Emily-grace,440
Emily-Rose,1143
Emma,170
Emma-Jane,1442
Emma-Jayne,778
Emma-Louise,3400
Emme,1747
Emmeline,439
Emmie,2054
Emmy,1396
Enna,440
Enya,4673
Erica,3583
Erika,3732
Erin,350
Erinn,4023
Eryn,3034
Esmae,439
Esme,2235
Esmee,1318
Esther,5353
Etain,1321
Eva,850
Eva-grace,440
Eva-Marie,430
Evangeline,723
Evanna,790
Eva-Rose,1358
Eve,1195
Evelina,1247
Evelyn,3504
Evie,1993
Ewa,869
Fae,439
Fainche,358
Faith,2032
Farah,3183
Farrah,2110
Fatima,451
Fay,700
Faye,2464
Felicity,2887
Fia,2115
Fiadh,1874
Fianna,3019
Finlay,348
Fiona,3658
Fionnuala,3835
Florence,2592
Florie,439
Frances,3324
Francesca,5074
Frankie,1231
Freya,1909
Freya-Rose,353
Freyja,797
Gabija,1629
Gabriela,3464
Gabriele,1713
Gabriella,3447
Gabrielle,4760
Gemma,2796
Genevieve,681
Georgia,1186
Georgie,2591
Georgina,5119
Geraldine,1740
Geri,351
Gianna,370
Gillian,1773
Gina,1268
Goda,1619
Grace,357
Gracie,2012
Gracie-mae,451
Grainne,3311
Greta,430
Hailey,2503
Hailie,1154
Haley,1942
Halle,3834
Hallie,2873
Hana,1450
Hanna,2876
Hannah,257
Harley,2152
Harlie,440
Harlow,353
Harmony,439
Harper,736
Harriet,3930
Hayden,859
Hayleigh,641
Hayley,4001
Hazel,1039
Heather,2466
Heidi,3135
Helen,4067
Helena,4551
Hollie,1325
Holly,637
Honey,377
Honor,2926
Hope,4172
Ida,879
Ieva,439
Iman,384
Imogen,3413
Indi,1267
India,4741
Indie,617
Iona,5249
Iris,1003
Isabel,3882
Isabella,1896
Isabelle,2743
Isibeal,439
Isla,1383
Isla-rose,306
Isobel,3351
Isobella,1593
Isobelle,451
Ivie,440
Ivy,1290
Izabela,440
Izabella,1266
Izzy,1113
Jacinta,877
Jacqueline,1414
Jada,311
Jade,3870
Jaden,351
Jagoda,440
Jaime,439
