157,"MARIA AMPARO",27618,"56,1"
158,DIANA,27468,"28,9"
159,LARA,26979,"17,6"
160,ASCENSION,26903,"67,4"
161,JESSICA,26186,31
162,AINARA,25879,"16,3"
163,NIEVES,25478,62
164,RAFAELA,25399,"65,8"
165,ADELA,25162,"61,1"
166,"MARIA ROCIO",25052,"43,6"
167,"CARMEN MARIA",24641,"39,3"
168,"JUANA MARIA",24508,"54,6"
169,FELISA,24179,"73,2"
170,CANDELA,23905,"11,1"
171,AMELIA,23877,"60,3"
172,AMALIA,23629,"60,1"
173,ELISABET,22131,"37,4"
174,LETICIA,21832,"34,1"
175,AROA,21467,"18,2"
176,LEONOR,21404,"59,3"
177,BARBARA,21280,41
178,MARIANA,21206,"47,4"
179,GABRIELA,21071,"29,4"
180,LOLA,20912,10
181,JUDITH,20848,"26,1"
182,ESTER,20650,"40,3"
183,RAMONA,20596,"69,6"
184,GUADALUPE,20200,"56,2"
185,JIMENA,20158,"9,7"
186,BERTA,19980,"28,3"
187,SHEILA,19881,"25,7"
188,CECILIA,19875,"48,5"
189,JOAQUINA,19872,"69,4"
190,NORA,19810,"14,4"
191,"MARIA MAGDALENA",19805,"55,5"
192,JENNIFER,19713,29
193,JUDIT,19523,"28,7"
194,ALEXANDRA,19410,"27,2"
195,HELENA,19221,"22,1"
196,"MARIA ENCARNACION",18918,"60,6"
197,ESTRELLA,18556,"49,7"
198,JULIANA,18440,"66,7"
199,ROSALIA,18245,"60,7"
200,NADIA,18182,27
201,OLIVIA,18033,"14,5"
202,SORAYA,17961,"31,8"
203,"MARIA FRANCISCA",17911,"60,6"
204,RUTH,17904,"33,5"
205,ELSA,17897,"21,4"
206,AGUSTINA,17780,"67,1"
207,PETRA,17742,"71,5"
208,"MARIA MONTSERRAT",17591,57
209,"MARIA YOLANDA",17401,"53,3"
210,ERIKA,16787,"21,3"
211,NAIARA,16776,"18,5"
212,"MARIA GLORIA",16637,62
213,ADORACION,16603,"66,2"
214,"MARIA MILAGROS",16322,"62,9"
215,PAOLA,16289,"19,9"
216,"MARIA CONSUELO",16273,"61,2"
217,MAR,16114,"15,3"
218,AINA,16093,"14,6"
219,LEYRE,15870,"13,4"
220,AIDA,15478,"32,6"
221,ALMA,15027,"7,3"
222,AFRICA,14964,"25,6"
223,MACARENA,14926,"30,8"
224,ESTELA,14699,"28,7"
225,VEGA,14533,"6,4"
226,AMAIA,14451,"30,6"
227,VERA,14387,"10,4"
228,YAIZA,14331,"20,3"
229,TATIANA,14283,"34,5"
230,ELISABETH,14052,"35,6"
231,ABRIL,13992,"8,1"
232,"MARIA REMEDIOS",13985,"57,9"
233,"MARIA REYES",13942,"53,1"
234,EUGENIA,13781,"60,6"
235,SARAY,13666,"21,6"
236,KHADIJA,13657,"33,7"
237,EULALIA,13416,"63,8"
238,IRIA,13346,"17,3"
239,AMANDA,13312,"26,2"
240,"MARIA ARANZAZU",13284,"53,8"
241,IRIS,12866,"19,2"
242,ITZIAR,12792,"32,5"
243,"MARIA TRINIDAD",12740,"54,3"
244,HERMINIA,12707,"68,9"
245,JOANA,12616,"35,8"
246,ARANZAZU,12575,"41,9"
247,"MARIA ESPERANZA",12534,"57,3"
248,ANE,12190,18
249,MAITE,12075,39
250,ENRIQUETA,12065,71
251,"MARIA FERNANDA",11756,"44,2"
252,PIEDAD,11495,"66,8"
253,MIRIAN,11489,"32,8"
254,FLORENTINA,11126,"66,2"
255,"ANA ROSA",11074,"51,3"
256,ELIZABETH,10964,"38,3"
257,MERITXELL,10767,"34,5"
258,DESIREE,10733,"26,1"
259,GREGORIA,10656,"73,2"
260,"ANTONIA MARIA",10564,"52,4"
261,NEUS,10501,"33,1"
262,VIOLETA,10500,"28,8"
263,"MARIA SOL",10474,"54,5"
264,AURELIA,10409,"68,9"
265,RITA,10265,"51,4"
266,SALMA,10109,"12,8"
267,"MARIA INES",10067,"55,2"
268,"MARIA JULIA",10058,"58,4"
269,TRIANA,10033,"6,4"
270,CANDIDA,10028,"70,1"
271,ELIA,9991,"28,8"
272,AMAYA,9979,37
273,CHLOE,9978,5
274,MERCE,9978,"56,7"
275,LYDIA,9953,30
276,"ALBA MARIA",9889,25
277,JANA,9743,"14,3"
278,CARIDAD,9688,63
279,IRINA,9660,"30,6"
280,ESMERALDA,9644,"41,6"
281,NAYARA,9618,"12,5"
282,LUNA,9607,"12,8"
283,SAGRARIO,9583,68
284,IRATI,9451,"15,6"
285,ROSER,9405,"54,8"
286,"ANA CRISTINA",9395,"42,5"
287,"MARIA MANUELA",9374,"63,2"
288,MIA,9248,"4,8"
289,"MARIA CANDELARIA",9204,"56,8"
290,"MARIA GRACIA",9171,"57,4"
291,GISELA,9158,"22,6"
292,AGUEDA,9145,56
293,"MARIA ASCENSION",9123,"61,2"
294,ALEXIA,9105,"13,8"
295,AYA,9066,"10,1"
296,AICHA,8996,"42,9"
297,CONSOLACION,8845,"62,6"
298,NAIMA,8742,"38,6"
299,"ANGELA MARIA",8656,"42,4"
300,ADELINA,8635,"66,4"
301,"MARIA DOLORS",8610,64
302,"MARIA PURIFICACION",8590,"64,7"
303,MARIAM,8528,"18,5"
304,ZAIRA,8499,"17,9"
305,ZOE,8495,"8,7"
306,ANABEL,8439,"30,6"
307,NAZARET,8429,"22,3"
308,MARA,8389,"12,8"
309,"ANNA MARIA",8354,"53,9"
310,FELICIDAD,8339,"69,3"
311,JENIFER,8338,"29,9"
312,SAMIRA,8336,30
313,"MARIA SAGRARIO",8281,"63,5"
314,CARME,8264,60
315,"MARIA CARME",8264,"61,5"
316,YASMINA,8250,"23,4"
317,"ELENA MARIA",8160,"41,7"
318,TEODORA,8159,"69,7"
