"Baby boys' first names, Slovenia, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST NAME,Number 1992,Number 1993,Number 1994,Number 1995,Number 1996,Number 1997,Number 1998,Number 1999,Number 2000,Number 2001,Number 2002,Number 2003,Number 2004,Number 2005,Number 2006,Number 2007,Number 2008,Number 2009,Number 2010,Number 2011,Number 2012,Number 2013,Number 2014,Number 2015,Number 2016,Number 2017,Number 2018,Number 2019,Rank 1992,Rank 1993,Rank 1994,Rank 1995,Rank 1996,Rank 1997,Rank 1998,Rank 1999,Rank 2000,Rank 2001,Rank 2002,Rank 2003,Rank 2004,Rank 2005,Rank 2006,Rank 2007,Rank 2008,Rank 2009,Rank 2010,Rank 2011,Rank 2012,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019
�rt,10,10,-,7,15,10,6,7,10,11,9,14,12,18,10,18,23,11,9,17,13,13,14,14,22,15,17,19,124,109,-,132,88,116,143,133,112,110,122,94,107,91,143,105,96,149,168,122,138,143,140,131,102,129,117,112
�rtomir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,-,-,-,-,-,-,-,-,-,-,-,-
Dajlan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,-
Damijan,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Damir,14,10,13,9,8,10,-,-,7,5,7,-,-,10,7,-,5,-,-,-,6,-,-,-,-,-,-,-,98,109,99,121,128,116,-,-,140,167,145,-,-,132,172,-,213,-,-,-,205,-,-,-,-,-,-,-
Damjan,31,30,38,21,22,23,22,10,10,8,7,9,8,-,7,-,6,10,-,7,6,-,7,5,-,-,6,7,69,69,59,78,74,74,75,113,112,127,145,126,135,-,172,-,189,156,-,193,205,-,200,233,-,-,205,190
Dan,-,-,-,-,-,-,-,-,6,5,-,7,-,10,7,8,10,5,9,12,-,6,10,-,-,7,5,5,-,-,-,-,-,-,-,-,158,167,-,147,-,132,172,157,145,222,168,141,-,204,166,-,-,198,238,238
Dani,-,7,-,-,-,8,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,7,-,-,-,5,12,9,-,134,-,-,-,120,-,-,-,-,183,-,-,-,-,-,-,-,-,-,-,185,-,-,-,241,140,165
Daniel,18,15,13,18,14,16,13,8,9,16,13,9,6,8,10,7,13,12,9,12,8,5,8,10,-,5,5,8,86,94,99,83,97,86,95,125,123,92,100,126,161,147,143,172,127,145,168,141,176,226,190,151,-,241,238,178
Danijel,47,38,23,33,22,23,14,15,16,21,19,11,13,-,8,15,12,15,6,8,8,6,9,6,6,7,8,-,52,58,75,60,74,74,93,91,87,82,85,109,97,-,159,115,131,122,202,181,176,204,177,213,208,198,178,-
Danilo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,-,-,-,-,235,-,-,-,-,-
Dario,-,6,-,-,-,7,-,8,6,-,7,6,-,-,-,-,-,-,-,6,-,-,-,-,6,-,-,-,-,147,-,-,-,131,-,125,158,-,145,165,-,-,-,-,-,-,-,208,-,-,-,-,208,-,-,-
Daris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,7,8,11,19,17,14,15,26,17,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,192,181,156,106,120,131,128,97,117,120
Darjan,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Darko,18,18,19,14,9,-,8,-,7,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,81,92,121,-,121,-,140,-,164,-,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
David,255,217,178,227,195,185,214,202,179,189,176,163,137,171,167,156,151,158,180,176,186,184,171,168,128,132,113,129,4,12,15,10,12,9,7,8,13,7,10,11,16,9,9,13,18,16,11,13,12,7,12,9,16,13,16,13
Davor,23,21,19,26,16,12,16,21,10,11,10,8,7,7,-,-,-,-,6,6,7,-,-,-,-,6,-,-,80,77,81,68,87,101,88,81,112,110,110,139,145,158,-,-,-,-,202,208,194,-,-,-,-,219,-,-
Davorin,14,14,15,11,8,-,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,95,93,108,128,-,121,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Davud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,7,9,15,11,19,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,-,185,177,128,144,118,140,155
Dean,9,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,-,-,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dejan,140,109,107,78,74,67,50,55,39,52,39,38,31,22,29,21,26,17,22,11,12,17,16,11,10,8,7,8,25,32,33,37,40,42,49,46,57,49,55,56,65,80,73,90,86,109,105,150,148,116,124,145,153,179,190,178
Deni,7,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,134,-,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143,211,-,-,-,-,-
Denis,204,174,147,119,121,105,105,74,82,69,54,65,62,42,42,24,32,26,36,25,19,17,15,18,15,12,13,9,13,16,19,23,25,27,24,33,29,36,45,39,41,54,56,84,74,89,72,94,116,116,133,116,128,144,136,165
Diar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,-,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,213,-,198,-,209
Dimitrij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209
Din,-,-,-,-,-,-,-,-,-,-,7,-,8,5,15,18,8,10,14,22,12,13,12,8,8,8,18,14,-,-,-,-,-,-,-,-,-,-,145,-,135,181,110,105,163,156,133,103,148,143,151,180,177,179,112,135
Dino,11,17,11,11,15,-,10,17,7,14,17,6,11,16,8,10,18,15,5,12,5,6,9,-,9,6,6,6,114,90,105,108,88,-,106,90,140,95,89,165,116,98,159,141,115,122,220,141,231,204,177,-,163,219,205,209
Dion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,-,-,209
Domen,116,143,130,154,134,136,148,160,130,132,141,121,99,112,95,85,81,71,65,56,65,51,53,38,52,48,49,43,29,21,23,17,21,19,17,14,18,19,15,18,26,23,26,31,35,42,47,51,41,55,48,65,48,52,49,52
Dominik,34,49,35,41,46,54,49,27,34,31,36,22,23,26,22,29,34,19,27,42,30,41,26,26,31,28,23,21,63,51,63,57,52,49,50,67,64,67,57,77,76,71,88,77,70,108,92,62,86,67,91,93,76,94,93,100
Dorian,-,-,-,-,-,-,6,-,-,-,-,-,-,-,5,-,5,7,12,-,7,13,5,-,9,-,-,12,-,-,-,-,-,-,143,-,-,-,-,-,-,-,194,-,213,189,146,-,194,143,235,-,163,-,-,142
Dragan,12,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,-,-,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drago,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drejc,-,-,-,-,-,-,-,-,-,5,7,7,6,-,5,7,12,6,9,7,8,6,6,-,5,6,5,11,-,-,-,-,-,-,-,-,-,167,145,147,161,-,194,172,131,203,168,193,176,204,211,-,231,219,238,147
Du�an,11,10,-,-,10,-,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-,114,109,-,-,115,-,-,145,-,167,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,-,238,-
D�an,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,205,209
Edi,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,7,-,5,-,-,-,5,-,-,-,9,-,-,-,-,-,-,-,133,-,-,-,-,-,-,-,-,-,189,-,223,-,-,-,233,-,-,-,165
Edin,-,9,7,-,10,-,6,6,5,5,9,8,5,-,10,5,8,10,-,-,8,8,6,7,6,-,-,-,-,117,135,-,115,-,143,145,168,167,122,139,180,-,143,213,163,156,-,-,176,177,211,193,208,-,-,-
Edis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,-,-,-,-,-,-,-,-
Edvard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209
Edvin,-,-,-,-,-,7,-,-,-,-,-,-,7,-,-,-,11,9,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,131,-,-,-,-,-,-,145,-,-,-,139,165,-,-,-,226,-,-,-,-,-,-
Eldar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,204,-,-,-,219,-,-
Eldin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,208,-,-,-,233,-,-,-,-
Elias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,-,-,198,-,190
Elija,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,-
Elmin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,-,-,-,-,-,231,-,-,-,-,-,-,-
Elvin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,10,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,-,-,-,-,164,-,-,-,241,-,-
Elvis,16,14,11,-,11,11,8,10,-,-,-,-,8,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,92,95,105,-,107,109,121,113,-,-,-,-,135,-,-,-,213,-,-,-,-,-,-,-,-,-,-,-
Eman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,8,5,7,7,17,14,10,20,15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,222,183,223,194,185,120,131,153,114,129,135
Emanuel,-,-,7,7,-,-,8,-,6,-,6,6,7,8,11,8,6,5,12,-,14,5,6,5,-,5,-,-,-,-,135,132,-,-,121,-,158,-,164,165,145,147,130,157,189,222,146,-,133,226,211,233,-,241,-,-
Emil,7,7,-,-,-,-,-,-,5,-,-,-,-,-,5,6,9,7,10,8,6,7,-,-,-,13,9,9,144,134,-,-,-,-,-,-,168,-,-,-,-,-,194,188,154,189,160,181,205,185,-,-,-,136,171,165
Emin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,6,5,7,11,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,-,-,-,-,204,235,193,144,-,205,-
Emir,9,-,-,-,-,-,-,-,5,-,5,-,5,-,5,6,7,-,-,-,-,6,11,8,6,9,17,16,128,-,-,-,-,-,-,-,168,-,183,-,180,-,194,188,180,-,-,-,-,204,158,180,208,167,117,128
Emrah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,-,-,-,-,-,-
Enej,11,8,10,8,10,8,11,10,19,24,31,40,45,75,77,75,77,79,68,62,60,66,61,49,52,48,43,35,114,123,115,124,115,120,102,113,82,77,62,52,51,35,33,36,36,37,43,44,44,40,43,55,48,52,61,65
Enes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,-,-,-,-
Enis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,-,-,-,220,223,-,226,-,-,-,-,-,-
Ensar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,-,-
Erazem,-,-,-,-,-,-,7,5,11,6,10,11,11,17,14,21,23,22,29,28,33,40,30,28,29,39,38,52,-,-,-,-,-,-,135,159,104,150,110,109,116,94,114,90,96,96,89,83,76,69,83,84,82,68,69,43
Erdi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238
Erik,51,52,53,48,55,48,44,56,51,47,52,38,60,47,51,52,57,64,79,79,78,72,92,89,85,77,79,63,48,49,46,50,48,50,53,44,50,51,47,56,43,50,47,51,50,47,36,36,37,39,28,26,31,31,29,38
Eris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,-,-,-
Ermin,-,-,-,-,-,-,-,-,5,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,-,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ernest,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,-,231,-,-,-,-,-,-,-
Ervin,13,12,8,11,-,11,-,7,-,6,6,5,-,-,7,7,-,-,-,9,6,-,5,-,-,5,-,-,104,102,126,108,-,109,-,133,-,150,164,181,-,-,172,172,-,-,-,172,205,-,235,-,-,241,-,-
Etien,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,8,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,-,176,-,-,-,-,219,-,-
Evan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,10,9,-,6,15,9,8,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,192,-,162,169,-,213,128,167,178,142
Fabijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,-,-,-,-,-,-,-,-,-,-
Fedja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,-,-,194,-,-,-,-,-,-,-
Feliks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,-,-,-
Filip,34,32,22,37,41,56,66,67,63,69,77,91,102,101,118,137,166,175,196,187,231,241,253,254,257,234,227,241,63,67,76,59,58,46,41,36,39,36,34,28,25,26,22,18,15,12,10,10,4,4,3,2,2,4,3,2
Florian,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florijan,-,-,-,7,11,7,6,7,-,14,7,11,-,-,-,8,8,5,-,-,8,-,-,-,-,-,-,-,-,-,-,132,107,131,143,133,-,95,145,109,-,-,-,157,163,222,-,-,176,-,-,-,-,-,-,-
Florjan,6,6,-,11,7,-,-,5,-,8,11,-,-,5,5,7,-,9,7,7,7,7,6,5,10,7,6,6,154,147,-,108,140,-,-,159,-,127,104,-,-,181,194,172,-,165,192,193,194,185,211,233,153,198,205,209
Fran,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,7,5,6,5,6,13,7,9,9,18,20,-,-,-,-,-,-,-,-,-,-,-,-,180,-,-,-,-,189,220,208,231,204,145,193,163,167,112,108
Franc,9,-,-,7,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,-,-,132,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Franci,9,6,10,6,7,10,9,-,8,7,-,7,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,6,128,147,115,148,140,116,113,-,130,138,-,147,-,-,-,-,-,222,220,-,-,-,-,-,-,-,-,209
Gaber,-,-,-,-,-,-,6,-,5,7,11,12,8,10,17,21,23,27,31,27,30,26,35,21,29,34,33,24,-,-,-,-,-,-,143,-,168,138,104,106,135,132,105,90,96,84,86,86,86,89,72,105,82,75,73,95
Gabriel,-,-,-,-,-,-,-,-,5,-,6,9,6,8,11,13,9,17,22,27,23,33,34,38,37,37,40,32,-,-,-,-,-,-,-,-,168,-,164,126,161,147,130,122,154,109,105,86,101,77,75,65,66,72,65,73
Gabrijel,-,-,-,-,-,-,-,6,-,7,-,7,6,-,10,14,11,11,19,8,13,19,11,15,23,17,18,13,-,-,-,-,-,-,-,145,-,138,-,147,161,-,143,119,139,149,112,181,138,106,158,128,97,123,112,139
Gael,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,5,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,241,238,165
Gaj,-,-,-,-,-,-,7,5,7,15,9,13,13,13,14,16,22,16,11,10,12,13,15,7,5,6,10,6,-,-,-,-,-,-,135,159,140,94,122,99,97,116,114,111,101,119,154,161,148,143,133,193,231,219,161,209
Gal,9,19,20,16,27,28,40,44,53,64,81,82,91,127,113,146,173,165,166,142,167,116,113,104,107,128,105,109,128,82,79,89,69,66,54,51,46,40,33,30,28,18,23,17,12,13,14,19,14,19,19,23,20,14,20,16
Ga�per,155,141,169,147,152,167,177,164,200,187,153,117,145,144,161,186,166,159,128,102,134,108,72,66,56,54,48,34,18,24,17,19,18,15,13,12,10,9,14,19,14,14,11,9,15,15,23,28,19,22,37,36,47,46,51,66
Goran,16,26,10,13,12,14,9,5,-,8,7,-,-,-,-,-,-,6,-,-,-,-,5,-,-,5,-,-,92,72,115,96,105,89,113,159,-,127,145,-,-,-,-,-,-,203,-,-,-,-,235,-,-,241,-,-
Gorazd,10,8,14,-,-,-,7,-,5,-,-,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,124,123,94,-,-,-,135,-,168,-,-,181,-,-,194,-,-,-,-,-,-,-,-,-,-,-,-,-
Grega,49,45,39,47,42,41,19,24,36,14,19,16,13,11,13,14,21,22,8,11,11,5,10,7,-,-,7,-,50,53,58,51,55,53,80,75,60,95,85,92,97,128,119,119,105,96,183,150,156,226,166,193,-,-,190,-
Gregor,215,194,201,151,129,129,94,81,80,60,52,39,34,31,26,34,22,22,20,28,18,14,16,10,8,18,5,12,11,14,13,18,23,21,30,30,30,42,47,54,57,62,76,65,101,96,110,83,121,137,124,151,177,121,238,142
Hamza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,8,-,-,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,205,-,-,180,-,-,190,155
Haris,15,13,16,14,11,8,8,5,-,6,7,-,-,6,-,8,5,5,-,-,5,-,-,6,-,7,6,5,96,100,87,92,107,120,121,159,-,150,145,-,-,167,-,157,213,222,-,-,231,-,-,213,-,198,205,238
Harun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,9,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,-,-,-,-,167,238,190
Hugo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,-,-,-,-,-,-,-,-
Ian,-,-,-,-,-,-,-,-,6,5,11,9,13,11,15,24,28,22,41,27,45,32,22,39,44,44,42,39,-,-,-,-,-,-,-,-,158,167,104,126,97,128,110,84,82,96,66,86,66,78,100,64,57,60,63,60
Igor,35,30,29,23,15,19,23,13,13,10,9,8,6,6,11,5,6,8,9,-,6,7,7,-,6,-,-,-,61,69,68,73,88,81,73,99,96,118,122,139,161,167,130,213,189,174,168,-,205,185,200,-,208,-,-,-
Ilan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,176,-,-,-,-,-,-,-
Imran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,-,5,11,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,213,-,241,149,178
Inaj,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,135
Irenej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,-,-,-,185,-,-,-,-,205,-
Isak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,241,205,238
Ishak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,-
Ivan,12,18,19,13,15,14,10,9,10,11,9,11,5,7,5,6,6,10,15,10,8,12,18,10,7,15,15,19,109,86,81,96,88,89,106,120,112,110,122,109,180,158,194,188,189,156,130,161,176,152,117,151,192,129,129,112
Ivano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,8,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,-,181,-,-,-,233,-,241,-,-
Ivo,9,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,5,5,6,6,-,6,-,11,6,6,128,-,-,-,-,-,-,-,-,167,-,-,-,-,-,-,-,-,220,223,205,204,-,213,-,149,205,209
Izak,-,-,-,-,-,7,-,7,7,-,-,9,11,7,16,21,26,41,32,44,53,46,49,56,52,92,78,75,-,-,-,-,-,131,-,133,140,-,-,126,116,158,107,90,86,66,82,59,50,59,53,46,48,25,30,30
Izidor,6,7,11,7,11,-,6,5,7,-,5,6,6,-,-,8,-,5,5,9,-,11,7,10,9,11,6,7,154,134,105,132,107,-,143,159,140,-,183,165,161,-,-,157,-,222,220,172,-,156,200,151,163,149,205,190
Iztok,16,14,-,11,9,7,-,6,5,-,-,-,-,-,5,6,-,5,-,-,5,-,-,-,-,-,-,-,92,95,-,108,121,131,-,145,168,-,-,-,-,-,194,188,-,222,-,-,231,-,-,-,-,-,-,-
Jaka,107,107,101,113,148,149,147,159,142,142,134,155,166,168,157,164,198,197,201,178,195,180,180,191,153,171,166,164,31,33,34,24,19,17,18,15,16,15,16,12,9,10,13,11,8,9,9,12,9,8,9,7,10,7,9,8
Jakob,37,40,49,54,69,71,87,91,112,113,105,135,150,148,158,156,209,230,225,185,238,244,240,206,240,251,242,233,58,57,49,47,44,39,31,28,26,21,24,17,12,12,12,13,7,4,6,11,3,3,4,6,3,2,2,3
Jakov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6,-,-,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,-,-,213,-,-,171,209
Jalen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,-,-,-
Jan,219,242,277,327,338,346,317,275,371,307,325,281,269,269,242,260,275,217,206,242,204,175,183,147,167,160,168,171,10,8,3,2,3,1,3,3,2,2,2,3,3,2,2,3,2,7,8,4,8,9,8,12,8,9,7,7
Janez,58,54,55,67,47,34,30,30,35,26,23,21,20,21,22,19,24,13,29,16,22,14,15,9,8,8,5,-,45,48,44,42,51,58,60,63,61,70,77,79,84,83,88,99,95,138,89,124,105,137,133,164,177,179,238,-
Jani,33,36,32,20,23,26,17,18,8,11,8,-,9,11,10,6,6,8,9,9,6,9,5,6,5,8,6,-,66,61,64,81,73,69,85,87,130,110,133,-,129,128,143,188,189,174,168,172,205,169,235,213,231,179,205,-
Janko,14,12,9,-,-,-,6,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,102,123,-,-,-,143,159,-,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
