"Baby boys' first names, Slovenia, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST NAME,Number 1992,Number 1993,Number 1994,Number 1995,Number 1996,Number 1997,Number 1998,Number 1999,Number 2000,Number 2001,Number 2002,Number 2003,Number 2004,Number 2005,Number 2006,Number 2007,Number 2008,Number 2009,Number 2010,Number 2011,Number 2012,Number 2013,Number 2014,Number 2015,Number 2016,Number 2017,Number 2018,Number 2019,Rank 1992,Rank 1993,Rank 1994,Rank 1995,Rank 1996,Rank 1997,Rank 1998,Rank 1999,Rank 2000,Rank 2001,Rank 2002,Rank 2003,Rank 2004,Rank 2005,Rank 2006,Rank 2007,Rank 2008,Rank 2009,Rank 2010,Rank 2011,Rank 2012,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019
Adriano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,-,-,-,-,-,-,-,-,-,-
Adrijan,-,-,-,-,-,-,10,14,-,8,-,5,-,-,7,7,-,6,-,7,-,7,6,7,5,7,-,8,-,-,-,-,-,-,106,92,-,127,-,181,-,-,172,172,-,203,-,193,-,185,211,193,231,198,-,178
Ahmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,5,5,7,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,-,-,-,-,233,231,198,171,178
Aid,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,8,-,-,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,181,-,-,-,-,-,-,-,-,190,-,-,241,-,209
Ajan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,6,7,9,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,177,211,193,163,179,171,-
Ajdin,-,-,-,-,-,-,6,-,-,-,6,5,5,-,11,9,12,11,17,13,19,11,10,10,13,10,6,6,-,-,-,-,-,-,143,-,-,-,164,181,180,-,130,145,131,149,118,136,116,156,166,151,137,156,205,209
Ajlan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,17,11,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,123,149,128
Ajnur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,177,-,-,231,-,-,-
Aksel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,-
Alan,11,-,10,11,7,-,6,6,8,13,6,9,9,6,9,-,8,10,9,6,15,6,16,9,-,13,9,7,114,-,115,108,140,-,143,145,130,100,164,126,129,167,152,-,163,156,168,208,127,204,124,164,-,136,171,190
