Contents,,,,
,,,,
"Table 6: Top names for baby girls1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsgirls
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
95,LYLA ,563,,
97,DARCY ,558,,
98,HALLIE ,556,,
99,LEAH ,546,,
100,MEGAN ,543,,
101,LEXI ,538,,
102,FELICITY ,533,,
103,SARAH ,530,,
104,ARIANA ,524,,
105,ZOE ,520,,
106,AYLA ,517,,
107,ESMAE ,502,,
108,SAVANNAH ,501,,
109,ANNIE ,500,,
110,FATIMA ,499,,
111,NIAMH ,492,,
112,MADDISON ,479,,
113,EDEN ,476,,
114,ADA ,470,,
114,EDIE ,470,,
116,LYDIA ,468,,
117,BROOKE ,467,,
117,PIPPA ,467,,
119,ELOISE ,464,,
120,ALEXANDRA ,460,,
121,NEVAEH ,456,,
122,BETHANY ,450,,
122,ISABEL ,450,,
124,SKYE ,449,,
125,LACEY ,447,,
126,LARA ,446,,
126,MADISON ,446,,
128,DELILAH ,444,,
129,AALIYAH ,434,,
130,ANAYA ,429,,
131,MOLLIE ,424,,
132,BETSY ,409,,
132,FRANKIE ,409,,
132,MYLA ,409,,
135,ELENA ,394,,
135,FAITH ,394,,
137,AMAYA ,393,,
138,TILLY ,388,,
139,PAIGE ,387,,
140,LILLIE ,381,,
141,ESTHER ,380,,
142,ZAINAB ,376,,
143,HANNA ,375,,
144,MYA ,374,,
145,LAURA ,372,,
146,GABRIELLA ,371,,
147,PAISLEY ,369,,
148,AMY ,368,,
149,ISOBEL ,366,,
150,MARNIE ,363,,
151,OLIVE ,362,,
152,BEATRIX ,360,,
153,ELODIE ,359,,
154,AUTUMN ,357,,
155,HOLLIE ,354,,
156,CONNIE ,353,,
156,MARGOT ,353,,
158,LENA ,352,,
159,NINA ,348,,
160,HOPE ,346,,
160,SADIE ,346,,
162,MABEL ,345,,
162,ZAHRA ,345,,
164,ARYA ,343,,
164,SKYLA ,343,,
166,PIPER ,334,,
167,KATIE ,331,,
168,ANASTASIA ,328,,
168,SEREN ,328,,
170,NATALIA ,321,,
171,NAOMI ,318,,
172,ROSA ,317,,
173,MAJA ,316,,
173,REBECCA ,316,,
175,AMIRA ,306,,
176,PENNY ,305,,
177,ALIZA ,304,,
177,SKYLAR ,304,,
179,ALANA ,303,,
179,INAAYA ,303,,
181,ALEXA ,301,,
182,AIZAH ,298,,
183,LOIS ,293,,
183,LYRA ,293,,
185,MAGGIE ,291,,
186,LILIANA ,290,,
187,CLEO ,285,,
188,KHADIJA ,283,,
189,ZUZANNA ,282,,
190,GEORGIE ,281,,
191,HARLEY ,279,,
192,LEILA ,276,,
193,ELISE ,275,,
