Frecuencias de nombres masculinos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
145,JON,20.202 ,"23,7"
146,BRUNO,20.089 ,"18,0"
147,BERNARDO,19.829 ,"55,9"
148,POL,19.667 ,"13,0"
149,MIQUEL,19.641 ,"38,8"
150,GERARDO,19.605 ,"54,0"
151,ISRAEL,19.392 ,"29,7"
152,OMAR,19.235 ,"25,5"
153,ANTONIO MANUEL,19.198 ,"40,5"
154,CARMELO,19.125 ,"56,7"
155,ORIOL,18.998 ,"20,7"
156,ARNAU,18.793 ,"13,7"
157,FEDERICO,18.453 ,"53,6"
158,PASCUAL,18.382 ,"58,8"
159,ELOY,18.376 ,"38,2"
160,FRANCESC,18.189 ,"45,6"
161,JONATAN,18.146 ,"28,7"
162,MARCO,17.969 ,"15,0"
163,JESUS MANUEL,17.424 ,"44,8"
164,JOSE ALBERTO,17.362 ,"42,2"
165,JUAN JESUS,16.819 ,"42,3"
166,BARTOLOME,16.739 ,"59,0"
167,JOSEP MARIA,16.518 ,"56,1"
168,LUIS ALBERTO,16.435 ,"43,6"
169,MARCELINO,16.244 ,"63,2"
170,ADRIA,16.130 ,"16,3"
171,IÑAKI,15.930 ,"36,3"
172,ROGER,15.830 ,"23,2"
173,FERMIN,15.742 ,"57,1"
174,PERE,15.713 ,"50,0"
175,BENJAMIN,15.612 ,"49,2"
176,ADAM,15.607 ,"8,3"
177,ELIAS,15.549 ,"41,1"
178,KEVIN,15.426 ,"17,0"
179,CARLES,15.363 ,"35,4"
180,ALONSO,15.357 ,"31,3"
181,LLUIS,15.287 ,"46,0"
182,ANTONI,15.154 ,"47,0"
183,PEDRO ANTONIO,15.051 ,"47,1"
184,AURELIO,14.885 ,"61,5"
185,MATIAS,14.778 ,"44,4"
186,JOSE ENRIQUE,14.614 ,"46,3"
187,JUAN PABLO,14.601 ,"36,1"
188,MARCO ANTONIO,14.374 ,"37,7"
189,GUILLEM,14.360 ,"18,6"
190,ANGEL LUIS,14.316 ,"46,7"
191,ANDER,14.101 ,"18,7"
192,MARTI,14.081 ,"17,4"
193,LEO,14.074 ,"4,0"
194,JUAN IGNACIO,13.906 ,"46,6"
195,CARLOS ALBERTO,13.829 ,"42,3"
196,SAUL,13.761 ,"17,8"
197,JACINTO,13.624 ,"61,3"
198,EUSEBIO,13.603 ,"62,5"
199,ALEXANDER,13.595 ,"26,1"
200,FRANCISCO JESUS,13.571 ,"37,0"
201,JERONIMO,13.306 ,"54,5"
202,OLIVER,13.200 ,"15,6"
203,VICTORIANO,13.134 ,"63,6"
204,ABRAHAM,13.039 ,"23,1"
205,XABIER,12.995 ,"25,5"
206,ERIK,12.980 ,"10,6"
207,ROMAN,12.840 ,"45,5"
208,GORKA,12.809 ,"26,7"
209,JOSE JUAN,12.717 ,"47,9"
210,GUSTAVO,12.643 ,"41,0"
211,MANUEL ANGEL,12.632 ,"47,3"
212,FERRAN,12.629 ,"27,9"
213,YOUSSEF,12.476 ,"23,5"
214,SAID,12.426 ,"38,9"
215,ISIDORO,12.350 ,"61,3"
216,LUIS FERNANDO,12.250 ,"46,1"
217,DAMIAN,12.220 ,"39,9"
218,ALEIX,12.182 ,"15,0"
219,LUIS MANUEL,12.155 ,"43,5"
220,CARLOS JAVIER,11.973 ,"40,0"
221,TEODORO,11.928 ,"64,3"
222,BLAS,11.888 ,"57,4"
223,JUAN BAUTISTA,11.873 ,"56,6"
224,DIONISIO,11.869 ,"62,9"
225,ENRIC,11.831 ,"40,7"
226,ARMANDO,11.737 ,"51,4"
227,PEDRO LUIS,11.679 ,"48,5"
228,CANDIDO,11.627 ,"62,3"
229,JULEN,11.578 ,"16,0"
230,JUSTO,11.559 ,"61,7"
231,SANTOS,11.523 ,"59,2"
232,FLORENCIO,11.503 ,"64,7"
233,LEONARDO,11.499 ,"41,0"
234,YERAY,11.450 ,"15,6"
235,GINES,11.353 ,"52,5"
236,RACHID,11.307 ,"37,9"
237,JOSE DAVID,11.246 ,"31,5"
238,JOSE JOAQUIN,11.077 ,"47,8"
239,JUAN MARIA,10.924 ,"52,5"
240,EDUARD,10.861 ,"33,1"
241,EMILIANO,10.588 ,"62,1"
242,JAN,10.469 ,"11,9"
243,SERAFIN,10.357 ,"60,4"
244,FRANCISCO ANTONIO,10.228 ,"45,8"
245,JAIRO,10.179 ,"21,0"
246,FAUSTINO,10.129 ,"63,2"
247,ENEKO,10.105 ,"18,3"
248,ALI,9.941 ,"34,4"
249,MAXIMO,9.924 ,"54,9"
250,EMILIO JOSE,9.893 ,"36,9"
251,EDGAR,9.850 ,"22,2"
