Frecuencias de nombres femeninos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres de mujer con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
1,MARIA CARMEN,660.635 ,"56,2"
2,MARIA,615.061 ,"48,7"
3,CARMEN,399.758 ,"60,4"
4,JOSEFA,283.952 ,"67,5"
5,ANA MARIA,274.399 ,"50,4"
6,ISABEL,271.166 ,"57,0"
7,MARIA PILAR,264.633 ,"56,2"
8,MARIA DOLORES,261.367 ,"55,9"
9,LAURA,255.616 ,"27,6"
10,MARIA TERESA,253.198 ,"56,3"
11,ANA,251.664 ,"43,6"
12,CRISTINA,228.779 ,"32,9"
13,MARIA ANGELES,227.359 ,"54,6"
14,MARTA,224.308 ,"28,5"
15,FRANCISCA,218.588 ,"64,4"
16,ANTONIA,212.159 ,"64,2"
17,MARIA ISABEL,204.772 ,"51,9"
18,MARIA JOSE,203.651 ,"45,2"
19,DOLORES,203.228 ,"66,5"
20,LUCIA,198.949 ,"23,0"
21,SARA,166.037 ,"24,0"
22,PAULA,164.604 ,"19,4"
23,MARIA LUISA,162.602 ,"60,2"
24,ELENA,160.721 ,"36,3"
25,PILAR,152.137 ,"63,0"
26,CONCEPCION,150.206 ,"65,0"
27,RAQUEL,148.231 ,"35,1"
28,ROSA MARIA,147.690 ,"51,2"
29,MANUELA,145.616 ,"60,6"
30,MERCEDES,141.821 ,"60,5"
31,MARIA JESUS,139.529 ,"54,4"
32,ROSARIO,124.246 ,"63,2"
33,BEATRIZ,123.657 ,"36,4"
34,JUANA,123.629 ,"65,3"
35,TERESA,122.535 ,"61,7"
36,JULIA,122.007 ,"40,9"
37,NURIA,121.010 ,"37,2"
38,SILVIA,120.059 ,"35,0"
39,ENCARNACION,118.834 ,"62,6"
40,IRENE,115.170 ,"25,9"
41,ALBA,112.255 ,"15,9"
42,PATRICIA,111.966 ,"30,6"
43,MONTSERRAT,111.476 ,"53,5"
44,ANDREA,106.807 ,"21,7"
45,ROSA,106.549 ,"64,4"
46,ROCIO,106.041 ,"28,3"
47,MONICA,103.042 ,"36,6"
48,MARIA MAR,99.657 ,"42,4"
49,ALICIA,99.362 ,"38,0"
50,ANGELA,98.625 ,"44,4"
51,SONIA,98.007 ,"36,2"
52,SANDRA,97.579 ,"28,2"
53,MARINA,96.470 ,"32,1"
54,SUSANA,95.785 ,"41,0"
55,YOLANDA,92.281 ,"41,6"
56,NATALIA,92.218 ,"27,2"
57,MARGARITA,91.379 ,"59,3"
58,MARIA JOSEFA,88.678 ,"61,5"
59,MARIA ROSARIO,80.164 ,"57,8"
60,EVA,79.374 ,"32,0"
61,INMACULADA,79.212 ,"43,0"
62,CLAUDIA,78.196 ,"15,6"
63,MARIA MERCEDES,77.151 ,"54,0"
64,ANA ISABEL,76.199 ,"42,2"
65,ESTHER,75.667 ,"40,5"
66,NOELIA,73.344 ,"26,8"
67,CARLA,72.209 ,"12,2"
68,VERONICA,71.478 ,"32,4"
69,SOFIA,70.262 ,"19,2"
70,ANGELES,70.177 ,"65,3"
71,CAROLINA,65.356 ,"32,1"
72,NEREA,65.159 ,"17,4"
73,MARIA VICTORIA,63.699 ,"51,5"
74,MARIA ROSA,63.316 ,"60,2"
75,EVA MARIA,62.928 ,"40,2"
76,AMPARO,62.192 ,"63,9"
77,MIRIAM,61.604 ,"25,9"
78,LORENA,61.543 ,"27,1"
79,INES,61.337 ,"35,5"
80,MARIA CONCEPCION,61.118 ,"60,9"
81,ANA BELEN,60.573 ,"36,7"
82,MARIA ELENA,59.960 ,"48,5"
83,VICTORIA,59.732 ,"47,6"
84,MARIA ANTONIA,57.096 ,"58,9"
85,DANIELA,56.037 ,"13,4"
86,CATALINA,56.023 ,"60,4"
87,CONSUELO,54.047 ,"66,3"
88,LIDIA,53.296 ,"33,2"
89,MARIA NIEVES,52.616 ,"55,6"
90,CELIA,51.604 ,"33,5"
91,ALEJANDRA,50.179 ,"23,4"
92,OLGA,50.030 ,"44,2"
93,EMILIA,49.814 ,"65,3"
94,GLORIA,49.397 ,"53,6"
95,LUISA,48.868 ,"65,6"
96,AINHOA,47.669 ,"17,2"
97,AURORA,47.312 ,"58,6"
98,MARIA SOLEDAD,47.187 ,"54,9"
99,MARTINA,46.622 ,"17,0"
100,FATIMA,46.612 ,"35,7"
101,MARIA CRISTINA,46.429 ,"48,1"
102,ESPERANZA,46.209 ,"59,5"
103,CLARA,45.507 ,"28,9"
104,MILAGROS,45.248 ,"62,5"
105,JOSEFINA,44.771 ,"66,9"
106,VIRGINIA,44.503 ,"39,4"
107,VANESA,43.655 ,"32,6"
108,MARIA LUZ,43.502 ,"57,5"
109,ANNA,43.283 ,"30,0"
110,PURIFICACION,41.921 ,"64,3"
111,LOURDES,41.745 ,"46,5"
112,ADRIANA,40.354 ,"18,3"
113,BLANCA,39.635 ,"28,3"
114,BEGOÑA,38.759 ,"47,3"
115,MARIA BELEN,38.733 ,"45,3"
116,ISABEL MARIA,38.495 ,"41,5"
117,ESTEFANIA,38.086 ,"30,5"
118,ELISA,36.772 ,"48,7"
119,MARIA BEGOÑA,36.536 ,"55,9"
120,MAGDALENA,36.116 ,"61,4"
121,MARIA ASUNCION,35.941 ,"59,1"
122,GEMA,35.928 ,"34,0"
123,MARIA PAZ,34.844 ,"56,5"
124,ARACELI,34.803 ,"57,0"
125,BELEN,34.417 ,"33,0"
126,MATILDE,34.392 ,"65,1"
127,ASUNCION,34.342 ,"66,1"
128,MARIA LOURDES,34.313 ,"53,6"
129,VICENTA,33.994 ,"70,4"
130,MARIA ESTHER,33.890 ,"51,9"
131,REMEDIOS,33.722 ,"63,5"
132,TAMARA,33.037 ,"28,2"
133,ELVIRA,32.740 ,"59,8"
134,TRINIDAD,32.637 ,"65,2"
135,LAIA,32.518 ,"15,1"
136,SOLEDAD,32.283 ,"59,2"
137,NATIVIDAD,31.805 ,"63,6"
138,PALOMA,31.117 ,"37,9"
139,GEMMA,31.105 ,"36,5"
140,REBECA,31.068 ,"28,9"
141,VANESSA,30.760 ,"32,7"
142,ALMUDENA,30.446 ,"33,6"
143,MIREIA,30.286 ,"24,4"
144,MARIA CRUZ,30.108 ,"58,7"
145,EMMA,29.859 ,"15,7"
146,ASCENSION,29.737 ,"65,3"
