CD_REFNIS,tx_descr_nl,tx_descr_fr,TX_FST_NAME,MS_FREQUENCY
11001,Aartselaar,Aartselaar,Emma,13
11001,Aartselaar,Aartselaar,Liv,13
11001,Aartselaar,Aartselaar,Marie,12
11001,Aartselaar,Aartselaar,Julie,11
11001,Aartselaar,Aartselaar,Lore,7
11001,Aartselaar,Aartselaar,Louise,7
11001,Aartselaar,Aartselaar,Charlotte,6
11001,Aartselaar,Aartselaar,Hanne,6
11001,Aartselaar,Aartselaar,Lisa,6
11001,Aartselaar,Aartselaar,Lotte,6
11001,Aartselaar,Aartselaar,Nora,6
11001,Aartselaar,Aartselaar,Amélie,5
11001,Aartselaar,Aartselaar,Eline,5
11001,Aartselaar,Aartselaar,June,5
11001,Aartselaar,Aartselaar,Lena,5
11001,Aartselaar,Aartselaar,Noor,5
11001,Aartselaar,Aartselaar,Olivia,5
11002,Antwerpen,Anvers,Noor,442
11002,Antwerpen,Anvers,Sara,364
11002,Antwerpen,Anvers,Lina,312
11002,Antwerpen,Anvers,Aya,299
11002,Antwerpen,Anvers,Olivia,221
11002,Antwerpen,Anvers,Emma,203
11002,Antwerpen,Anvers,Amira,199
11002,Antwerpen,Anvers,Amina,192
11002,Antwerpen,Anvers,Sarah,191
11002,Antwerpen,Anvers,Fatima,185
11002,Antwerpen,Anvers,Lena,181
11002,Antwerpen,Anvers,Marwa,180
11002,Antwerpen,Anvers,Marie,178
11002,Antwerpen,Anvers,Maryam,176
11002,Antwerpen,Anvers,Inaya,168
11002,Antwerpen,Anvers,Nora,159
11002,Antwerpen,Anvers,Hajar,156
11002,Antwerpen,Anvers,Sofia,149
11002,Antwerpen,Anvers,Elise,147
11002,Antwerpen,Anvers,Rania,139
11002,Antwerpen,Anvers,Malak,136
11002,Antwerpen,Anvers,Charlotte,135
11002,Antwerpen,Anvers,Dina,133
11002,Antwerpen,Anvers,Hafsa,132
11002,Antwerpen,Anvers,Louise,131
11002,Antwerpen,Anvers,Julie,130
11002,Antwerpen,Anvers,Anna,127
11002,Antwerpen,Anvers,Ella,126
11002,Antwerpen,Anvers,Mila,126
11002,Antwerpen,Anvers,Juliette,123
11002,Antwerpen,Anvers,Khadija,122
11002,Antwerpen,Anvers,Yasmine,120
11002,Antwerpen,Anvers,Amélie,116
11002,Antwerpen,Anvers,Elif,115
11002,Antwerpen,Anvers,Imane,114
11002,Antwerpen,Anvers,Elena,112
11002,Antwerpen,Anvers,Liv,111
11002,Antwerpen,Anvers,Isra,110
11002,Antwerpen,Anvers,Rachel,109
11002,Antwerpen,Anvers,Esther,106
11002,Antwerpen,Anvers,Nina,106
11002,Antwerpen,Anvers,Nour,103
11002,Antwerpen,Anvers,Julia,102
11002,Antwerpen,Anvers,Lily,98
11002,Antwerpen,Anvers,Sam,96
11002,Antwerpen,Anvers,Lotte,95
11002,Antwerpen,Anvers,Salma,95
11002,Antwerpen,Anvers,Israe,92
11002,Antwerpen,Anvers,Amber,90
11002,Antwerpen,Anvers,Billie,90
11002,Antwerpen,Anvers,Farah,89
11002,Antwerpen,Anvers,Laura,89
11002,Antwerpen,Anvers,Maysa,89
11002,Antwerpen,Anvers,Inara,87
11002,Antwerpen,Anvers,Ines,85
11002,Antwerpen,Anvers,Nisrine,83
11002,Antwerpen,Anvers,Amelia,82
11002,Antwerpen,Anvers,Fien,82
11002,Antwerpen,Anvers,Lucie,82
11002,Antwerpen,Anvers,Mariam,82
11002,Antwerpen,Anvers,Lisa,81
11002,Antwerpen,Anvers,Noa,81
11002,Antwerpen,Anvers,Zoë,81
11002,Antwerpen,Anvers,Maria,80
11002,Antwerpen,Anvers,Sophia,80
11002,Antwerpen,Anvers,Renée,79
11002,Antwerpen,Anvers,Stella,79
11002,Antwerpen,Anvers,Helena,78
11002,Antwerpen,Anvers,Lore,78
11002,Antwerpen,Anvers,Luna,78
11002,Antwerpen,Anvers,Roos,77
11002,Antwerpen,Anvers,Mia,76
11002,Antwerpen,Anvers,Lea,75
11002,Antwerpen,Anvers,Safae,75
11002,Antwerpen,Anvers,Mona,74
11002,Antwerpen,Anvers,Alice,73
11002,Antwerpen,Anvers,Maya,72
11002,Antwerpen,Anvers,Victoria,72
11002,Antwerpen,Anvers,Yousra,72
11002,Antwerpen,Anvers,Emily,71
11002,Antwerpen,Anvers,Yara,70
11002,Antwerpen,Anvers,Zeynep,70
11002,Antwerpen,Anvers,Yasmin,69
11002,Antwerpen,Anvers,Eline,68
11002,Antwerpen,Anvers,Tenzin,68
11002,Antwerpen,Anvers,Yasmina,68
11002,Antwerpen,Anvers,Amani,67
11002,Antwerpen,Anvers,Emilia,66
11002,Antwerpen,Anvers,Meryem,66
11002,Antwerpen,Anvers,Mira,66
11002,Antwerpen,Anvers,Alina,65
11002,Antwerpen,Anvers,Eva,64
11002,Antwerpen,Anvers,Nada,63
11002,Antwerpen,Anvers,Hanna,62
11002,Antwerpen,Anvers,Miriam,62
11002,Antwerpen,Anvers,Hidaya,61
11002,Antwerpen,Anvers,Fleur,60
11002,Antwerpen,Anvers,Assia,59
11002,Antwerpen,Anvers,Azra,59
11002,Antwerpen,Anvers,Manar,59
11002,Antwerpen,Anvers,Hiba,58
11002,Antwerpen,Anvers,Safa,57
11002,Antwerpen,Anvers,Tasnim,57
11002,Antwerpen,Anvers,Zainab,57
11002,Antwerpen,Anvers,Amal,56
11002,Antwerpen,Anvers,Anissa,55
11002,Antwerpen,Anvers,Firdaous,55
11002,Antwerpen,Anvers,Lola,55
11002,Antwerpen,Anvers,Nisa,55
11002,Antwerpen,Anvers,Jolien,54
11002,Antwerpen,Anvers,Camille,52
11002,Antwerpen,Anvers,Amy,51
11002,Antwerpen,Anvers,Elisa,51
11002,Antwerpen,Anvers,Hannah,51
11002,Antwerpen,Anvers,Lou,51
11002,Antwerpen,Anvers,Rana,51
11002,Antwerpen,Anvers,Aisha,50
11002,Antwerpen,Anvers,Anaïs,50
11002,Antwerpen,Anvers,Bo,50
11002,Antwerpen,Anvers,Manon,50
11002,Antwerpen,Anvers,Iman,49
11002,Antwerpen,Anvers,Janne,49
11002,Antwerpen,Anvers,Naomi,49
11002,Antwerpen,Anvers,Elisabeth,48
11002,Antwerpen,Anvers,Hailey,48
11002,Antwerpen,Anvers,Kato,48
11002,Antwerpen,Anvers,Lara,46
11002,Antwerpen,Anvers,Safiya,46
11002,Antwerpen,Anvers,Chaya,45
11002,Antwerpen,Anvers,Dounia,45
11002,Antwerpen,Anvers,Hira,45
11002,Antwerpen,Anvers,Sofie,45
11002,Antwerpen,Anvers,Alicia,44
11002,Antwerpen,Anvers,Angelina,44
11002,Antwerpen,Anvers,Hanne,44
11002,Antwerpen,Anvers,Soraya,44
11002,Antwerpen,Anvers,Jade,43
11002,Antwerpen,Anvers,Liyana,43
11002,Antwerpen,Anvers,Romy,42
11002,Antwerpen,Anvers,Ada,41
11002,Antwerpen,Anvers,Alexia,41
11002,Antwerpen,Anvers,Amelie,41
11002,Antwerpen,Anvers,Kaoutar,41
11002,Antwerpen,Anvers,Lio,41
11002,Antwerpen,Anvers,Maja,41
11002,Antwerpen,Anvers,Mina,41
11002,Antwerpen,Anvers,Rosie,41
11002,Antwerpen,Anvers,Aline,40
11002,Antwerpen,Anvers,Axelle,40
11002,Antwerpen,Anvers,Chloé,40
11002,Antwerpen,Anvers,Gitty,40
11002,Antwerpen,Anvers,Insaf,40
11002,Antwerpen,Anvers,Jana,40
11002,Antwerpen,Anvers,Selma,40
11002,Antwerpen,Anvers,Alexandra,39
11002,Antwerpen,Anvers,Asya,39
11002,Antwerpen,Anvers,Faigy,39
11002,Antwerpen,Anvers,Lien,39
11002,Antwerpen,Anvers,Ranya,39
11002,Antwerpen,Anvers,Sophie,39
11002,Antwerpen,Anvers,Alyssa,38
11002,Antwerpen,Anvers,Emilie,38
11002,Antwerpen,Anvers,Gloria,38
11002,Antwerpen,Anvers,Zahra,38
11002,Antwerpen,Anvers,Esma,37
11002,Antwerpen,Anvers,Leyla,37
11002,Antwerpen,Anvers,Manal,37
11002,Antwerpen,Anvers,Milla,37
11002,Antwerpen,Anvers,Aicha,36
11002,Antwerpen,Anvers,Alae,36
11002,Antwerpen,Anvers,Ariana,36
11002,Antwerpen,Anvers,Aylin,36
11002,Antwerpen,Anvers,Basma,36
11002,Antwerpen,Anvers,Ellis,36
11002,Antwerpen,Anvers,Fatoumata,36
11002,Antwerpen,Anvers,Lana,36
11002,Antwerpen,Anvers,Asiya,35
11002,Antwerpen,Anvers,Hanae,35
11002,Antwerpen,Anvers,June,35
11002,Antwerpen,Anvers,Medina,35
