Name,Surname
Jeff,Bezos
Bill,Gates
Bernard,Arnault
Warren,Buffet
Larry,Ellison
Amancio,Ortega
Mark,Zuckerberg
Jim,Walton
Alice,Walton
Rob,Walton
Steve,Balmer
Carlos,Slim
Larry,Page
Sergey,Brin
Francoise,Bettencourt Meyers
Michael,Bloomberg
Jack,Ma
Charles,Koch
Julia,Koch
Ma,Huateng
Mukesh,Ambani
Mackenzie,Bezos
Beate,Heister
David,Thomson
Phil,Knight
Lee,Shau
François,Pinault
Sheldon,Adelson
Jacqueline,Mars
Johan,Mars
Elon,Musk
Giovanni,Ferrero
Michael,Dell
Hui,Ka Yan
Li,Ka-Shing
He,Xiangjian
Jim,Simons
Yang,Huiyan
Joseph,Safra
Dieter,Schwarz
Vladimir,Potanin
Tadashi,Yanai
Qin,Yinglin
Lukas,Walton
Vladimir,Lisin
Ray,Dalio
Takemitsu,Takizaki
Leonid,Mikhelson
Alain,Wertheimer
Gerard,Wertheimer
Theo,Albrecht
Len,Blavatnik
William,Lei Ding
Susanne,Klatten
Alexey,Mordashov
Masayoshi,Son
Colin,Zheng Huang
Dietrich,Mateschitz
Joseph,Lau
Laurene,Powell
Zhang,Yiming
Leonardo, del Vecchio
Donald,Bren
Stephen,Schwarzman
Vagit,Alekperov
Lee,Man Tat
Wang,Wei
Petr,Kellner
Rupert,Murdoch
Leonard,Lauder
Zhong,Huijuan
Gennady,Timchenko
Thomas,Petterffy
Klaus-Michael,Kuehne
Lee,Kun-Lee
Wang,Jianlin
Steve,Cohen
Radhakishan,Damani
Carl,Icahn
R. Budi,Hartono
Dhanin,Chearavanont
Stefan,Persson
Alisher,Usmanov
Eric,Schmidt
Gina,Rinehart
Walter,P.J. Droege
Mikhail,Fridman
Michael,Hartono
Dietmar,Hopp
Zhang,Zhidong
Hinduja,Brothers
Heinz,Hermann Thiele
Charlene,de Carvalho-Heineken
Emmanuel,Besnier
Andrey,Melnichenko
Li,Shufu
Hasso,Plattner
Liu,Yonghao
Stefan,Quandt
Ken,Griffin
David,Tepper
Wu,Yajun
Kwong,Siu-Hing
Shiv,Nadar
Sun,Piaoyang
Lui,Che Woo
Ricardo,Salinas Pliego
Li,Xiting
Reinhold,Wuerth
John,Menard
Pang,Kang
Peter,Woo
Roman,Abramovich
Udo & Harald,Tschira
Mikhail,Prokhorov
Xu,Hang
Pallonji,Mistry
Phillip,Anschutz
