,,
,,
2001,,
Name,Number of Babies,Rank
Alister,..,..
Alix,..,..
Allan,..,..
Allastair,..,..
Allen,..,..
Allister,..,..
Aman,..,..
Andre,..,..
Andriy,..,..
Andy,..,..
Anntoin,..,..
Antaine,..,..
Antoine,..,..
Antonio,..,..
Aodh,..,..
Aodhfin,..,..
Aodhfionn,..,..
Aodhtan,..,..
Aran,..,..
Archibald,..,..
Archie,..,..
Ardhan,..,..
Arian,..,..
Arnav,..,..
Aron,..,..
Arran,..,..
Arron,..,..
Arthur,..,..
Ashish,..,..
Ashlea,..,..
Ashon,..,..
Aubrey,..,..
Auguste,..,..
Ayuob,..,..
Bailie,..,..
Baillie,..,..
Barrai,..,..
Baylee,..,..
Bayley,..,..
Beau,..,..
Belal,..,..
Benedict,..,..
Benignus,..,..
Benjamen,..,..
Ben-Kai,..,..
Bertram,..,..
Bjorni,..,..
Blain,..,..
Blair,..,..
Blane,..,..
Blayne,..,..
Bliain,..,..
Bobbie,..,..
Bonzinyah,..,..
Bosco,..,..
Brandyn,..,..
Brannan,..,..
Brayden,..,..
Breandan,..,..
Breannain,..,..
Brenainn,..,..
Brennan,..,..
Brent,..,..
Brion,..,..
Brodie,..,..
Brooke,..,..
Bruce,..,..
Bryan,..,..
Bryce,..,..
Bryn,..,..
Caelainn,..,..
Caelim,..,..
Cahan,..,..
Cailim,..,..
Cailum,..,..
Caiolan,..,..
Callan,..,..
Callin,..,..
Callum-Tyler,..,..
Campbell,..,..
Canaan,..,..
Canice,..,..
Caoilan,..,..
Caoilin,..,..
Caoilinn,..,..
Caolam,..,..
Caolann,..,..
Caolian,..,..
Caomhan,..,..
Carlisle,..,..
Carlo,..,..
Carter-James,..,..
Cashel,..,..
Cassius,..,..
Cathail,..,..
Cathan,..,..
Cathir,..,..
Cedric,..,..
Ceran,..,..
Chad,..,..
Chaiolfhionn,..,..
Chandler,..,..
Charley-Lee,..,..
Cheuk,..,..
Chi,..,..
Chris,..,..
Christopher-Mart,..,..
Christy,..,..
Chung,..,..
Chun-Tim,..,..
Cialan,..,..
Ciall,..,..
Cianan,..,..
Cieran,..,..
Cillin,..,..
Clarence,..,..
Clayton,..,..
Clinton,..,..
Coalain,..,..
Coby,..,..
Colby,..,..
Cole,..,..
Colt,..,..
Con,..,..
Conaill,..,..
Conchor,..,..
Concobhar,..,..
Conlaith,..,..
Conlan,..,..
Conleith,..,..
Connal,..,..
Connall,..,..
Connell,..,..
Connolly,..,..
Corbyn,..,..
Corey-Lee,..,..
