PRIMER APELLIDO,FRECUENCIA
GARCIA,14.358  
SANCHEZ,11.787  
FERNANDEZ,11.558  
LOPEZ,10.999  
RODRIGUEZ,8.146  
GONZALEZ,8.051  
RUIZ,7.867  
MUÑOZ,6.690  
GOMEZ,6.298  
JIMENEZ,5.830  
MORENO,5.400  
MARTINEZ,5.391  
DIAZ,4.758  
MARTIN,4.410  
PEREZ,4.303  
ROMERO,4.153  
SERRANO,3.773  
MOLINA,2.911  
MORALES,2.869  
TORRES,2.695  
NAVARRO,2.651  
DELGADO,2.574  
RAMIREZ,2.304  
RUBIO,2.193  
CASTELLANOS,2.000  
CAMACHO,1.965  
GALLEGO,1.952  
LARA,1.947  
MORA,1.859  
LEON,1.776  
ORTIZ,1.733  
GUTIERREZ,1.639  
ESPINOSA,1.513  
CANO,1.493  
LOZANO,1.492  
ALVAREZ,1.448  
MEDINA,1.441  
HERNANDEZ,1.431  
SANTOS,1.412  
NIETO,1.411  
ARANDA,1.380  
ORTEGA,1.379  
RAMOS,1.347  
MOYA,1.345  
NARANJO,1.331  
CAMPOS,1.303  
RODRIGO,1.282  
SOBRINO,1.273  
ARIAS,1.255  
FLORES,1.203  
