PRIMER APELLIDO,FRECUENCIA
GARCIA,26.831  
SANCHEZ,21.227  
FERNANDEZ,16.287  
RODRIGUEZ,16.262  
MARTIN,16.220  
LOPEZ,15.467  
GOMEZ,13.766  
GONZALEZ,13.089  
PEREZ,10.190  
DIAZ,9.072  
JIMENEZ,8.033  
MORENO,7.273  
MUÑOZ,7.071  
MARTINEZ,7.066  
HERNANDEZ,5.421  
GUTIERREZ,5.085  
RUIZ,4.923  
ALONSO,4.170  
SERRANO,3.804  
ROMERO,3.438  
ALVAREZ,3.269  
TORRES,2.698  
RAMOS,2.603  
RAMIREZ,2.377  
RUBIO,2.156  
ORTIZ,2.045  
MORALES,2.031  
MORA,1.978  
GALAN,1.964  
CANO,1.960  
NAVARRO,1.933  
VAZQUEZ,1.896  
ORTEGA,1.878  
GALLEGO,1.824  
GARRIDO,1.756  
NUÑEZ,1.733  
DOMINGUEZ,1.669  
NIETO,1.647  
MOLINA,1.644  
SANTOS,1.617  
BLANCO,1.581  
DELGADO,1.575  
DE LA CRUZ,1.564  
MEDINA,1.544  
ESTEBAN,1.471  
GIL,1.449  
ROJAS,1.426  
AGUADO,1.406  
REDONDO,1.406  
FLORES,1.404  
