PRIMER APELLIDO,FRECUENCIA
GARCIA,30.363  
FERNANDEZ,23.135  
GONZALEZ,22.829  
RODRIGUEZ,17.755  
LOPEZ,17.667  
PEREZ,16.691  
MARTINEZ,16.309  
SANCHEZ,12.193  
MARTIN,12.095  
GOMEZ,11.756  
RUIZ,9.536  
ALONSO,8.661  
BILBAO,7.154  
ALVAREZ,6.757  
GUTIERREZ,6.725  
HERNANDEZ,6.712  
DIEZ,5.319  
JIMENEZ,5.259  
DIAZ,4.937  
VAZQUEZ,3.806  
MUÑOZ,3.763  
MORENO,3.664  
BLANCO,3.636  
URIARTE,3.296  
ORTEGA,3.276  
PEÑA,3.117  
ORTIZ,3.044  
AGUIRRE,3.016  
IGLESIAS,2.966  
DOMINGUEZ,2.843  
GIL,2.829  
RAMOS,2.747  
ZABALA,2.744  
SANTOS,2.676  
ROMERO,2.599  
SANTAMARIA,2.549  
CALVO,2.413  
DELGADO,2.390  
NUÑEZ,2.371  
PRIETO,2.367  
ETXEBARRIA,2.293  
CASTRO,2.209  
ECHEVARRIA,2.176  
SANZ,2.164  
HERRERO,2.088  
MENDEZ,1.918  
TORRES,1.862  
MERINO,1.847  
IBAÑEZ,1.766  
MARCOS,1.759  
