PRIMER APELLIDO,FRECUENCIA
LOPEZ,23.781  
FERNANDEZ,19.240  
RODRIGUEZ,15.431  
GARCIA,9.552  
GONZALEZ,9.255  
VAZQUEZ,8.406  
DIAZ,7.984  
PEREZ,6.987  
ALVAREZ,4.371  
GOMEZ,4.102  
MARTINEZ,4.006  
CASTRO,3.759  
SANCHEZ,3.002  
VARELA,2.857  
ARIAS,2.679  
OTERO,2.510  
MENDEZ,2.394  
IGLESIAS,2.081  
BLANCO,1.939  
NUÑEZ,1.883  
RIVAS,1.577  
FERREIRO,1.554  
VEIGA,1.440  
PARDO,1.343  
PENA,1.244  
VILA,1.227  
PRIETO,1.200  
ALONSO,1.172  
REY,1.117  
PAZ,1.041  
PEREIRA,1.040  
LOSADA,1.027  
PIÑEIRO,1.025  
PRADO,993  
FRAGA,986  
NOVO,973  
RAMOS,943  
EXPOSITO,868  
TEIJEIRO,854  
PERNAS,829  
SEIJAS,810  
REGO,809  
YAÑEZ,805  
NEIRA,775  
ARES,749  
SUAREZ,731  
FREIRE,724  
DOMINGUEZ,719  
LORENZO,710  
SOUTO,700  
