PRIMER APELLIDO,FRECUENCIA
GARCIA,2.908  
LOPEZ,2.757  
PEREZ,2.545  
GIMENEZ,2.070  
MARTINEZ,1.972  
SANCHEZ,1.965  
GRACIA,1.494  
GONZALEZ,1.467  
RODRIGUEZ,1.353  
FERNANDEZ,1.339  
FERRER,1.077  
HERNANDEZ,1.069  
PUEYO,971  
JIMENEZ,966  
MARTIN,893  
MUR,886  
TORRES,856  
GOMEZ,846  
SANZ,768  
CAMPO,727  
NAVARRO,718  
MORENO,701  
RUIZ,692  
GIL,690  
CALVO,652  
BUIL,602  
GARCES,561  
CASTILLO,551  
OLIVAN,523  
ESCARTIN,520  
DIAZ,499  
ALLUE,485  
ARA,477  
CASTAN,464  
IBARZ,450  
MUÑOZ,445  
PASCUAL,444  
BALLARIN,443  
ALVAREZ,437  
PARDO,398  
SERRANO,397  
PALACIN,395  
ARNAL,393  
ABADIAS,391  
VILLACAMPA,388  
MARIN,380  
SANTOLARIA,379  
LATORRE,371  
VIDAL,369  
VIÑUALES,369  
