PRIMER APELLIDO,FRECUENCIA
GARCIA,6.625  
GONZALEZ,4.895  
FERNANDEZ,4.233  
PEREZ,3.838  
MARTIN,3.166  
RODRIGUEZ,3.116  
MARTINEZ,2.560  
GUTIERREZ,2.332  
DIEZ,2.325  
ALONSO,2.249  
LOPEZ,2.121  
GOMEZ,1.646  
SANCHEZ,1.618  
RUIZ,1.587  
HERRERO,1.433  
HERNANDEZ,1.341  
MERINO,1.337  
ALVAREZ,1.061  
ANTOLIN,1.045  
MARCOS,1.036  
CALVO,1.016  
JIMENEZ,888  
ANDRES,845  
ORTEGA,809  
BLANCO,798  
RAMOS,762  
ROJO,759  
SANTOS,711  
AGUADO,705  
MIGUEL,705  
IBAÑEZ,697  
MUÑOZ,638  
GIL,611  
PRIETO,589  
NIETO,559  
IGLESIAS,551  
DE LA FUENTE,506  
LOZANO,501  
DELGADO,464  
ABAD,460  
MACHO,460  
LEON,456  
FRANCO,452  
APARICIO,442  
VEGA,441  
TORRES,430  
ROMAN,412  
DIAZ,406  
PASTOR,394  
SALVADOR,391  
