PRIMER APELLIDO,FRECUENCIA
GARCIA,51.024  
GONZALEZ,33.955  
SANCHEZ,33.098  
FERNANDEZ,32.127  
LOPEZ,30.712  
MARTIN,29.550  
RUIZ,28.390  
RODRIGUEZ,27.646  
JIMENEZ,26.241  
PEREZ,26.081  
GOMEZ,20.167  
MORENO,19.989  
MUÑOZ,15.622  
DIAZ,14.821  
ROMERO,12.550  
MARTINEZ,11.051  
RAMIREZ,9.414  
GUERRERO,9.368  
GUTIERREZ,8.788  
TORRES,8.618  
DOMINGUEZ,8.224  
MORALES,7.258  
MOLINA,7.044  
LUQUE,7.010  
RAMOS,6.776  
AGUILAR,6.536  
GIL,6.514  
CORTES,6.428  
ORTEGA,5.941  
NAVARRO,5.714  
BENITEZ,5.704  
ALVAREZ,5.567  
MARQUEZ,5.330  
MARIN,5.272  
ORTIZ,5.259  
CASTILLO,5.228  
CAMPOS,4.821  
DELGADO,4.799  
VAZQUEZ,4.652  
SERRANO,4.580  
MEDINA,4.382  
RUEDA,4.253  
NUÑEZ,4.035  
HERNANDEZ,3.860  
RIOS,3.783  
HEREDIA,3.720  
GALLARDO,3.700  
SANTIAGO,3.670  
CARRASCO,3.669  
LARA,3.668  
