PRIMER APELLIDO,FRECUENCIA
GARCIA,9.661  
LOPEZ,5.818  
MARTINEZ,5.598  
SANCHEZ,5.531  
PEREZ,4.369  
GONZALEZ,4.197  
FERNANDEZ,3.953  
RODRIGUEZ,3.408  
MARTIN,2.767  
GOMEZ,2.571  
SANZ,2.403  
RUIZ,2.152  
MORENO,2.091  
DIAZ,2.000  
MUÑOZ,1.949  
JIMENEZ,1.849  
HERNANDEZ,1.390  
ALONSO,1.278  
GUTIERREZ,1.154  
GIL,1.119  
ALVAREZ,1.049  
SERRANO,1.039  
CALVO,1.020  
ROMERO,967  
ESTEBAN,950  
ORTEGA,914  
RAMOS,802  
TORRES,785  
BLANCO,738  
LOZANO,735  
BENITO,725  
HERRANZ,720  
DOMINGUEZ,691  
GARRIDO,649  
MORALES,632  
PASTOR,616  
VAZQUEZ,611  
RUBIO,608  
RAMIREZ,581  
VICENTE,579  
ANDRES,574  
CASTILLO,574  
DELGADO,557  
MOLINA,552  
ROJO,552  
ABAD,545  
REDONDO,515  
ORTIZ,511  
MEDINA,487  
ARROYO,485  
