PRIMER APELLIDO,FRECUENCIA
GARCIA,7.228  
MARTIN,5.785  
SANZ,3.750  
GOMEZ,3.747  
GONZALEZ,3.252  
MUÑOZ,2.053  
LOPEZ,1.928  
RODRIGUEZ,1.899  
HERRERO,1.872  
PEREZ,1.650  
FERNANDEZ,1.467  
VELASCO,1.179  
SANCHEZ,1.160  
ARRANZ,1.141  
LLORENTE,1.126  
ALVAREZ,1.104  
ALONSO,1.094  
HERRANZ,1.053  
MARTINEZ,1.012  
PASCUAL,977  
GIL,970  
MORENO,957  
JIMENEZ,928  
ARRIBAS,827  
DE FRUTOS,802  
HERNANDEZ,788  
RUBIO,679  
DE ANDRES,659  
SANTOS,645  
CASADO,634  
ESTEBAN,590  
BLANCO,550  
CALVO,546  
DIEZ,537  
GUTIERREZ,536  
BENITO,533  
RINCON,524  
BERMEJO,473  
SANCHO,472  
GARRIDO,465  
RUIZ,454  
LAZARO,453  
MERINO,448  
OTERO,429  
PASTOR,426  
DE PABLOS,425  
HERNANDO,413  
TEJEDOR,405  
SERRANO,403  
MATESANZ,400  
