PRIMER APELLIDO,FRECUENCIA
FERNANDEZ,27.145  
GARCIA,25.770  
GONZALEZ,21.798  
RODRIGUEZ,17.013  
ALVAREZ,15.757  
MARTINEZ,14.563  
LOPEZ,10.114  
PEREZ,10.057  
ALONSO,7.070  
DIEZ,6.019  
BLANCO,5.066  
SANCHEZ,4.286  
GUTIERREZ,4.053  
PRIETO,3.553  
GOMEZ,3.546  
ARIAS,3.235  
SUAREZ,2.888  
VEGA,2.551  
SANTOS,2.536  
JIMENEZ,2.236  
CASTRO,2.180  
DOMINGUEZ,2.148  
DIAZ,2.120  
MORAN,2.081  
RAMOS,1.934  
ROBLES,1.847  
MARCOS,1.645  
MARTIN,1.634  
NUÑEZ,1.614  
MENDEZ,1.523  
HERNANDEZ,1.428  
VIDAL,1.373  
RUBIO,1.358  
FUERTES,1.322  
VAZQUEZ,1.276  
IGLESIAS,1.273  
FRANCO,1.206  
CRESPO,1.204  
ALLER,1.174  
CASADO,1.167  
MIGUELEZ,1.151  
LLAMAZARES,1.115  
FERRERO,1.069  
GALLEGO,1.056  
FIDALGO,1.002  
PRADA,971  
CALVO,939  
REDONDO,935  
RUIZ,914  
DE LA FUENTE,913  
