PRIMER APELLIDO,FRECUENCIA
LOPEZ,23.096  
GARCIA,22.996  
MARTINEZ,21.219  
FERNANDEZ,20.772  
SANCHEZ,17.932  
RODRIGUEZ,17.852  
PEREZ,12.148  
GONZALEZ,9.591  
MARTIN,8.420  
GOMEZ,7.912  
RUIZ,7.814  
HERNANDEZ,6.926  
MORENO,5.742  
CORTES,5.718  
JIMENEZ,5.443  
TORRES,5.210  
NAVARRO,4.962  
SANTIAGO,4.538  
MUÑOZ,4.347  
DIAZ,4.052  
MORALES,3.507  
MOLINA,3.187  
ALONSO,3.099  
PARRA,3.015  
VARGAS,2.853  
SEGURA,2.849  
RAMOS,2.823  
GUTIERREZ,2.699  
MALDONADO,2.566  
ORTEGA,2.449  
ROMERO,2.384  
CASTILLO,2.307  
GIMENEZ,2.269  
CRUZ,2.216  
RUBIO,2.167  
FUENTES,1.998  
ALVAREZ,1.974  
ORTIZ,1.945  
MONTOYA,1.907  
MARIN,1.839  
VILLEGAS,1.825  
AMADOR,1.788  
FLORES,1.736  
CANO,1.735  
CARMONA,1.694  
MANZANO,1.626  
RAMIREZ,1.586  
SOLER,1.573  
SALMERON,1.568  
GARRIDO,1.538  
