PRIMER APELLIDO,FRECUENCIA
GARCIA,5.501  
MARTINEZ,4.164  
LOPEZ,3.992  
RODRIGUEZ,3.420  
SANCHEZ,3.416  
PEREZ,3.330  
GONZALEZ,3.213  
FERNANDEZ,3.125  
SOLE,2.290  
GOMEZ,2.037  
JIMENEZ,2.035  
FARRE,1.974  
RUIZ,1.843  
VIDAL,1.739  
TORRES,1.731  
HERNANDEZ,1.633  
MARTIN,1.608  
MORENO,1.585  
GIMENEZ,1.286  
DIAZ,1.260  
VILA,1.216  
MARTI,1.204  
MUÑOZ,1.163  
SERRA,1.139  
ROCA,1.100  
BOSCH,1.021  
CAPDEVILA,1.000  
DIALLO,992  
ROMERO,988  
PUJOL,979  
PUIG,918  
NAVARRO,877  
PONS,872  
ORTIZ,849  
SANS,832  
JOVE,810  
BADIA,808  
SERRANO,801  
SALA,781  
GUTIERREZ,775  
RIBES,765  
PASCUAL,762  
ESTEVE,747  
PALAU,724  
FONT,719  
SEGURA,706  
MOLINA,684  
MIRO,673  
ALVAREZ,672  
PIÑOL,663  
