PRIMER APELLIDO,FRECUENCIA
MOHAMED,7.615  
AHMED,3.066  
GARCIA,1.684  
ABDESELAM,1.591  
SANCHEZ,1.199  
RODRIGUEZ,1.119  
GONZALEZ,1.071  
PEREZ,1.048  
LOPEZ,982  
FERNANDEZ,902  
ABDELKADER,686  
RUIZ,647  
MARTIN,644  
JIMENEZ,633  
GOMEZ,591  
MARTINEZ,568  
ALI,567  
MUÑOZ,550  
MUSTAFA,540  
ABDEL LAH,498  
AMAR,466  
DIAZ,464  
HAMED,456  
ABSELAM,418  
LEON,411  
GUERRERO,376  
MORENO,371  
DRIS,340  
HOSSAIN,311  
ROMERO,303  
GUTIERREZ,266  
ABDERRAHAMAN,263  
CHAIRI,255  
HASSAN,255  
CHAIB,248  
HERNANDEZ,244  
RAMIREZ,241  
DOMINGUEZ,236  
VAZQUEZ,231  
ALVAREZ,230  
CASTILLO,230  
BENITEZ,228  
LAARBI,219  
BLANCO,212  
TORRES,205  
ROMAN,201  
RIOS,197  
MOLINA,196  
MARQUEZ,193  
ESPINOSA,187  
