PRIMER APELLIDO,FRECUENCIA
MARTIN,9.003  
GARCIA,8.309  
JIMENEZ,7.329  
GONZALEZ,6.810  
SANCHEZ,6.481  
HERNANDEZ,4.379  
LOPEZ,4.267  
RODRIGUEZ,3.692  
GOMEZ,2.750  
FERNANDEZ,2.471  
MUÑOZ,2.358  
DIAZ,2.085  
PEREZ,2.051  
BLAZQUEZ,1.940  
GUTIERREZ,1.505  
ALONSO,1.028  
MORENO,982  
MARTINEZ,943  
SAEZ,920  
ALVAREZ,822  
GIL,708  
GALAN,700  
BLANCO,695  
NIETO,612  
DOMINGUEZ,565  
SANZ,545  
HERRERO,531  
SAN SEGUNDO,513  
ARRIBAS,505  
SERRANO,500  
HERRAEZ,485  
RUIZ,471  
DELGADO,469  
GALLEGO,452  
HERRANZ,448  
ARROYO,423  
VAZQUEZ,421  
PRIETO,407  
PASCUAL,392  
NUÑEZ,389  
RAMOS,386  
VELAYOS,368  
DE LA FUENTE,367  
PINDADO,344  
CALVO,335  
ESTEBAN,329  
VAQUERO,322  
IZQUIERDO,309  
MENDEZ,297  
YUSTE,294  
