PRIMER APELLIDO,FRECUENCIA
PEREZ,2.528  
GARCIA,2.492  
MARTIN,2.050  
MARTINEZ,2.039  
SANCHEZ,1.943  
GOMEZ,1.739  
LOPEZ,1.671  
HERNANDEZ,1.328  
GRACIA,930  
BLASCO,909  
SANZ,905  
GONZALEZ,888  
ESTEBAN,863  
MUÑOZ,850  
NAVARRO,827  
SORIANO,801  
GIL,751  
VICENTE,748  
RODRIGUEZ,712  
FERNANDEZ,686  
IBAÑEZ,615  
FERRER,594  
ROYO,582  
MARCO,569  
DOMINGO,561  
MORENO,552  
ROMERO,549  
GUILLEN,547  
GIMENO,542  
DIAZ,514  
GIMENEZ,513  
SANCHO,513  
SERRANO,509  
CALVO,475  
IZQUIERDO,475  
HERRERO,472  
FUERTES,456  
TORRES,446  
PASCUAL,422  
GASCON,421  
VILLARROYA,419  
AGUILAR,410  
LAZARO,405  
ALQUEZAR,386  
RUBIO,384  
RUIZ,375  
VILLANUEVA,368  
LAHOZ,366  
MATEO,365  
ANDRES,361  
