PRIMER APELLIDO,FRECUENCIA
GARCIA,21.385  
GONZALEZ,15.428  
MARTIN,15.163  
RODRIGUEZ,14.666  
FERNANDEZ,11.834  
PEREZ,11.098  
SANCHEZ,7.887  
LOPEZ,7.719  
ALONSO,7.503  
GOMEZ,6.568  
MARTINEZ,6.566  
HERNANDEZ,6.439  
SANZ,6.420  
ALVAREZ,5.130  
DIEZ,4.469  
GUTIERREZ,4.014  
JIMENEZ,3.873  
HERRERO,3.256  
MUÑOZ,3.236  
VELASCO,3.024  
BLANCO,2.876  
SAN JOSE,2.700  
ARRANZ,2.605  
RUIZ,2.596  
DOMINGUEZ,2.394  
DE LA FUENTE,2.247  
ORTEGA,2.162  
CALVO,2.102  
PRIETO,2.043  
NIETO,1.953  
MARCOS,1.868  
SANTOS,1.831  
GIL,1.820  
CASADO,1.778  
MERINO,1.776  
RAMOS,1.688  
REDONDO,1.605  
ESCUDERO,1.601  
BENITO,1.512  
DIAZ,1.436  
ESTEBAN,1.431  
PASCUAL,1.409  
LOZANO,1.380  
LORENZO,1.367  
GALLEGO,1.305  
NUÑEZ,1.242  
VAZQUEZ,1.217  
MIGUEL,1.201  
VICENTE,1.174  
AGUADO,1.168  
