PRIMER APELLIDO,FRECUENCIA
FERNANDEZ,76.543  
GARCIA,62.913  
GONZALEZ,49.472  
ALVAREZ,40.644  
RODRIGUEZ,38.257  
MARTINEZ,22.425  
SUAREZ,21.665  
LOPEZ,20.679  
PEREZ,20.300  
DIAZ,18.473  
MENENDEZ,17.323  
SANCHEZ,14.288  
ALONSO,14.027  
IGLESIAS,8.730  
GUTIERREZ,7.866  
BLANCO,6.776  
GOMEZ,6.224  
VAZQUEZ,5.102  
MARTIN,5.086  
MENDEZ,5.083  
JIMENEZ,4.689  
VEGA,4.461  
MUÑIZ,4.297  
HERNANDEZ,4.178  
PRIETO,3.693  
ARIAS,3.579  
VALDES,2.982  
CASTRO,2.900  
MONTES,2.682  
RUIZ,2.664  
RAMOS,2.305  
RUBIO,2.241  
ARGUELLES,2.229  
MORAN,2.147  
PELAEZ,2.093  
DIEZ,2.052  
HEVIA,1.990  
CUERVO,1.951  
SANTOS,1.876  
GRANDA,1.852  
CUESTA,1.783  
VELASCO,1.753  
MIRANDA,1.656  
ZAPICO,1.644  
ANTUÑA,1.632  
DOMINGUEZ,1.599  
MARCOS,1.584  
MORENO,1.551  
VALLE,1.487  
CASTAÑO,1.486  
