PRIMER APELLIDO,FRECUENCIA
GONZALEZ,55.987  
HERNANDEZ,49.780  
RODRIGUEZ,48.957  
PEREZ,38.522  
GARCIA,35.839  
MARTIN,26.866  
DIAZ,22.585  
LOPEZ,11.026  
RAMOS,9.764  
DELGADO,9.655  
CABRERA,9.330  
ALVAREZ,9.045  
FERNANDEZ,8.631  
LUIS,7.991  
SANCHEZ,7.893  
MORALES,7.401  
HERRERA,6.747  
GOMEZ,6.400  
ACOSTA,6.328  
GUTIERREZ,6.293  
ALONSO,6.292  
SUAREZ,6.056  
MARRERO,5.849  
MENDEZ,5.826  
AFONSO,5.783  
LORENZO,5.599  
REYES,5.220  
MEDINA,5.153  
TORRES,5.106  
CRUZ,4.992  
MESA,4.974  
LEON,4.945  
DOMINGUEZ,4.862  
DORTA,4.569  
MARTINEZ,4.349  
EXPOSITO,4.348  
PADRON,4.207  
BRITO,3.924  
CASTRO,3.825  
TRUJILLO,3.690  
ARMAS,3.501  
PADILLA,3.477  
QUINTERO,3.426  
SANTANA,3.391  
SANTOS,3.391  
JIMENEZ,3.300  
RIVERO,3.087  
PLASENCIA,3.070  
RUIZ,2.716  
VERA,2.677  
