PRIMER APELLIDO,FRECUENCIA
SANCHEZ,21.477  
GARCIA,20.435  
MARTIN,19.846  
HERNANDEZ,14.234  
GONZALEZ,11.227  
RODRIGUEZ,8.843  
PEREZ,7.150  
LOPEZ,4.809  
GOMEZ,4.641  
VICENTE,4.362  
MARCOS,2.842  
ALONSO,2.837  
FERNANDEZ,2.760  
JIMENEZ,2.506  
RAMOS,2.375  
SANTOS,2.367  
IGLESIAS,2.219  
HERRERO,2.191  
BENITO,2.185  
MATEOS,2.159  
DOMINGUEZ,2.095  
MUÑOZ,2.073  
DIAZ,1.754  
ALVAREZ,1.724  
BLANCO,1.715  
CALVO,1.625  
PRIETO,1.625  
GUTIERREZ,1.483  
MARTINEZ,1.411  
NIETO,1.256  
BLAZQUEZ,1.130  
FRAILE,1.083  
MORENO,1.072  
DELGADO,1.055  
MONTERO,1.011  
MIGUEL,985  
GIL,929  
ANDRES,892  
GALLEGO,887  
RIVAS,886  
DIEZ,856  
RUBIO,824  
BERNAL,818  
LORENZO,804  
BARBERO,794  
TORRES,791  
MORO,773  
ROMERO,767  
SALAZAR,736  
FUENTES,722  
