PRIMER APELLIDO,FRECUENCIA
MARTINEZ,80.300  
GARCIA,65.984  
SANCHEZ,51.536  
LOPEZ,50.087  
PEREZ,30.135  
FERNANDEZ,26.745  
HERNANDEZ,22.197  
GONZALEZ,19.212  
RUIZ,17.075  
GOMEZ,15.551  
NAVARRO,15.463  
RODRIGUEZ,14.538  
MORENO,14.364  
MUÑOZ,12.994  
JIMENEZ,12.424  
MARIN,12.251  
DIAZ,8.748  
MOLINA,8.459  
NICOLAS,6.616  
CANOVAS,6.356  
ROS,5.763  
GIL,5.662  
ROMERO,5.626  
SERRANO,5.525  
CARRILLO,5.324  
CANO,5.234  
ALCARAZ,5.116  
BERNAL,5.064  
TORRES,5.059  
ORTIZ,4.832  
RUBIO,4.738  
MORALES,4.470  
CONESA,4.349  
ORTEGA,4.172  
ABELLAN,4.104  
VERA,4.050  
GIMENEZ,3.961  
LOZANO,3.862  
VIDAL,3.798  
GUILLEN,3.664  
GALLEGO,3.380  
VICENTE,3.376  
LUCAS,3.294  
CARRASCO,3.258  
SOTO,3.250  
RAMIREZ,3.188  
ALVAREZ,3.186  
IBAÑEZ,3.165  
EGEA,3.144  
LORENTE,3.128  
