PRIMER APELLIDO,FRECUENCIA
GARCIA,12.390  
MARTINEZ,8.664  
RODRIGUEZ,8.517  
LOPEZ,8.091  
SANCHEZ,7.925  
FERNANDEZ,7.824  
PEREZ,7.125  
GONZALEZ,6.967  
GOMEZ,4.152  
RUIZ,3.987  
VILA,3.922  
MORENO,3.905  
MARTIN,3.616  
JIMENEZ,3.384  
MUÑOZ,3.285  
HERNANDEZ,3.232  
SERRA,2.783  
DIAZ,2.716  
SINGH,2.696  
ROMERO,2.442  
SOLER,2.352  
PUIG,2.344  
FERRER,2.218  
TORRES,2.199  
BOSCH,2.177  
COSTA,2.112  
FONT,2.098  
SALA,2.004  
PUJOL,1.900  
COLL,1.876  
VIDAL,1.801  
ALVAREZ,1.795  
MARTI,1.711  
RAMIREZ,1.692  
ROCA,1.662  
KAUR,1.642  
NAVARRO,1.642  
PAGES,1.581  
RAMOS,1.565  
MOLINA,1.539  
GUTIERREZ,1.538  
SERRANO,1.465  
RIERA,1.447  
CORTES,1.408  
RIBAS,1.394  
PLANAS,1.389  
CRUZ,1.368  
ORTEGA,1.347  
DURAN,1.345  
CARRERAS,1.306  
