PRIMER APELLIDO,FRECUENCIA
GARCIA,23.442  
LOPEZ,17.969  
JIMENEZ,16.656  
SANCHEZ,16.435  
PEREZ,14.260  
RODRIGUEZ,13.919  
RUIZ,13.700  
FERNANDEZ,13.433  
MUÑOZ,12.349  
GONZALEZ,12.072  
GOMEZ,12.036  
MORENO,10.660  
MARTINEZ,8.189  
ROMERO,8.158  
LUQUE,6.825  
SERRANO,6.764  
DIAZ,5.783  
RAMIREZ,5.704  
CASTRO,5.062  
MOLINA,5.053  
JURADO,4.766  
MORALES,4.554  
MARTIN,4.324  
CARMONA,4.311  
ORTIZ,4.240  
GUTIERREZ,3.998  
TORRES,3.968  
CABALLERO,3.667  
LEON,3.635  
DELGADO,3.603  
REYES,3.389  
AGUILAR,3.384  
ROLDAN,3.299  
NAVARRO,3.296  
AGUILERA,3.277  
MARQUEZ,3.253  
HIDALGO,3.111  
MARIN,3.093  
LUNA,2.977  
BAENA,2.674  
ORTEGA,2.591  
ALVAREZ,2.497  
PRIETO,2.488  
MEDINA,2.474  
RUBIO,2.470  
MONTES,2.453  
CANO,2.433  
CRUZ,2.401  
LARA,2.397  
CABELLO,2.324  
