PRIMER APELLIDO,FRECUENCIA
MARTINEZ,11.046  
GARCIA,9.142  
FERNANDEZ,6.801  
PEREZ,6.345  
JIMENEZ,5.608  
GONZALEZ,4.599  
RUIZ,4.404  
LOPEZ,4.232  
SAENZ,3.776  
RODRIGUEZ,3.503  
GOMEZ,3.104  
MORENO,2.219  
HERNANDEZ,1.978  
SANCHEZ,1.945  
ALONSO,1.919  
PASCUAL,1.706  
GIL,1.656  
MARIN,1.556  
DIEZ,1.524  
ALVAREZ,1.428  
GUTIERREZ,1.400  
MARTIN,1.345  
CALVO,1.326  
EZQUERRO,1.323  
BLANCO,1.321  
IBAÑEZ,1.282  
RUBIO,1.276  
MUÑOZ,1.253  
GARRIDO,1.200  
SAEZ,1.185  
DIAZ,1.123  
RAMIREZ,1.095  
PALACIOS,1.039  
ORTEGA,981  
BENITO,970  
SANTAMARIA,960  
OCHOA,907  
ROMERO,897  
LEON,889  
DOMINGUEZ,875  
HERCE,811  
PEÑA,802  
GABARRI,782  
MERINO,748  
SAINZ,734  
TORRES,731  
SANZ,690  
CASTILLO,681  
CORDON,627  
ORTIZ,604  
