PRIMER APELLIDO,FRECUENCIA
GARCIA,22.308  
MARTINEZ,15.734  
PEREZ,14.858  
LOPEZ,13.455  
SANCHEZ,12.004  
GRACIA,9.900  
GONZALEZ,8.113  
HERNANDEZ,7.519  
GOMEZ,7.326  
MARTIN,6.834  
FERNANDEZ,6.567  
RODRIGUEZ,6.543  
JIMENEZ,6.015  
RUIZ,5.866  
GIL,5.690  
NAVARRO,5.587  
SANZ,5.448  
SERRANO,4.960  
GIMENEZ,4.776  
MORENO,4.753  
MUÑOZ,4.368  
GIMENO,3.820  
MARIN,3.437  
BLASCO,3.398  
CALVO,3.291  
MARCO,3.143  
ALONSO,3.113  
SANCHO,3.111  
ROYO,3.109  
IBAÑEZ,3.089  
RUBIO,2.984  
LAZARO,2.969  
VICENTE,2.908  
ALVAREZ,2.802  
DIAZ,2.763  
AZNAR,2.726  
CORTES,2.552  
ROMERO,2.503  
ESTEBAN,2.463  
GUTIERREZ,2.405  
ANDRES,2.343  
TORRES,2.310  
DOMINGUEZ,2.157  
FERRER,2.020  
RAMOS,2.003  
CASTILLO,1.907  
RODRIGO,1.886  
MORALES,1.883  
PASCUAL,1.853  
SIERRA,1.848  
