PRIMER APELLIDO,FRECUENCIA
GARCIA,42.409  
SANCHEZ,34.006  
RODRIGUEZ,32.200  
GONZALEZ,25.998  
PEREZ,25.491  
FERNANDEZ,23.651  
LOPEZ,21.605  
JIMENEZ,17.157  
GOMEZ,17.141  
RUIZ,15.356  
MORENO,14.694  
ROMERO,14.038  
MUÑOZ,11.787  
MARTINEZ,11.135  
DIAZ,9.532  
DOMINGUEZ,9.398  
RAMIREZ,9.209  
BENITEZ,8.895  
GUTIERREZ,8.531  
MARTIN,7.882  
GUERRERO,7.746  
DELGADO,6.425  
ALVAREZ,6.208  
MORALES,6.143  
VAZQUEZ,6.068  
GIL,5.838  
MARQUEZ,5.791  
ORTEGA,5.374  
RAMOS,5.359  
BERNAL,5.211  
NUÑEZ,5.067  
TORRES,5.061  
MARIN,4.846  
REYES,4.746  
CASTRO,4.543  
ROMAN,4.442  
ARAGON,4.140  
MACIAS,4.128  
HERRERA,4.122  
VEGA,3.823  
SERRANO,3.756  
NAVARRO,3.713  
HERNANDEZ,3.703  
CARRASCO,3.690  
FLORES,3.514  
GALLARDO,3.514  
PEÑA,3.498  
GARRIDO,3.439  
AGUILAR,3.348  
MEDINA,3.309  
