PRIMER APELLIDO,FRECUENCIA
GARCIA,227.457  
GONZALEZ,136.694  
FERNANDEZ,134.725  
SANCHEZ,134.148  
LOPEZ,125.682  
RODRIGUEZ,124.500  
MARTIN,104.680  
MARTINEZ,101.348  
PEREZ,95.280  
GOMEZ,80.439  
JIMENEZ,65.367  
DIAZ,55.824  
HERNANDEZ,53.487  
MORENO,49.799  
MUÑOZ,49.102  
RUIZ,45.874  
ALVAREZ,39.920  
ALONSO,35.801  
GUTIERREZ,31.150  
SANZ,28.066  
ROMERO,27.955  
SERRANO,24.273  
TORRES,22.294  
RAMOS,21.598  
RAMIREZ,20.915  
GIL,19.961  
DOMINGUEZ,19.526  
BLANCO,19.397  
RUBIO,19.336  
ORTEGA,17.421  
NAVARRO,17.137  
DELGADO,17.049  
MORALES,16.681  
ORTIZ,16.019  
VAZQUEZ,15.716  
MOLINA,15.169  
SANTOS,14.287  
CASTRO,14.222  
NUÑEZ,14.205  
GARRIDO,12.884  
PRIETO,12.689  
GALLEGO,12.151  
CASTILLO,12.149  
LOZANO,12.123  
ESTEBAN,11.976  
MONTERO,11.961  
CALVO,11.849  
HERRERO,11.737  
NIETO,11.723  
MEDINA,11.576  
