PRIMER APELLIDO,FRECUENCIA
MARTINEZ,9.931  
GARCIA,7.410  
LOPEZ,6.139  
FERNANDEZ,3.299  
PEREZ,2.736  
GONZALEZ,2.488  
GOMEZ,2.438  
JIMENEZ,2.363  
RUIZ,2.145  
SANCHEZ,1.982  
MORENO,1.972  
SAIZ,1.828  
MUÑOZ,1.691  
NAVARRO,1.529  
RODRIGUEZ,1.305  
RUBIO,1.300  
MOYA,1.203  
ROMERO,1.200  
SERRANO,1.147  
CANO,1.072  
DIAZ,1.021  
ESCRIBANO,989  
HERRAIZ,977  
ORTEGA,964  
GARRIDO,916  
ALARCON,809  
GUIJARRO,788  
HERNANDEZ,651  
RAMIREZ,643  
PLAZA,630  
MOLINA,619  
ALVAREZ,591  
CARRASCO,580  
IZQUIERDO,572  
MORALES,564  
REDONDO,561  
ZAMORA,551  
DOMINGUEZ,542  
COLLADO,540  
VALERO,530  
SAEZ,508  
PARDO,501  
ORTIZ,500  
PRIETO,483  
OLIVARES,472  
LOZANO,470  
DELGADO,468  
ESCUDERO,461  
SORIA,438  
HUERTA,435  
