PRIMER APELLIDO,FRECUENCIA
RODRIGUEZ,38.576  
GONZALEZ,35.213  
FERNANDEZ,35.131  
MARTINEZ,22.939  
GARCIA,22.391  
PEREZ,21.893  
ALVAREZ,16.460  
LOPEZ,14.618  
ALONSO,13.565  
IGLESIAS,10.891  
VAZQUEZ,10.637  
GOMEZ,10.055  
DOMINGUEZ,10.048  
OTERO,9.131  
CASTRO,8.708  
LORENZO,6.732  
PEREIRA,6.448  
PIÑEIRO,6.097  
BLANCO,5.930  
ESTEVEZ,5.728  
SANCHEZ,5.305  
COSTAS,5.173  
REY,5.057  
LAGO,4.942  
VIDAL,4.566  
BARREIRO,4.414  
DIAZ,3.880  
TORRES,3.775  
VARELA,3.761  
NUÑEZ,3.672  
SUAREZ,3.411  
GIL,3.403  
SILVA,3.344  
MENDEZ,3.321  
PAZOS,3.163  
VILA,2.983  
ROMERO,2.942  
SANTOS,2.887  
VILLAR,2.858  
RIVAS,2.725  
DURAN,2.711  
CARRERA,2.667  
PAZ,2.610  
RIAL,2.602  
COMESAÑA,2.584  
BARROS,2.567  
FERREIRA,2.564  
CASAL,2.551  
GARRIDO,2.520  
CONDE,2.510  
