PRIMER APELLIDO,FRECUENCIA
GARCIA,67.034  
RODRIGUEZ,56.840  
GONZALEZ,43.793  
FERNANDEZ,43.376  
SANCHEZ,41.445  
LOPEZ,39.082  
PEREZ,36.488  
JIMENEZ,32.085  
GOMEZ,26.853  
MARTIN,25.957  
ROMERO,25.072  
RUIZ,23.527  
MARTINEZ,22.636  
MORENO,22.262  
DIAZ,19.479  
MUÑOZ,19.265  
DOMINGUEZ,14.941  
ALVAREZ,13.001  
GUTIERREZ,11.596  
VAZQUEZ,11.141  
DELGADO,10.088  
RAMIREZ,9.626  
MARQUEZ,9.506  
NAVARRO,8.859  
TORRES,8.784  
RAMOS,8.753  
HERNANDEZ,7.875  
LEON,7.777  
MARIN,7.229  
NUÑEZ,7.053  
CARMONA,7.040  
ORTIZ,7.017  
MORALES,6.994  
GUERRERO,6.614  
BENITEZ,6.589  
HIDALGO,6.404  
SUAREZ,6.365  
ORTEGA,6.344  
AGUILAR,5.957  
CASTRO,5.934  
REYES,5.874  
GIL,5.637  
SERRANO,5.590  
BLANCO,5.533  
VARGAS,5.366  
MOLINA,5.351  
GARRIDO,5.275  
HERRERA,5.260  
CASTILLO,5.235  
VEGA,5.177  
