PRIMER APELLIDO,FRECUENCIA
RODRIGUEZ,17.603  
GONZALEZ,15.684  
GARCIA,14.499  
PEREZ,13.341  
MARTIN,11.785  
GOMEZ,10.871  
FERNANDEZ,9.602  
DOMINGUEZ,9.481  
LOPEZ,9.400  
SANCHEZ,8.532  
ROMERO,8.459  
DIAZ,7.405  
VAZQUEZ,6.496  
MARQUEZ,5.822  
MARTINEZ,4.606  
MORENO,4.520  
JIMENEZ,3.644  
DELGADO,3.504  
RUIZ,3.446  
GARRIDO,3.279  
MORA,3.250  
RAMOS,3.111  
HERNANDEZ,3.053  
ALVAREZ,3.051  
CARRASCO,2.934  
CAMACHO,2.689  
RAMIREZ,2.485  
MUÑOZ,2.484  
MACIAS,2.404  
CRUZ,2.248  
SUAREZ,1.769  
GUTIERREZ,1.743  
NUÑEZ,1.718  
SANTOS,1.699  
GIL,1.691  
FLORES,1.672  
ORTEGA,1.621  
CORDERO,1.615  
PONCE,1.610  
REYES,1.568  
QUINTERO,1.567  
MARIN,1.542  
PRIETO,1.513  
BORRERO,1.484  
FRANCO,1.412  
ORTA,1.360  
BARROSO,1.354  
ORTIZ,1.354  
NAVARRO,1.350  
CASTILLA,1.326  
