PRIMER APELLIDO,FRECUENCIA
MOHAMED,6.099  
GARCIA,1.443  
LOPEZ,1.167  
HAMED,1.019  
AHMED,1.012  
MOHAND,934  
MARTINEZ,921  
PEREZ,915  
FERNANDEZ,891  
SANCHEZ,889  
GONZALEZ,826  
RODRIGUEZ,813  
ABDELKADER,785  
AMAR,745  
RUIZ,698  
MIMUN,641  
AL LAL,595  
JIMENEZ,511  
MARTIN,458  
GOMEZ,441  
MOHAMEDI,432  
DRIS,421  
MORENO,394  
EL FOUNTI,393  
DIAZ,378  
MUÑOZ,373  
HERNANDEZ,328  
ABDEL LAH,313  
MIMOUN,295  
MIMON,267  
ABDESELAM,227  
BENAISA,225  
ROMERO,225  
CASTILLO,222  
HASSAN,214  
NAVARRO,213  
ORTEGA,204  
MOLINA,199  
KADDUR,190  
TAHIRI,186  
RAMOS,181  
GUTIERREZ,176  
HADDU,167  
MAANAN,165  
MORALES,162  
MARQUEZ,156  
CHAIB,152  
ALVAREZ,150  
MUSTAFA,149  
MOHATAR,147  
