Doğum tarihine göre en çok kullanımda olan kadın isimleri ve ilk 100 isim içindeki sıralaması, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The most used woman names by the year of birth and order in the first hundred names, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ad-Name;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;
Betül;;;;;;100;86;77;70;62;53;41;44;34;32;30;26;19;19;17;17;21;24;23;24;25;29;31;32;33;39;45;49;53;42;38;40;39;31;44;49;45;52;55
Beyza;;;;;;;;;;;;;;;;;;;78;55;42;28;16;15;14;15;13;15;18;20;25;32;37;45;46;43;41;43;52;52;62;52;51;67
Beyza Nur;;;;;;;;;;;;;;;;;;;;;;99;69;64;55;60;67;82;96;83;87;90;;;;;;;;;;;;
Beyzanur;;;;;;;;;;;;;;;;;;;;;;86;63;59;42;49;49;52;57;53;59;63;71;78;78;99;;;;;;;;
Birgül;;;57;84;78;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birsen;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buğlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;35;33;34;24;20;34;53;63;26
Buket;;;;;;;;;;;;;;;;;;;;;;92;;;100;;;;;;;;;;;;;;;;;;;
Burcu;;;;60;50;37;32;28;24;25;26;19;13;18;19;20;21;31;37;38;43;47;57;72;78;88;;;;;;;;;;;;;;;;;;
Buse;;;;;;;;;;;;;;;;;;74;57;48;39;40;31;31;22;22;26;25;40;48;58;67;75;83;94;;;;;;;;;
Büşra;;;;;;;;;;;;80;38;22;13;10;5;2;2;2;2;2;4;5;6;9;14;20;3;4;9;6;10;15;21;25;32;37;39;37;44;54;61;68
Canan;;;84;48;43;41;39;38;43;43;42;37;39;43;44;48;55;58;64;66;79;90;100;;;;;;;;;;;;;;;;;;;;;
Cansel;;;;;;;;;;;;;;;;;;;;;;35;72;;;;;;;;;;;;;;;;;;;;;
Cansu;;;;;;;;;;;;89;36;38;26;34;32;27;25;36;29;27;33;36;40;46;55;54;72;73;69;59;54;61;73;85;;;71;76;;;;
Cemile;12;18;37;65;62;67;72;78;78;89;94;97;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cemre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;84;56;52;22;17;41;48;40;53;62;49;47
Cennet;81;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceren;;;;;;;;;;;;;;;;;;;85;70;63;51;44;48;41;30;19;18;20;15;19;22;31;38;36;41;54;79;86;;92;;;
Ceyda;;;;;;;;;;;;;;;;;;;;;;;97;98;91;84;81;85;;98;;;;;;;;;;;;;;
Ceylan;;;;;;;;;;;83;69;71;54;60;52;47;40;39;49;59;72;78;81;;;;;;;;;;;;;;;;;;;;
Ceylin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;48;39;39;29;37;64;90;;;;;;
Çağla;;;;;;;;;;;;;;;;;;96;;;;;;;81;73;;;;;;;;;;;;;;;;;;
Çiğdem;;;;18;23;19;19;17;17;18;20;25;28;32;37;40;43;50;58;68;78;100;92;;;;;;;;;;;;;;;;;;;;;
Damla;;;;;;;;;;;;;;75;69;67;66;69;65;61;61;61;67;71;35;51;62;67;63;49;46;41;47;41;27;26;31;42;54;33;51;22;30;38
Defne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;46;42;54;47;48;28;9;4;3;3;3;3
Demet;;;;;;;96;97;82;91;84;90;87;81;61;69;86;90;90;;;;;;;;;;;;;;;;;;;;;;;;;
Deniz;;;;72;74;66;70;61;62;56;59;65;73;74;72;83;77;61;61;64;66;73;90;87;90;83;80;92;100;94;92;87;73;70;69;67;61;70;67;54;27;40;39;52
Deren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;95
Derin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;71;30;50;43;39;26;25;28;41
Derya;;;;16;13;10;10;10;11;8;12;15;16;21;22;24;25;28;30;34;36;37;37;35;36;47;60;66;71;81;;;;;;;;;;;;;;
Didem;;;;;;;;;;86;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dilan;;;;;;;;;;;;;;;93;64;54;45;48;45;40;19;23;28;27;35;42;22;28;42;63;86;;;;;;;;;;;;
Dilara;;;;;;;;;;;;;;;;;;93;71;54;45;39;30;25;17;11;22;28;31;35;38;52;60;69;74;100;;;;;;;;
Dilek;;;26;8;8;8;8;8;8;10;11;13;14;15;17;21;22;29;36;40;44;49;48;63;72;77;88;91;97;;;;;;;;;;;;;;;
Doğa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;81;75
Döndü;20;31;53;86;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Döne;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dudu;54;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;74;29;33;37;40;24;36;41;26;16;12;15;20
Duygu;;;;;;74;64;55;35;28;25;21;22;19;24;29;35;37;42;46;50;58;60;70;59;32;43;60;80;;;;;;;;;;;;;;;
Ebrar;;;;;;;;;;;;;;;;;;;;;;;;;;;96;86;70;56;51;54;50;49;45;46;46;52;50;55;5;4;7;13
Ebru;;;;50;48;44;37;34;27;23;23;17;17;20;18;19;12;11;11;11;12;17;20;21;29;38;47;64;77;91;;;;;;;;;;;;;;
Ece;;;;;;;;;;;;;;;;;;;;;;;58;50;68;70;61;55;66;71;64;61;64;64;61;56;75;77;62;61;54;56;76;77
Ecrin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;9;3;4;3;3;3;5;6;9;9;14;10;10
Eda;;;;;;;87;82;61;53;51;42;52;46;43;41;39;36;35;37;37;33;29;37;45;56;56;58;60;84;79;78;67;48;53;69;77;84;95;;;;;86
Edanur;;;;;;;;;;;;;;;;;;;;;77;66;52;38;31;31;32;39;46;51;55;58;57;47;60;61;72;92;99;;;;;
Ekin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;
Ela;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;25;20;29;11;9;11;18;22;24;17;21;21;17
Ela Nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;;;;;
Elanur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;78;36;24;24;28;22;20;23;31;34;43;41;60;73;79
Elif;17;24;29;9;7;7;7;7;7;7;6;7;6;4;4;3;3;5;5;5;4;5;5;4;3;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Elif Ada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;
Elif Naz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;89;89;79;63;57;49;59;61;65;78;;;
Elif Nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;85;85;88;73;68;58;56;57;47;63;77;94;;
Elif Su;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;87;55;57;63;83;;
Elife;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elifnur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;83;;;;;
Elifsu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;87;;;;
Elisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;70;69;31
Elmas;63;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emel;;;;41;36;36;33;32;40;44;44;49;55;64;76;89;94;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emine;3;3;3;3;3;3;3;3;3;3;3;3;3;5;6;6;8;9;9;9;9;9;9;9;10;8;9;11;12;16;20;21;26;27;31;31;35;38;40;49;50;57;66;64
Erva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;53;54;38;23;23;36;31;32
Esila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;64;60;56;36;18;13;18;25;27
Eslem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;66;45;32;19;21;33;24;16;8
Esma;76;93;;80;76;71;68;64;58;58;55;50;53;51;49;47;46;47;50;43;49;53;49;54;54;52;45;23;21;31;31;37;40;43;34;27;20;17;21;28;31;33;32;50
Esma Nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;59;70;79;83;76;72;77;68;62;77;81;99;;;
Esmanur;;;;;;;;;;;;;;;;;;;;;;;;;;99;92;63;48;29;26;33;35;37;30;29;25;29;32;36;57;72;82;90
Esra;;;;32;19;17;11;11;13;12;9;8;7;6;5;5;7;7;7;6;6;6;6;6;5;6;7;7;15;27;34;38;51;58;56;63;62;75;91;91;90;96;;
Eylül;;;;;;;;;;;;;;;;;;;;;;;;;;;98;69;30;24;33;17;7;8;10;12;14;10;7;10;6;5;6;6
Ezel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;
Ezgi;;;;;;;;;;;;;78;52;48;46;52;52;52;47;48;50;56;62;70;71;74;83;;100;100;96;;89;96;;;;;;;;;
Fadime;10;10;12;36;35;43;41;46;48;49;61;67;77;80;80;80;75;83;83;85;76;84;;;;;;;;;;;;;;;;;;;;;;
Fatma;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;3;4;5;6;6;7;9;8;8;11;10;17;19;18;25;27;27;30;39;37;44
Fatma Nur;;;;;;;;;;;;;;;;;;;;91;72;70;64;65;64;63;66;71;64;60;57;65;68;67;70;73;74;86;92;85;96;;;
Fatma Zehra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;83;83;79;78;88;;;
Fatmanur;;;;;;;;;;;;;;;;;;;;;;;;90;83;82;84;79;73;70;66;71;72;72;71;74;71;78;82;93;93;;;
Feride;52;85;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feyza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;73;84;82;;;;
Fikriye;48;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filiz;;;13;11;11;12;16;18;19;29;35;38;51;58;65;68;68;86;98;97;;;;;;;;;;;;;;;;;;;;;;;;
Funda;;;;;;;98;88;65;84;90;94;98;90;99;98;96;;;100;;;;;;;;;;;;;;;;;;;;;;;;
Gamze;;;;;;;;91;73;31;29;31;15;16;12;14;14;13;12;12;11;11;13;14;18;23;27;30;33;47;53;50;45;52;64;75;97;;;;;;;
