Doğum tarihine göre en çok kullanımda olan erkek isimleri ve ilk 100 isim içindeki sıralaması, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The most used men names by the year of birth and order in the first hundred names, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ad-Name;Doğum yılı-Year of birth;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;;;
;1950;1960;1970;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Abdulkadir;91;;;;;;;;;99;93;;92;94;86;90;86;69;58;52;51;50;49;43;47;49;48;48;44;43;51;55;59;64;65;67;75;73;77;82;84;100;;
Abdullah;15;17;16;20;20;21;19;19;20;21;22;23;25;24;25;21;22;21;21;20;22;23;23;23;23;25;22;26;26;26;27;28;29;30;32;32;28;29;30;35;40;43;46;48
Abdulsamet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;67;71;78;88;;;;;;;;;;;
Abdurrahman;45;56;71;85;85;84;87;92;93;90;91;95;99;;;;95;99;98;90;93;;;;;;;96;;98;;;;;;;;;;;;;;
Adem;40;28;20;15;15;16;17;17;19;19;21;22;26;27;30;29;32;36;38;37;39;44;45;44;48;51;54;55;53;50;57;60;70;75;77;78;83;80;84;86;73;68;72;66
Adil;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adnan;;29;56;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahmet;3;3;3;4;4;4;4;4;4;3;3;4;4;3;3;3;3;4;4;3;3;3;3;3;4;4;5;5;6;6;5;5;5;4;7;5;4;5;8;7;7;8;10;12
Ahmet Efe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;95;;;;;;;;;
Ali;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;6;7;6;5;7;8;7;8;8;7;7;8;10;10;10;12;11;12;11;11;10;12;12;14;14;12;11;11
Ali Asaf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;7;14;10
Ali Eymen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;;
Ali Osman;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alihan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;
Alparslan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;37;30;18;8
Alper;;;;96;;85;86;87;92;93;96;;;;;;;;;;98;90;87;90;79;68;63;67;76;94;98;79;75;81;93;;96;;;;93;;;
Alperen;;;;;;;;;;;;;;;;;;;;;82;60;57;52;58;52;46;49;50;44;46;43;20;24;26;34;36;39;35;37;31;24;22;26
Anıl;;;;;;;;;;;;;;82;49;75;85;75;93;81;77;85;96;;;;;;;;;;;;;96;;;;;;;;
Aras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;72;61;60;47;34;26;23;20;17
Arda;;;;;;;;;;;;;;;;;;;;;;;;;93;81;64;38;5;1;2;2;2;6;14;26;31;32;37;42;55;73;86;74
Arif;37;43;52;74;79;81;77;78;78;81;86;89;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asaf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;79;78
Atakan;;;;;;;;;;;;;;;;;;;;;;98;78;93;;;;;;;;;;;;;;;;;;;;
Atlas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;70
Ayaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;95;;87;58;13;7;17;20;18;23;16
Aybars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;41
Aydın;;63;35;51;48;57;60;62;66;63;66;79;89;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayhan;;50;18;34;41;49;53;57;65;67;75;78;84;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aykut;;;;;;;;;;;;86;34;44;62;50;49;72;78;94;;;;;;;;;;;;;;;;;;;;;;;;
Azad;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;;;;
Azat;;;;;;;;;;;;;;;;;;;;;;;;;;;87;98;;;;;;;;;;;;;;;;
Aziz;73;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baran;;;;;;;;;;;;;;;;;;;;;;;;79;74;73;49;35;16;25;32;31;28;31;37;42;42;36;41;54;61;63;74;85
Barış;;;;47;55;62;64;64;62;56;54;56;59;51;21;45;42;38;39;41;46;42;27;38;36;31;24;36;38;46;43;45;44;58;79;86;70;94;71;72;72;71;75;83
Batuhan;;;;;;;;;;;;;;;;;;98;53;45;32;24;16;17;20;21;23;29;33;35;39;33;30;33;35;40;62;79;86;80;79;83;80;63
Bayram;31;27;31;45;42;44;44;47;47;47;50;48;53;55;58;57;59;53;56;59;62;70;67;65;78;89;98;;;;;;;;;;;;;;;;;
Bedirhan;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;84;82;48;34;38;50;59;74;59;74;82;98;;;;
Bekir;24;35;40;65;67;70;68;75;74;70;76;76;83;92;;98;99;95;100;;99;;;;;;;;;;;;;;;;;;;;;;;
Berat;;;;;;;;;;;;;;;;;;;;;;96;68;61;54;47;37;23;20;20;11;10;8;7;3;1;2;2;5;6;9;17;24;29
Berk;;;;;;;;;;;;;;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;
Berkay;;;;;;;;;;;;;;;;;;;;77;53;35;38;39;38;40;33;39;48;47;50;48;48;43;39;46;54;66;89;100;;;;
Berke;;;;;;;;;;;;;;;;;;;;;;;;;;83;85;77;;;;;;;;;;;;;;;;
Bilal;84;74;70;68;68;66;67;63;61;62;60;58;57;58;64;58;53;50;54;61;58;54;54;55;63;64;70;64;56;55;60;57;46;54;49;51;40;40;46;50;62;75;84;95
Birol;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;;;
Buğra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;80
Bulut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;
Burak;;;;;;;;80;54;37;34;24;20;19;18;15;13;5;5;7;12;14;11;12;16;18;18;19;21;19;16;16;21;26;27;29;26;31;34;39;43;48;37;40
Burhan;;85;92;;96;89;91;94;85;78;78;77;76;89;95;94;97;91;90;98;;;;;;;;;;;;;;;;;;;;;;;;
Bülent;;97;33;54;73;87;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bünyamin;;;;;;;;;;;;;;;;;;;;;;;;97;;79;88;86;91;96;;;91;55;47;43;47;53;44;43;42;45;49;52
Cafer;76;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Can;;;;;;;;;;;;;;;;;;;;;;53;69;82;86;91;78;80;82;86;93;;;;;;;95;100;96;;91;58;59
Caner;;;;;;;80;100;;;;;95;88;83;86;89;90;97;100;;100;100;;91;;77;18;47;70;92;92;98;;;;;;;;;;;
Celal;21;39;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cem;;;;95;;;;;;;;;;81;91;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cemal;26;19;42;89;91;95;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cemil;48;59;86;83;97;93;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cengiz;;67;27;50;53;61;63;71;75;84;84;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cevdet;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cihan;;;;;84;67;61;53;52;51;47;45;49;59;59;66;67;68;81;85;94;;95;;;99;82;92;;;;;;;;;;;;;;;;
Cihangir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;
Cuma;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Çetin;;;65;98;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Çınar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;15;10;12;14;15;15;15;16;19;19
Demir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;64
Deniz;;;;76;;;96;86;91;91;97;83;81;87;;100;98;;;95;92;77;85;83;98;85;84;78;63;62;54;47;42;48;52;49;46;44;36;33;30;28;30;31
Devran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;92;;;;;
Diyar;;;;;;;;;;;;;;;;;;;;;;;;;84;82;90;76;75;90;;;;;;;;;;;;;;
Doğan;;;;;;;;;;;92;90;82;93;96;92;90;88;80;75;75;72;81;77;80;86;;;;;;;;;;;;;;;;;;
Doğukan;;;;;;;;;;;;;;;;;;;;;80;59;25;27;39;45;55;70;80;93;;;;;;;;;;;;;;
