num,Name,Year
7,Grace,2006
450,Grace,2006
9,Grace,2007
473,Grace,2007
7,Grace,2008
566,Grace,2008
5,Grace,2009
528,Grace,2009
7,Grace,2010
489,Grace,2010
4,Grace,2011
503,Grace,2011
4,Grace,2012
461,Grace,2012
9,Grace,2013
395,Grace,2013
4,Grace,2014
408,Grace,2014
8,Grace,2015
367,Grace,2015
2,Grace,2016
452,Grace,2016
3,Grace,2017
371,Grace,2017
3,Sarah,1998
537,Sarah,1998
3,Sarah,1999
595,Sarah,1999
2,Sarah,2000
626,Sarah,2000
1,Sarah,2001
650,Sarah,2001
1,Sarah,2002
655,Sarah,2002
2,Sarah,2003
606,Sarah,2003
3,Sarah,2004
561,Sarah,2004
2,Sarah,2005
642,Sarah,2005
1,Sarah,2006
698,Sarah,2006
1,Sarah,2007
656,Sarah,2007
3,Sarah,2008
651,Sarah,2008
4,Sarah,2009
568,Sarah,2009
5,Sarah,2010
537,Sarah,2010
6,Sarah,2011
466,Sarah,2011
10,Sarah,2012
430,Sarah,2012
10,Sarah,2013
391,Sarah,2013
12,Sarah,2014
343,Sarah,2014
14,Sarah,2015
297,Sarah,2015
16,Sarah,2016
290,Sarah,2016
19,Sarah,2017
244,Sarah,2017
236,Mia,1998
10,Mia,1998
162,Mia,1999
22,Mia,1999
104,Mia,2000
41,Mia,2000
72,Mia,2001
73,Mia,2001
47,Mia,2002
119,Mia,2002
44,Mia,2003
131,Mia,2003
39,Mia,2004
163,Mia,2004
33,Mia,2005
192,Mia,2005
25,Mia,2006
235,Mia,2006
24,Mia,2007
275,Mia,2007
23,Mia,2008
299,Mia,2008
14,Mia,2009
362,Mia,2009
20,Mia,2010
344,Mia,2010
12,Mia,2011
400,Mia,2011
6,Mia,2012
446,Mia,2012
11,Mia,2013
374,Mia,2013
8,Mia,2014
370,Mia,2014
10,Mia,2015
360,Mia,2015
8,Mia,2016
357,Mia,2016
8,Mia,2017
325,Mia,2017
33,Anna,1998
133,Anna,1998
28,Anna,1999
171,Anna,1999
28,Anna,2000
193,Anna,2000
26,Anna,2001
232,Anna,2001
21,Anna,2002
247,Anna,2002
22,Anna,2003
265,Anna,2003
26,Anna,2004
245,Anna,2004
21,Anna,2005
290,Anna,2005
21,Anna,2006
320,Anna,2006
20,Anna,2007
316,Anna,2007
20,Anna,2008
342,Anna,2008
16,Anna,2009
357,Anna,2009
13,Anna,2010
378,Anna,2010
18,Anna,2011
348,Anna,2011
22,Anna,2012
296,Anna,2012
12,Anna,2013
352,Anna,2013
16,Anna,2014
314,Anna,2014
14,Anna,2015
297,Anna,2015
17,Anna,2016
288,Anna,2016
12,Anna,2017
293,Anna,2017
1,Chloe,1998
575,Chloe,1998
1,Chloe,1999
615,Chloe,1999
5,Chloe,2000
553,Chloe,2000
4,Chloe,2001
556,Chloe,2001
