"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Sarah","3","3","2","1","1","2","3","2","1","1","3","4","5","6","10","10","12","14","16","19","21","32"
"Emma","5","6","4","3","4","1","1","1","2","2","4","3","3","3","3","2","3","2","7","2","3","12"
"Ella","94","76","65","48","28","14","11","10","8","3","12","18","11","11","7","4","6","6","11","14","6","9"
"Katie","13","13","12","9","7","5","2","3","3","4","2","6","8","10","14","18","17","22","21","28","30","27"
"Sophie","17","18","17","16","9","6","7","7","5","5","6","1","1","2","2","3","2","4","5","5","4","4"
"Ava","88","60","44","41","26","24","18","18","6","6","1","2","6","8","8","7","5","3","3","9","9","7"
"Aoife","4","2","1","2","2","3","5","5","4","7","8","9","10","13","11","6","10","13","15","17","17","16"
"Emily","25","14","19","18","19","20","13","11","11","8","5","7","2","1","1","1","1","1","1","1","1","1"
"Grace","32","30","32","27","29","23","20","14","7","9","7","5","7","4","4","9","4","8","2","3","2","2"
"Kate","22","19","18","22","18","17","14","22","23","10","10","13","19","15","18","15","18","17","14","16","17","24"
"Amy","12","11","8","8","6","9","4","4","11","11","16","11","14","25","25","26","30","36","45","44","62","63"
"Ciara","2","4","3","5","3","4","6","6","10","12","14","19","17","26","32","29","28","29","39","41","43","49"
"Hannah","18","21","15","15","12","13","16","16","16","13","15","23","22","17","13","14","13","12","9","7","11","5"
"Lucy","46","43","38","35","36","29","22","24","13","14","11","8","4","7","9","8","9","7","3","6","13","11"
"Chloe","1","1","5","4","5","8","8","8","14","15","9","10","9","9","15","13","14","9","17","10","16","15"
"Leah","27","27","14","12","15","10","9","9","9","16","13","15","16","15","24","25","27","34","30","29","36","36"
"Caoimhe","24","22","22","19","20","12","12","17","15","17","16","21","24","14","16","19","25","20","19","23","25","17"
"Niamh","6","5","6","6","8","11","10","13","18","18","18","24","25","30","37","32","34","42","41","47","59","54"
"Rachel","7","7","11","11","13","7","14","12","17","19","27","29","29","39","40","43","53","43","74","86","n/a","96"
"Anna","33","28","28","26","21","22","26","21","21","20","20","16","13","18","22","12","16","14","17","12","12","19"
"Jessica","19","23","21","20","17","19","23","20","20","21","22","27","30","31","29","28","32","38","48","38","41","47"
"Lauren","10","9","8","6","10","15","17","19","21","22","19","12","21","22","23","21","24","19","25","36","35","46"
"Molly","87","63","43","31","33","37","31","25","25","23","25","26","31","33","27","33","29","31","27","32","28","18"
"Mia","236","162","104","72","47","44","39","33","25","24","23","14","20","12","6","11","8","10","8","8","7","10"
"Rebecca","9","8","7","14","14","17","21","15","19","25","31","35","48","40","44","65","74","62","75","65","81","84"
"Saoirse","37","31","30","28","31","36","35","36","29","26","24","25","18","19","17","22","23","18","12","15","20","23"
"Roisin","20","17","23","25","24","27","27","23","27","27","28","27","32","34","31","37","37","25","32","37","n/a","n/a"
"Róisín","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","38","40"
"Lily","214","202","142","91","85","75","59","52","42","28","29","20","14","5","5","17","11","11","10","13","15","13"
"Abbie","133","79","67","64","51","33","30","27","31","29","33","44","44","43","38","46","49","69","65","77","88","77"
"Megan","8","10","10","10","11","16","19","26","32","30","32","33","37","38","53","63","70","65","73","86","88","99"
"Ellie","175","166","127","89","46","38","38","32","30","31","35","36","28","24","28","23","19","24","20","20","7","7"
"Holly","75","46","53","49","35","28","25","29","33","32","26","21","11","23","19","24","21","28","23","27","23","21"
"Laura","11","12","13","13","16","21","24","28","24","32","30","30","38","36","36","39","49","48","54","63","62","84"
"Ruby","192","245","207","168","170","120","121","58","41","34","21","17","23","20","20","16","22","27","32","33","33","28"
"Ellen","26","24","24","24","23","25","28","30","34","35","39","48","47","47","47","55","57","56","64","79","78","86"
"Aisling","21","25","25","23","27","29","29","31","28","36","41","45","41","41","42","51","55","81","77","86","96","94"
"Aine","29","32","27","36","39","32","33","35","37","37","48","47","58","58","54","62","65","61","79","82","n/a","n/a"
"Áine","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","82","92"
"Nicole","16","16","20","21","24","34","40","37","36","38","37","41","40","42","58","66","67","76","n/a","103","n/a","n/a"
"Clodagh","39","38","39","42","45","46","41","42","40","39","44","34","39","44","54","50","44","50","51","49","45","50"
"Erin","65","79","49","47","48","42","51","40","34","40","39","37","36","47","39","36","38","45","38","58","53","39"
"Eva","66","60","58","44","50","55","47","49","44","41","38","38","44","52","45","42","43","39","37","39","40","38"
"Olivia","83","41","51","61","71","72","69","58","55","42","41","39","27","28","30","27","20","14","13","11","14","14"
"Isabelle","163","177","127","104","77","100","76","62","50","43","41","32","26","27","26","31","26","26","28","26","26","33"
"Caitlin","54","41","40","34","38","31","34","34","46","44","46","53","75","65","64","73","91","97","n/a","154","n/a","n/a"
"Abigail","106","93","82","66","68","54","42","45","44","45","36","46","49","53","50","54","55","56","52","62","75","59"
"Tara","39","29","35","32","32","40","36","39","38","46","51","51","62","74","90","84","93","99","n/a","126","96","96"
"Katelyn","127","82","46","52","52","35","37","41","43","47","56","57","68","78","91","86","n/a","n/a","n/a","219","n/a","n/a"
"Amelia","236","270","265","299","210","163","99","91","74","48","45","39","34","32","12","5","7","5","5","3","5","6"
"Julia","142","153","171","148","154","139","152","97","71","49","34","31","35","35","34","34","40","50","49","46","46","59"
"Shauna","14","15","16","17","22","26","32","38","39","50","70","79","86","92","111","124","n/a","n/a","n/a","249","n/a","n/a"
"Eimear","29","35","33","40","43","46","43","44","48","51","57","73","77","84","80","116","n/a","94","n/a","105","n/a","n/a"
"Sophia","138","108","111","126","108","100","71","85","69","51","55","50","33","29","21","20","15","21","22","18","22","19"
"Kayla","270","153","163","187","115","106","88","67","59","53","48","43","41","21","33","45","46","68","70","70","79","89"
"Zoe","60","66","42","42","43","41","45","43","47","54","47","42","46","37","34","30","32","30","26","31","32","41"
"Kayleigh","48","55","73","74","68","63","71","58","58","55","65","86","89","97","85","100","n/a","n/a","n/a","115","n/a","n/a"
"Robyn","69","62","60","51","63","49","50","50","62","56","52","52","43","46","41","35","31","23","29","25","24","26"
"Mary","34","37","37","37","41","45","44","48","52","57","60","61","59","69","71","81","77","74","84","91","58","92"
"Maria","73","71","63","58","53","56","55","58","66","58","49","54","53","54","70","63","69","54","55","55","61","63"
"Aoibhe","304","188","258","166","131","94","74","64","55","59","55","62","79","87","78","98","n/a","n/a","n/a","122","n/a","n/a"
"Orla","31","36","34","38","40","53","52","53","52","59","72","67","83","74","82","116","n/a","n/a","95","152","n/a","n/a"
"Alannah","81","79","53","52","55","49","53","51","54","61","54","58","66","62","67","61","65","77","69","57","53","66"
"Eabha","236","221","152","160","99","74","62","54","60","62","53","56","56","64","62","52","60","52","45","50","n/a","n/a"
"Éabha","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","48","29"
"Elizabeth","59","57","57","60","62","51","64","69","63","63","78","64","60","67","71","69","72","60","65","60","91","82"
"Aimee","88","68","107","74","66","48","47","46","51","64","66","49","55","74","75","84","n/a","n/a","n/a","172","n/a","n/a"
"Sinead","23","26","29","33","30","38","47","47","61","65","73","82","97","94","136","131","n/a","n/a","n/a","178","n/a","n/a"
"Isabel","146","146","132","129","94","115","67","75","68","66","58","62","62","71","82","75","87","n/a","95","111","99","89"
