num,Name,Year,Statistic
4,Conor,2002,Rank of Name in Ireland  (Number)
748,Conor,2002,Registered Births in Ireland (Number)
4,Conor,2003,Rank of Name in Ireland  (Number)
705,Conor,2003,Registered Births in Ireland (Number)
3,Conor,2004,Rank of Name in Ireland  (Number)
736,Conor,2004,Registered Births in Ireland (Number)
4,Conor,2005,Rank of Name in Ireland  (Number)
705,Conor,2005,Registered Births in Ireland (Number)
3,Conor,2006,Rank of Name in Ireland  (Number)
731,Conor,2006,Registered Births in Ireland (Number)
3,Conor,2007,Rank of Name in Ireland  (Number)
821,Conor,2007,Registered Births in Ireland (Number)
3,Conor,2008,Rank of Name in Ireland  (Number)
857,Conor,2008,Registered Births in Ireland (Number)
4,Conor,2009,Rank of Name in Ireland  (Number)
775,Conor,2009,Registered Births in Ireland (Number)
5,Conor,2010,Rank of Name in Ireland  (Number)
714,Conor,2010,Registered Births in Ireland (Number)
5,Conor,2011,Rank of Name in Ireland  (Number)
709,Conor,2011,Registered Births in Ireland (Number)
5,Conor,2012,Rank of Name in Ireland  (Number)
639,Conor,2012,Registered Births in Ireland (Number)
4,Conor,2013,Rank of Name in Ireland  (Number)
610,Conor,2013,Registered Births in Ireland (Number)
4,Conor,2014,Rank of Name in Ireland  (Number)
581,Conor,2014,Registered Births in Ireland (Number)
4,Conor,2015,Rank of Name in Ireland  (Number)
558,Conor,2015,Registered Births in Ireland (Number)
3,Conor,2016,Rank of Name in Ireland  (Number)
558,Conor,2016,Registered Births in Ireland (Number)
4,Conor,2017,Rank of Name in Ireland  (Number)
472,Conor,2017,Registered Births in Ireland (Number)
2,Sean,1998,Rank of Name in Ireland  (Number)
662,Sean,1998,Registered Births in Ireland (Number)
2,Sean,1999,Rank of Name in Ireland  (Number)
760,Sean,1999,Registered Births in Ireland (Number)
2,Sean,2000,Rank of Name in Ireland  (Number)
816,Sean,2000,Registered Births in Ireland (Number)
2,Sean,2001,Rank of Name in Ireland  (Number)
867,Sean,2001,Registered Births in Ireland (Number)
2,Sean,2002,Rank of Name in Ireland  (Number)
866,Sean,2002,Registered Births in Ireland (Number)
1,Sean,2003,Rank of Name in Ireland  (Number)
897,Sean,2003,Registered Births in Ireland (Number)
1,Sean,2004,Rank of Name in Ireland  (Number)
928,Sean,2004,Registered Births in Ireland (Number)
2,Sean,2005,Rank of Name in Ireland  (Number)
893,Sean,2005,Registered Births in Ireland (Number)
1,Sean,2006,Rank of Name in Ireland  (Number)
994,Sean,2006,Registered Births in Ireland (Number)
2,Sean,2007,Rank of Name in Ireland  (Number)
965,Sean,2007,Registered Births in Ireland (Number)
2,Sean,2008,Rank of Name in Ireland  (Number)
970,Sean,2008,Registered Births in Ireland (Number)
2,Sean,2009,Rank of Name in Ireland  (Number)
927,Sean,2009,Registered Births in Ireland (Number)
2,Sean,2010,Rank of Name in Ireland  (Number)
812,Sean,2010,Registered Births in Ireland (Number)
3,Sean,2011,Rank of Name in Ireland  (Number)
755,Sean,2011,Registered Births in Ireland (Number)
4,Sean,2012,Rank of Name in Ireland  (Number)
677,Sean,2012,Registered Births in Ireland (Number)
5,Sean,2013,Rank of Name in Ireland  (Number)
609,Sean,2013,Registered Births in Ireland (Number)
5,Sean,2014,Rank of Name in Ireland  (Number)
526,Sean,2014,Registered Births in Ireland (Number)
5,Sean,2015,Rank of Name in Ireland  (Number)
530,Sean,2015,Registered Births in Ireland (Number)
5,Sean,2016,Rank of Name in Ireland  (Number)
501,Sean,2016,Registered Births in Ireland (Number)
5,Sean,2017,Rank of Name in Ireland  (Number)
453,Sean,2017,Registered Births in Ireland (Number)
5,Adam,1998,Rank of Name in Ireland  (Number)
460,Adam,1998,Registered Births in Ireland (Number)
5,Adam,1999,Rank of Name in Ireland  (Number)
588,Adam,1999,Registered Births in Ireland (Number)
4,Adam,2000,Rank of Name in Ireland  (Number)
653,Adam,2000,Registered Births in Ireland (Number)
3,Adam,2001,Rank of Name in Ireland  (Number)
833,Adam,2001,Registered Births in Ireland (Number)
3,Adam,2002,Rank of Name in Ireland  (Number)
798,Adam,2002,Registered Births in Ireland (Number)
