Nombre,Total
SOFIA,2401
EMMA,2352
ISABELLA,2156
EMILIA,2047
MIA,1923
AGUSTINA,1820
JULIETA,1723
TRINIDAD,1722
ISIDORA,1698
JOSEFA,1687
FLORENCIA,1425
MARTINA,1304
MARIA,1283
MAITE,1158
ANTONELLA,1157
EMILY,1075
AMANDA,1062
VALENTINA,1017
ANTONIA,937
CATALINA,894
AMELIA,833
RENATA,815
DOMINGA,793
LUCIANA,748
VICTORIA,736
AMPARO,733
SAMANTHA,728
IGNACIA,679
LEONOR,677
LIA,676
AMALIA,670
AURORA,623
FERNANDA,571
LAURA,456
RAFAELA,452
COLOMBA,447
ELENA,444
JAVIERA,443
PASCAL,434
CELESTE,417
LUCIA,402
JOSEFINA,388
MATILDA,375
OLIVIA,356
AMBAR,355
ALICE,354
FRANCISCA,352
VIOLETA,349
MAGDALENA,347
CAMILA,343
MONSERRAT,337
MATILDE,330
ZOE,327
SOPHIA,322
EMA,316
CONSTANZA,312
SARA,290
LUNA,286
ELOISA,284
ALMA,282
ELIZABETH,277
PIA,260
RAFAELLA,260
BELÉN,257
ABIGAIL,257
ANAIS,240
MARIANA,239
ALONDRA,223
AYLEN,223
PASCUALA,215
AMY,215
ANA,214
HELENA,210
FIORELLA,209
ISABEL,208
ELISA,207
GABRIELA,202
EIMY,202
ALICIA,196
JACINTA,196
AYLIN,191
ROCÍO,189
CLARA,188
BIANCA,187
CATALEYA,186
PAZ,186
AGATHA,181
MILA,176
DOMINIQUE,174
AMAIA,174
RAYEN,173
NOEMÍ,171
AINHOA,169
CHLOE,169
DANIELA,167
DANNA,167
PAULA,166
MAYTE,166
LUZ,164
MONTSERRAT,164
LEAH,164
NOELIA,162
DIANA,162
PASCALE,159
MILLARAY,157
ASHLEY,155
MAILEN,153
AMARAL,152
CHARLOTTE,143
ANGELA,139
AYLEEN,130
JULIETTA,129
ALISON,128
DANAE,124
AMARA,122
GENESIS,119
MIRANDA,115
VALERIA,115
ASTRID,114
ALISSON,114
ALEXANDRA,110
ANELEY,109
MAYLEN,109
ALAIA,105
SAMARA,104
REBECA,100
ARANZA,99
DENISSE,99
NAOMÍ,97
ALMENDRA,97
ROSARIO,96
SIMONA,94
EVA,90
JAZMIN,90
ELUNEY,89
MAYRA,88
SOPHIE,88
ESPERANZA,88
ANASTASIA,87
ALEJANDRA,87
AMELIE,87
SARAH,86
BÁRBARA,85
SAMANTA,83
BLANCA,82
ALLISON,82
AMAYA,81
LETICIA,81
SARAY,80
SAYEN,79
DAFNE,79
JULIETTE,79
ALANA,78
AMIRA,78
MELEK,77
MICHELLE,77
CONSUELO,77
LIZ,76
MARINA,76
CARLA,75
GRACIA,75
CAROLINA,74
ROMINA,73
ABBY,71
LIAH,71
KIARA,71
SARAI,70
PAULINA,70
XIOMARA,70
