,,,,,,,,,,,,,,,,,,,,,,,
Pojkars tilltalsnamn 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Boys' first names 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Tabellen visar i alfabetisk ordning alla tilltalsnamn som getts till minst 10 pojkar under något av åren.,,,,,,,,,,,,,,,,,,,,,,,
Varje stavning redovisas som ett eget namn.  - = färre än 10.,,,,,,,,,,,,,,,,,,,,,,,
The table includes an alphabetical list of all 'usual' given names assigned to more than ten boys for at least part of the period.,,,,,,,,,,,,,,,,,,,,,,,
Every spelling variation is counted as a name in its own right. The symbol '-' indicates that fewer than 10 boys were given the name.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Namn / Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aleks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Aleksandar,17,16,13,10,11,14,10,-,-,12,-,10,-,-,-,15,14,14,10,12,13,-,13
Aleksander,10,-,-,-,-,10,-,10,-,10,14,12,13,17,11,19,13,15,13,26,18,32,24
Alen,11,10,-,-,14,12,-,10,14,-,-,10,-,-,-,-,-,-,-,-,-,-,-
Alessandro,-,11,-,-,-,-,10,-,12,10,-,-,-,13,10,-,16,-,10,-,-,-,-
Alessio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,15,13,19
Alex,211,208,190,210,233,215,210,202,224,231,263,220,232,168,182,149,180,150,125,115,101,97,93
Alexander,1066,1009,995,936,1065,1015,962,941,896,767,838,821,866,717,738,669,612,575,651,673,598,527,493
Alexandros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,10,11,-,-
Alexis,-,-,-,-,-,-,-,-,10,-,10,-,-,10,15,24,16,31,33,29,26,12,17
Alf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13,13,19,22,22
Alfons,24,30,45,51,63,62,95,99,100,107,114,104,103,99,85,86,66,69,75,65,54,65,80
Alfred,129,135,145,161,258,269,268,299,303,319,362,420,478,431,495,473,547,456,541,496,501,509,555
Algot,-,14,22,16,36,46,56,64,65,82,107,113,121,124,115,125,126,165,124,123,130,145,168
Ali,99,79,87,111,97,123,103,100,112,118,128,128,144,144,152,143,147,151,175,179,150,173,135
Allan,13,16,11,14,16,17,19,17,32,25,29,37,37,32,47,32,54,52,52,82,70,65,53
Almin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-
Almir,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Altin,-,-,-,-,-,10,-,10,-,-,12,12,-,-,-,-,-,11,-,-,-,-,-
Alvar,-,-,10,-,11,-,24,40,62,65,74,70,96,96,93,110,103,105,122,116,118,127,148
Alve,-,-,-,-,11,14,17,24,38,31,29,46,62,70,84,77,109,95,97,98,125,132,143
Alvin,35,18,40,62,84,156,250,253,348,364,413,464,445,373,335,291,271,272,219,187,182,183,183
Alwin,-,-,-,-,-,-,17,26,34,45,54,54,43,42,40,51,50,50,32,34,36,42,28
Amadeus,13,21,15,31,24,24,31,28,27,30,30,30,35,15,38,51,47,50,52,54,46,39,45
Amandus,-,-,-,-,-,-,-,-,-,10,-,-,-,-,17,21,15,10,15,10,13,-,-
Amar,-,-,12,14,-,13,12,13,15,-,10,23,16,16,14,14,11,26,16,16,16,12,17
Amel,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-
Amer,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amin,17,-,16,12,-,23,11,23,22,12,33,22,23,26,25,24,29,25,22,32,25,28,24
Amir,32,26,27,26,26,29,31,37,26,45,46,46,64,66,70,81,84,94,101,128,145,140,158
Ammar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,15,16,-,10,12
Amos,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,10,10,-,-,-,-,-,10
Anakin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
Anas,-,-,-,-,-,11,-,-,10,23,23,34,42,39,26,67,47,42,39,51,46,42,60
Anders,67,53,45,38,34,35,37,28,23,14,25,11,13,-,12,16,11,-,-,-,-,11,13
Andi,-,-,-,-,-,-,11,-,10,-,-,-,-,-,15,14,-,13,-,-,-,-,-
André,169,130,120,119,115,112,94,102,102,60,55,43,44,43,32,39,32,21,17,12,20,17,21
Andreas,543,481,370,317,298,228,204,173,116,102,62,56,58,50,44,44,40,30,27,24,19,34,25
Andréas,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrej,-,-,-,-,-,-,-,-,-,12,11,-,-,11,10,-,11,-,-,13,10,14,-
Andrew,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andy,15,-,11,15,17,14,16,17,13,16,15,14,15,-,13,10,-,-,-,-,-,-,10
Anes,-,-,-,-,-,-,-,16,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Angelo,-,-,-,-,15,15,27,27,28,25,26,24,25,29,33,31,27,29,20,30,25,20,17
Ante,-,-,-,-,-,-,12,13,11,10,17,-,-,11,11,-,-,-,-,-,-,-,10
Anthon,18,15,20,15,22,10,14,15,14,14,10,-,10,-,10,-,11,10,-,-,-,-,-
Anthony,20,18,20,35,34,21,16,25,25,18,29,28,29,21,21,17,28,30,24,28,20,25,19
Anton,1067,1091,1062,991,973,991,914,840,887,809,694,654,616,648,602,570,450,425,292,237,213,212,192
Antoni,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,12,12,15,11,15,19,16
Antonio,36,31,43,41,42,43,43,43,39,41,36,31,33,28,28,22,32,22,24,19,21,15,14
Anwar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,12,-,-,-
Aous,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-
Aram,-,-,-,-,-,-,-,-,-,-,-,10,10,-,13,12,11,17,17,14,28,28,28
Aran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,11,-,-,-
Aras,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,10,-,15,14,15,16,-,21
Arda,-,-,-,-,-,-,-,-,28,30,15,26,17,11,12,-,-,12,13,-,-,-,-
Arham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,22
Ari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,11,13,17
Arian,18,13,18,-,13,22,20,17,13,10,17,23,18,19,22,22,14,21,35,29,39,40,39
Arild,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-
Arin,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-
Arion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
Arman,-,16,-,11,-,10,17,10,10,12,14,17,16,14,17,10,21,13,15,14,19,14,18
Armin,20,10,19,12,27,21,24,14,20,11,18,18,16,-,16,17,18,13,12,28,-,22,15
Arne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-
Arnold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,22,20,26
Aron,37,43,61,49,70,71,76,87,87,114,98,108,91,106,108,126,121,118,133,126,147,161,195
Arthur,-,-,-,13,14,15,-,13,12,20,19,29,34,45,46,53,47,65,56,58,67,102,98
Artin,-,10,-,-,-,-,13,-,-,11,10,14,11,-,16,10,-,11,13,10,11,-,11
Artur,-,-,-,-,-,-,-,-,11,12,17,10,10,13,14,21,30,19,-,15,22,30,20
Arve,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,15,-,-
Arvid,213,203,231,286,326,411,413,442,475,485,500,544,589,563,531,565,540,523,495,445,454,472,476
Arwid,-,-,-,-,-,-,-,-,10,13,-,-,-,-,10,10,11,11,11,-,-,-,-
Arvin,14,-,11,11,10,-,15,21,14,14,21,22,26,13,20,18,26,19,35,39,34,29,42
Aryan,-,-,-,-,-,-,-,-,-,-,12,-,12,10,-,14,11,18,21,14,-,13,10
Ask,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
Aslan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Assar,-,-,-,-,-,-,-,-,17,10,22,20,26,14,23,19,22,30,29,29,30,33,24
Aston,-,-,-,-,-,-,-,15,19,25,29,57,51,51,78,84,93,97,119,105,111,99,102
Astor,-,-,-,-,-,-,-,-,-,10,-,14,13,16,10,13,16,12,13,21,18,12,12
Atlas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,11,12,11,23,28,33
Atle,-,-,-,-,11,-,13,10,-,17,12,16,-,20,14,18,18,-,19,17,17,16,16
August,84,87,105,104,133,130,108,116,110,108,139,153,166,180,222,240,261,304,317,377,387,391,476
Axel,495,562,538,581,610,685,754,745,741,691,676,705,675,670,624,658,572,609,534,507,522,436,400
Ayaan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-
Ayan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,13,24,25
Ayaz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,11,12,10,15
Aydin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Ayman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,12,26,18,26,27,51,35,31
