,,,,,,,,,,,,,,,,,,,,,,,
Flickors tilltalsnamn 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Girls' first names 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Tabellen visar i alfabetisk ordning alla tilltalsnamn som getts till minst 10 flickor under något av åren.,,,,,,,,,,,,,,,,,,,,,,,
Varje stavning redovisas som ett eget namn.  - = färre än 10.,,,,,,,,,,,,,,,,,,,,,,,
The table includes an alphabetical list of all 'usual' given names assigned to more than ten girls for at least part of the period.,,,,,,,,,,,,,,,,,,,,,,,
Every spelling variation is counted as a name in its own right. The symbol '-' indicates that fewer than 10 girls were given the name.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Namn / Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aaliyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,14,-,14,10,26,21,26,15
Abigail,-,-,-,-,-,-,-,-,-,-,10,-,13,15,18,13,17,20,21,27,26,33,15
Ada,-,-,-,14,-,12,12,14,14,12,14,21,25,22,23,24,29,28,38,41,47,55,60
Adea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-
Adela,-,-,10,-,-,12,-,-,12,13,-,-,13,-,15,10,-,17,11,13,-,-,12
Adele,-,-,-,-,-,-,-,-,-,-,10,-,-,14,44,54,89,92,124,103,68,75,64
Adéle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-
Adèle,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,-,-,-,-,-
Adelia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,15,14,12,25,15,10,16
Adelina,12,-,-,10,10,-,-,-,-,-,-,10,-,13,12,-,20,15,23,15,12,12,14
Adeline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,18,17,19,22,31,16
Adelle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,17,25,21,-,-,-,11
Adina,22,26,18,29,22,15,25,23,24,27,12,23,15,-,19,10,12,14,15,-,-,10,16
Adna,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,12,14,19,-,-,17,-,15
Adriana,-,-,-,-,12,-,-,12,-,15,19,23,20,19,23,29,29,28,32,26,28,22,27
Afnan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-
Agnes,222,256,271,362,397,441,472,476,921,618,580,575,586,570,570,581,668,549,567,541,528,555,510
Ahlam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,10,10,-,11,-
Aicha,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
Aida,15,20,16,-,10,-,10,14,13,11,12,11,13,14,13,18,12,11,13,20,21,18,27
Aila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,11,18,16
Aili,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-
Aina,-,-,-,-,-,-,16,12,15,13,12,14,10,11,-,12,15,11,15,-,13,-,-
Aisha,14,-,10,12,15,13,28,33,26,26,52,44,43,54,68,80,80,112,82,95,89,89,81
Ajla,15,10,-,-,22,18,28,27,26,26,19,16,19,22,17,27,24,17,23,14,17,17,12
Ajna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-
Alba,-,-,14,14,22,14,17,19,23,15,28,32,25,33,33,33,52,47,67,63,53,115,114
Albina,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
Alde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,11,-,-,11,-,-,-
Alea,-,-,-,-,-,-,-,-,-,-,-,-,13,12,20,18,12,25,20,26,28,34,34
Aleah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-
Aleksandra,10,15,-,10,12,-,-,-,-,10,-,-,10,-,10,-,-,-,-,-,-,-,-
Alessa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-
Alessandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-
Alessia,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,12,14,11,10,21,18,22,22
Alexandra,279,373,298,247,279,190,205,186,159,138,120,118,115,106,96,101,89,71,101,70,70,60,45
Alexia,11,-,-,-,-,11,-,11,-,15,15,23,24,25,32,42,36,42,41,31,48,40,33
Alexis,-,-,-,-,-,-,-,-,-,-,-,-,16,12,-,-,11,11,10,-,-,-,-
Alexsandra,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aleyna,-,-,-,-,-,-,-,-,12,-,15,-,-,-,-,-,-,-,-,-,-,-,-
Alia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,10,-,10,12,-,13,17,12
Alice,389,375,455,443,514,664,755,886,799,779,747,953,844,966,919,879,778,828,893,871,751,670,773
Alicia,235,180,189,211,258,320,339,360,367,358,433,437,435,404,512,602,518,466,608,647,513,467,493
Alicja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,11,13,10,-
Alida,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
Alin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,16,13,11,10,12,10
Alina,21,22,18,22,29,34,58,42,46,34,46,53,58,58,57,82,90,96,95,95,100,105,97
Aline,-,-,-,-,-,-,-,-,-,-,10,15,11,-,-,11,17,20,22,19,20,21,20
Alisa,-,-,-,-,-,-,10,14,14,18,13,14,24,20,26,29,29,18,34,17,26,17,24
Alisha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,14,10,-,10,11,-,-
Alissa,-,-,-,-,-,-,10,-,-,13,-,16,17,24,25,27,33,25,45,43,40,37,39
Aliya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,17,15,17,16,31,23,15
Aliyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,16,24,19,10,15,16
Allie,-,-,-,-,-,-,-,-,-,-,-,12,-,12,14,24,19,18,17,15,24,23,18
Allis,-,-,-,-,10,-,18,19,18,24,14,19,16,12,12,13,13,14,-,10,-,11,12
Ally,-,-,-,-,-,-,-,-,-,-,14,12,11,22,17,23,27,27,16,27,33,27,30
Alma,144,218,235,292,339,373,401,423,415,452,441,484,506,458,410,447,532,497,547,532,564,561,576
Almas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
Althea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,-,-,10,12
Alva,290,354,451,546,683,830,833,844,895,753,701,754,699,592,569,590,509,519,489,499,444,468,431
Alwa,-,-,-,-,17,19,11,17,21,27,21,16,12,26,26,17,25,25,19,13,22,28,25
Alvina,-,-,10,-,10,11,11,14,14,19,17,15,18,20,18,12,18,15,23,17,11,16,11
Alya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
Alyssa,-,-,-,-,-,-,-,-,-,-,12,-,11,-,11,11,14,11,-,-,-,-,-
Amal,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,14,13,13,19,21,23,21
Amalia,16,24,14,21,12,19,21,19,14,19,13,14,22,24,12,21,22,18,17,25,26,16,17
Amanda,1037,974,897,853,787,739,702,667,549,598,597,538,474,431,374,353,323,275,215,173,157,122,122
