Dora,225,1954
Monica Liliana,224,1954
Alicia Mabel,224,1954
Maria Elisa,223,1954
Rafael,222,1954
Maria de las Mercedes,222,1954
Carlos Hugo,222,1954
Adriana,222,1954
Marta Noemi,221,1954
Hector Eduardo,221,1954
Silvia Ines,220,1954
Hector Ruben,220,1954
Jose Roberto,220,1954
Fernando,219,1954
Susana Noemi,218,1954
Gregorio,218,1954
María Concepción,217,1954
Alicia Ester,216,1954
Horacio,216,1954
Sara,216,1954
Pedro Antonio,216,1954
Estela Maria,216,1954
Liliana Maria,215,1954
Marta Isabel,215,1954
Raul Antonio,215,1954
Liliana Ester,213,1954
Nélida Ester,212,1954
Maria Dolores,211,1954
Jose Oscar,210,1954
Maria Margarita,210,1954
Juan Pedro,208,1954
Raul Eduardo,207,1954
Rosa Ester,206,1954
Nicolas,206,1954
Jorge Enrique,205,1954
Lidia Ester,204,1954
Eduardo Jose,204,1954
Yolanda,203,1954
Luis Roberto,202,1954
Maria Silvia,202,1954
Roberto Luis,201,1954
Luis Enrique,201,1954
Maria Angela,201,1954
Eduardo Daniel,200,1954
Blanca Rosa,198,1954
Mirta Ester,198,1954
Susana Ester,198,1954
Daniel Oscar,198,1954
Armando,196,1954
Alicia Graciela,196,1954
Hector Ricardo,196,1954
Jorge Osvaldo,196,1954
Graciela Del Carmen,196,1954
Ruben Omar,196,1954
Josefina,195,1954
Miguel Antonio,194,1954
Adolfo,194,1954
Oscar Eduardo,194,1954
Silvia Mabel,193,1954
Hugo Oscar,193,1954
Mirta Alicia,192,1954
Hector Luis,192,1954
Rosa del Carmen,192,1954
Felix,192,1954
Mario Oscar,192,1954
Omar Alberto,192,1954
Juan Luis,189,1954
Alberto Jose,189,1954
Ricardo Antonio,188,1954
Angelica,187,1954
Carlos Jose,187,1954
Graciela Liliana,186,1954
Oscar Antonio,185,1954
Jorge Ruben,185,1954
Marcelino,185,1954
Ester,185,1954
Mario Antonio,185,1954
Carlos Maria,184,1954
Salvador,183,1954
Norma Noemi,183,1954
Marta Ester,183,1954
Carlos Oscar,182,1954
Rosa Isabel,182,1954
Hector Omar,181,1954
Luis Alfredo,180,1954
Susana Alicia,179,1954
Jose Miguel,179,1954
Marcelina,179,1954
Cristina del Valle,179,1954
Olga Ester,178,1954
Matilde,177,1954
Alberto Oscar,177,1954
Graciela Alicia,177,1954
Virginia,177,1954
Manuel Antonio,176,1954
Alberto Daniel,176,1954
Jorge Ricardo,175,1954
Carlos Ramón,175,1954
Paulina,174,1954
Ricardo Jose,174,1954
Petrona,173,1954
Jose Angel,173,1954
Patricia,172,1954
Felipe,171,1954
Graciela Cristina,170,1954
Ana Rosa,170,1954
Elsa Noemi,170,1954
Silvia Ester,170,1954
Adriana Beatriz,170,1954
Ana Beatriz,170,1954
Pedro Pablo,169,1954
Alicia Ines,169,1954
Juan Francisco,169,1954
Ricardo Luis,169,1954
Irene,168,1954
Marta Ofelia,167,1954
Mario Luis,167,1954
Dominga,167,1954
Rosa del Valle,167,1954
Elena Beatriz,167,1954
Gregoria ,167,1954
Alicia Cristina,166,1954
Marina,166,1954
Dora Beatriz,166,1954
Jose Domingo,166,1954
Maria Carmen,165,1954
Jose Enrique,165,1954
Maria Liliana,164,1954
Jorge Ramon,164,1954
Olga Susana,164,1954
Carlos Horacio,164,1954
Ignacio,164,1954
Cristina Beatriz,164,1954
Orlando,163,1954
Maria Laura,163,1954
Ramon Oscar,161,1954
Esteban,161,1954
Martina,160,1954
Hector Jose,160,1954
Miguel Alberto,160,1954
Jose Ricardo,160,1954
Carlos Hector,158,1954
Tomas,158,1954
Alberto Antonio,158,1954
Eduardo Antonio,157,1954
Ramon Angel,157,1954
Teresa del Carmen,157,1954
Maria Marta,157,1954
Hector Osvaldo,157,1954
Omar,156,1954
Santiago,156,1954
Eduardo Oscar,156,1954
Emilio,154,1954
Oscar Roberto,154,1954
Roberto Jose,154,1954
Norma del Valle,154,1954
Jorge Alfredo,154,1954
Maria del Pilar,153,1954
Agustin,153,1954
Mónica Susana,153,1954
Beatriz Susana,153,1954
Nilda Beatriz,153,1954
Hector Ramon,152,1954
Hilda,152,1954
Hector Horacio,152,1954
Maria Delia,152,1954
Norberto,152,1954
Estela,151,1954
Carlos Raul,151,1954
Hilda Beatriz,151,1954
Mercedes Del Carmen,150,1954
Sergio,150,1954
Carlos Ernesto,150,1954
Estela Beatriz,149,1954
Mariano,149,1954
Hector Antonio,149,1954
Amalia,149,1954
Maria Julia,149,1954
Maria Celia,148,1954
Blanca Azucena,148,1954
Alberto Luis,148,1954
Rosalia,148,1954
Elba,147,1954
Susana del Valle,147,1954
Eduardo Luis,146,1954
Hector Mario,146,1954
Graciela Monica,145,1954
Luis Ramon,145,1954
Daniel Horacio,145,1954
Lorenzo,144,1954
Carmen Beatriz,144,1954
Eduardo Ruben,144,1954
Josefa,144,1954
Pedro Alberto,144,1954
Maria Virginia,144,1954
Jorge Roberto,143,1954
Gerardo,143,1954
Nestor Hugo,142,1954
Silvia Maria,142,1954
Humberto,141,1954
Horacio Alberto,141,1954
Elisa,141,1954
Ramòn Eduardo,141,1954
José Francisco,140,1954
Daniel Enrique,140,1954
Angel Alberto,140,1954
Maria Victoria,140,1954
Adriana Maria,139,1954
Mabel Beatriz,139,1954
Liliana Alicia,139,1954
Amelia,139,1954
Monica,138,1954
