Name,count.female
Abdirisaq,0
Abdirizak,0
Abdisalam,0
Abdisalan,0
Abdisamad,0
Abdishakur,0
Abdiwahab,0
Abdiwali,0
Abdo,0
Abdon,0
Abdou,0
Abdoul,0
Abdoulaye,0
Abdoulaziz,0
Abdoulie,0
Abdourahman,0
Abdourahmane,0
Abdrahman,0
Abdrew,0
Abdu,0
Abdual,0
Abduallah,0
Abduel,0
Abdul,0
Abdula,0
Abdulah,0
Abdulahad,0
Abdulahi,0
Abdulai,0
Abdulaye,0
Abdulazeem,0
Abdulazeez,0
Abdulaziz,0
Abdulbari,0
Abdulbasit,0
Abdule,0
Abdulelah,0
Abdulhadi,0
Abdulhakeem,0
Abdulhakim,0
Abdulhalim,0
Abdulhameed,0
Abdulhamid,0
Abduljabbar,0
Abduljaleel,0
Abduljalil,0
Abdulkadir,0
Abdulkareem,0
Abdulkarim,0
Abdull,0
Abdulla,0
Abdullah,0
Abdullahi,0
Abdullatif,0
Abdulloh,0
Abdulmajeed,0
Abdulmajid,0
Abdulmalek,0
Abdulmalik,0
Abdulnasir,0
Abdulqadir,0
Abdulraheem,0
Abdulrahim,0
Abdulrahman,0
Abdulrehman,0
Abdulrhman,0
Abdulsalam,0
Abdulsamad,0
Abdulwadud,0
Abdulwahab,0
Abdulwahid,0
Abdur,0
Abdurahman,0
Abdurraheem,0
Abdurrahim,0
Abdurrahmaan,0
Abdurrahman,0
Abdurrehman,0
Abdussamad,0
Abe,0
Abeal,0
Abed,0
Abedallah,0
Abedalrahman,0
Abednego,0
Abeeha,49
Abeer,470
Abeera,20
Abegail,455
Abegale,5
Abegayle,23
Abel,90
Abela,6
Abelardo,0
Abelina,480
Abelino,0
Abell,5
Abella,342
Abem,0
Aben,0
Abena,507
Abenezer,0
Abeni,345
Aber,5
Aberdeen,55
Aberham,0
Abernathy,21
Abert,0
Abery,7
Abey,17
Abgail,22
Abha,40
Abhay,0
Abheek,0
Abhi,0
Abhigna,17
Abhijay,0
Abhijeet,0
Abhijit,0
Abhijot,0
Abhik,0
Abhilash,0
Abhimanyu,0
Abhinav,0
Abhinay,0
Abhiraj,0
Abhiram,0
Abhirup,0
Abhishek,0
Abi,413
Abia,57
Abiageal,105
Abiah,14
Abian,0
Abianna,5
Abibail,6
Abid,0
Abida,24
Abidan,0
Abie,67
Abiegail,15
Abiel,18
Abiela,15
Abiella,16
Abiezer,0
Abigael,1411
Abigaelle,55
Abigahil,42
Abigai,6
Abigail,296946
Abigaile,517
Abigailgrace,5
Abigaille,21
Abigailmarie,5
Abigal,679
Abigale,4912
Abigayil,21
Abigayl,310
Abigayle,5360
Abigeal,15
Abigel,25
Abigial,143
Abiha,58
Abihail,29
Abijah,34
Abilene,705
Abilgail,28
Abilio,0
Abimael,0
Abimbola,79
Abimelec,0
Abin,0
Abinadab,0
Abinadi,0
Abinav,0
Abinaya,43
Abiodun,0
Abiola,125
Abiona,14
Abir,92
Abira,10
Abiram,0
Abirami,31
Abisag,16
Abisai,0
Abish,17
Abisha,26
Abishai,12
Abishek,0
Abisola,74
Abiud,0
Abiyah,5
Abla,11
Able,0
Abnel,0
Abner,0
Abney,10
Abony,43
Abou,0
Aboubacar,0
Aboubakar,0
Abra,866
Abraam,0
Abraar,0
Abrah,22
Abraham,181
Abrahan,0
Abraheem,0
Abrahem,0
Abrahim,0
Abrahm,0
Abram,0
Abran,0
Abranda,5
Abrar,277
Abraxas,5
Abrea,179
Abreana,39
Abreanna,245
Abree,396
Abreia,6
Abren,0
Abreona,6
Abreonna,10
Abrey,110
Abreya,5
Abrham,0
Abri,108
Abria,741
Abriah,15
Abrial,115
Abriam,0
Abrian,5
Abriana,2061
Abrianna,3273
Abriannah,6
Abrianne,15
Abrie,181
Abriel,543
Abriela,29
Abriele,5
Abriella,691
Abrielle,2364
Abrien,0
Abrienne,10
Abrigail,26
Abril,6099
Abrille,10
Abrina,140
Abrion,0
Abriona,15
Abrionna,49
Abriya,22
Abriyah,6
Abriyana,6
Abrom,0
Abron,0
Abrum,0
Abryana,145
Abryanna,202
Abryelle,25
Abryl,14
Absalom,0
Absalon,0
Abshir,0
Absidy,17
Abtin,0
Abu,0
Abubacar,0
Abubakar,0
Abubakarr,0
Abubakary,0
Abubaker,0
Abubakr,0
Abuk,24
Abukar,0
Abundio,0
Aby,151
Abyade,10
Abyan,28
Abygael,32
Abygail,2041
Abygaile,13
Abygale,272
Abygayle,129
Abyssinia,13
Ac,0
Acacia,3275
Acadia,584
Acari,0
Acasia,115
Accacia,26
Accalia,52
Access,0
Accie,0
Accursio,0
Ace,5
Acea,5
Acein,0
Acel,0
Acelin,19
Acelino,0
Acelyn,246
Acelynn,306
Acen,0
Acencion,0
Aceon,0
Acer,0
Aceson,0
Aceton,0
Acey,5
Aceyn,0
Achai,0
Achaia,62
Achan,5
Achante,35
Achanti,5
Achary,0
Achazia,6
Achel,39
Acheron,0
Achille,0
Achilles,0
Achilleus,0
Achillies,0
Achintya,0
Achol,34
Achraf,0
Achsa,12
Achsah,69
Achyut,0
Achyuth,0
Acia,6
Aciano,0
Acie,34
Acil,0
Acire,58
Ackeem,0
Acob,0
Acquanetta,254
Acquanette,13
Acsa,61
Acura,26
Acxel,0
Acy,5
Ad,0
Ada,89931
Adabel,26
Adabella,73
Adabelle,218
Adacia,5
Adae,0
Adael,0
Adaelyn,6
Adaeze,313
Adah,2901
Adahir,0
Adahli,23
Adahlia,38
Adahy,0
Adai,11
Adaia,45
Adaiah,140
Adaija,34
Adaijah,75
Adain,0
Adair,1125
Adaira,118
Adaire,39
Adairis,5
Adaisha,119
Adaisia,7
Adaja,100
Adajah,72
Adaku,7
Adal,0
Adala,5
Adalae,69
Adalai,51
Adalaide,129
Adalay,65
Adalaya,10
Adalayde,7
Adalbert,0
Adalberto,0
Adale,5
Adalea,29
Adaleah,26
Adalee,964
Adaleen,27
Adaleena,17
Adalei,74
Adaleigh,311
Adaleine,6
Adalen,12
Adalena,178
Adalene,375
Adaley,85
Adalhi,5
Adali,294
Adalia,1156
Adaliah,54
Adalicia,10
Adalid,11
Adalida,32
Adalie,640
Adaliene,5
Adalin,148
Adalina,513
Adalinda,10
Adaline,3386
Adalinn,6
Adalis,148
Adalisa,6
Adalise,24
Adalius,0
Adaliz,196
Adallyn,6
Adaly,318
Adalya,10
Adalye,5
Adalyn,6837
Adalyna,24
Adalyne,174
Adalynn,4284
Adalynne,233
Adalys,21
Adam,2002
Adama,394
Adamae,83
Adamari,1523
Adamarie,99
Adamaris,2544
Adamariz,182
Adamary,561
Adamarys,190
Adamina,12
Adamm,0
Adamma,5
Adammichael,0
Adamo,0
Adams,0
Adan,68
Adana,197
Adaneli,11
Adanelly,28
Adanely,88
Adanna,386
Adannaya,5
Adante,0
Adanya,115
Adaobi,35
Adaora,128
Adar,23
Adara,1416
Adarah,26
Adari,0
Adaria,92
Adarian,0
Adarien,0
Adarion,0
Adarious,0
Adarius,0
Adarrius,0
Adarryl,0
Adarryll,0
Adarsh,0
Adaryl,0
Adaryll,0
Adasha,82
Adashia,20
Adasia,222
Adason,5
Adassa,18
Adasyn,116
Adaugo,36
Adavia,5
Adavion,0
Adaya,479
Adayah,100
Adayla,29
Adaysha,61
Adayshia,19
Adaysia,22
Adbeel,0
Adbiel,0
Add,0
Adda,923
Addah,5
Addai,0
Addalee,73
Addaleigh,18
Addaley,14
Addalie,48
Addalina,5
Addaline,38
Addalyn,724
Addalyne,15
Addalynn,353
Addalynne,22
Addam,0
Addan,0
Addasyn,73
Addelin,17
Addelina,5
Addeline,169
Addell,16
Addelyn,755
Addelyne,5
Addelynn,206
Addelynne,11
Adden,0
Adderly,0
Addeson,10
Addesyn,18
Addey,11
Addi,267
Addia,6
Addicus,0
Addicyn,24
Addie,42879
Addiel,0
Addielynn,5
Addiemae,5
Addieson,5
Addilee,65
Addileigh,17
Addiley,10
Addilyn,1592
Addilyne,11
Addilynn,648
Addilynne,19
Addine,22
Addington,5
Addis,141
Addisan,16
Addisen,906
Addisin,18
Addison,82730
Addisson,77
Addiston,5
Addisun,6
Addisyn,5309
Addisynn,96
Addle,5
Addlee,5
Addley,57
Addlie,6
Addonis,0
Addriana,5
Addrianna,15
Addrienne,15
Addsion,5
Addy,925
Addylan,5
Addylin,20
Addylyn,10
Addylynn,5
Addysan,47
Addysen,801
Addysin,74
Addysn,6
Addyson,10810
Addysun,13
Addysyn,78
Ade,5
Adea,66
Adean,93
Adeana,187
Adeanna,5
Adebayo,0
Adebisi,10
Adebola,29
Adebowale,0
Adedamola,0
Adedayo,0
Adedeji,0
Adedotun,0
Adedoyin,12
Adee,6
Adeeb,0
Adeeba,11
Adeel,0
Adeem,0
Adeen,0
Adeena,262
Adein,0
Adeja,123
Adejah,30
Adekemi,5
Adekunle,0
Adel,1221
Adela,11447
Adelade,34
Adelae,91
Adelai,105
Adelaid,5
Adelaida,2459
Adelaide,20387
Adelaido,0
Adelaina,6
Adelaine,239
Adelane,5
Adelard,0
Adelay,14
Adelayda,14
Adelayde,22
Adelayne,6
Adelbert,0
Adele,37553
Adelean,5
Adelee,46
Adelei,57
Adeleigh,59
Adeleine,144
Adeleke,0
Adelena,149
Adelene,998
Adeley,8
Adelfa,345
Adelfina,6
Adelfo,0
Adelheid,53
Adeli,38
Adelia,4620
Adelice,5
Adelicia,41
Adelie,241
Adelin,238
Adelina,7993
Adelinah,5
Adelind,6
Adeline,41820
Adelino,0
Adelis,46
Adelisa,131
Adelise,54
Adelita,1593
Adeliz,69
Adell,6107
Adella,5069
Adelle,4720
Adellia,5
Adellyn,30
Adellynn,6
Adelma,113
Adelmira,26
Adelmo,0
Adelore,0
Adelphia,11
Adely,74
Adelyn,6453
Adelyna,35
Adelyne,421
Adelynn,2875
Adelynne,255
Adelys,5
Adem,0
Ademide,0
Ademir,0
Ademola,0
Aden,472
Adena,1615
Adene,44
Adenike,215
Adeniyi,0
Adenn,0
Adeola,297
Adeolu,0
Adeoluwa,0
Adeon,0
Ader,233
Adera,5
Aderemi,0
Aderinsola,5
Adero,5
Aderonke,23
Aderyn,29
Adesh,0
Adesha,5
Adesina,5
Adesola,16
Adessa,279
Adesuwa,83
Adetayo,0
Adetokunbo,5
Adetola,0
Adeva,5
Adewale,0
Adeyemi,0
Adeyinka,5
Adger,0
Adgie,7
Adham,0
Adharsh,0
Adhav,0
Adheesh,0
Adhem,0
Adhemar,0
Adhira,20
Adhithi,19
Adhithya,0
Adhitya,0
Adhley,7
Adhrit,0
Adhrith,0
Adhvaith,0
Adhvik,0
Adhya,129
Adi,624
Adia,2424
Adiah,114
Adiam,13
Adian,0
Adiana,252
Adianez,58
Adianna,174
Adib,0
Adiba,83
Adidas,0
Adie,142
Adiel,69
Adiela,7
Adiella,27
Adielle,5
Adien,0
Adijah,6
Adika,0
Adil,0
Adila,19
Adilah,24
Adilee,103
Adilen,46
Adilena,6
Adilene,4265
Adileni,39
Adilenne,116
Adileny,33
Adiley,5
Adilia,20
Adilson,0
Adilyn,821
Adilyne,22
Adilynn,695
Adilynne,51
Adin,81
Adina,5496
Adinah,35
Adine,275
Adir,0
Adira,285
Adis,12
Adisa,83
Adisen,161
Adison,2725
Adisson,74
Adisyn,845
Adisynn,48
Adisynne,50
Adit,0
Adith,0
Adithi,257
Adithya,0
Aditi,2394
Aditri,73
Aditya,5
Adiv,0
Adiva,83
Adiya,99
Adiyah,29
Adiyan,0
Adja,131
Adji,5
Adjoa,87
Adjua,5
Adlai,41
Adlan,0
Adlar,0
Adlea,5
Adlean,137
Adlee,272
Adlei,7
Adleigh,360
Adlemi,16
Adlen,11
Adlena,47
Adlene,177
Adler,93
Adley,759
Adlia,0
Adlie,15
Adlih,20
Adlin,36
Adlina,5
Adline,1177
Adly,13
Adlyn,83
Adlynn,34
Adma,0
Admir,0
Admiral,0
Admire,35
Adn,5
Adna,322
Adnaan,0
Adnan,0
Adnel,0
Adner,0
Adniel,0
Adnrea,5
Adnrew,0
Ado,0
Adolf,0
Adolfo,10
Adoline,11
Adolph,20
Adolpha,5
Adolphe,0
Adolphine,18
Adolpho,0
Adolphus,0
Adom,0
Adomas,0
Adon,0
Adona,28
Adonai,121
Adonay,0
